stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
arrangement institutional	institutional arrangements	institutional arrangements	2	25,1782300221	104,534451071	1361,93694414	16,0	404,0	 
fire regime	fire regimes	fire regimes|&|fire regime	2	108,58111697	359,778100362	1239,5924905	37,0	158,0	 
hierarchy network road	hierarchy of the road network	hierarchy of the road network	5	17,8714062711	80,3240521474	2118,21338152	9,0	180,0	 
development rural	rural development	rural development	2	29,8991481512	118,996484355	1315,93372597	19,0	419,0	 
dynamics fire	fire dynamics	fire dynamics|&|fire on the dynamics	2	18,8836725165	87,2762329197	2073,52377514	10,0	56,0	 
heat transfer	heat transfer	heat transfer	2	40,9146237858	165,049434398	996,167403589	18,0	114,0	 
awareness environmental fire hazard threat	awareness of fire hazard as an environmental threat	awareness of fire hazard as an environmental threat	8	31,7713889264	124,518196907	1361,93694414	16,0	404,0	 
land use-transportation	land use-transportation	land use-transportation	2	22,0309512693	97,8055544066	1138,68089317	12,0	39,0	 
environmental impact	environmental impacts	environmental impacts	2	18,8836725165	87,2762329197	1145,4176744	10,0	41,0	 
content moisture	moisture content	moisture content	2	29,8991481512	130,342900777	1561,16167982	23,0	210,0	 
policy public transport	public transport policy	public transport policy	3	23,8285416948	100,243691938	2248,33746694	12,0	195,0	 
fire growth model	fire growth model	fire growth model	3	25,8142535027	122,51112524	1113,85438244	7,0	73,0	 
copy number	copy number	copy number	2	50,3564600441	243,973340445	1332,33705913	8,0	108,0	 
hazard land policy potential	Potential hazards of land policy	Potential hazards of land policy	5	23,8285416948	100,243691938	1080,24883623	12,0	312,0	 
innovative land public use	Innovative land use and public	Innovative land use and public	5	23,8285416948	100,243691938	2248,33746694	12,0	195,0	 
agriculturalist particular small-scale	particular small-scale agriculturalists	particular small-scale agriculturalists	3	23,8285416948	100,243691938	1080,24883623	12,0	312,0	 
fire rate spread	fire spread rate	fire spread rate|&|fire spread rates|&|rate of fire spread|&|rate of spread of the fire|&|rate of spread of fire|&|fire rate of spread	3	59,5713542369	223,234266669	1153,31547746	22,0	185,0	 
development process	development processes	development processes|&|development process	2	34,6200662803	132,709980944	1332,73376937	22,0	413,0	 
farmer small-scale	small-scale farmers	small-scale farmers	2	25,1782300221	104,534451071	1361,93694414	16,0	404,0	 
aftermath event fire large-scale	aftermath of large-scale fire events	aftermath of large-scale fire events	5	31,7713889264	124,518196907	1361,93694414	16,0	404,0	 
Integrated structure	Integrated structure	Integrated structure	2	22,0309512693	94,4094682912	7505,32481262	14,0	11,0	 
land system	land system	land system|&|land systems|&|Land system	2	124,317510734	433,915439248	1919,77373888	31,0	112,0	 
datum experimental	experimental data	experimental data	2	20,4573118929	90,8194433775	929,562730805	12,0	97,0	 
rate spread	spread rate	spread rate|&|rate of spread|&|spread rates|&|rates of spread	2	149,495740756	444,469401462	1892,31957195	60,0	447,0	 
bed fire fuel spread	fire spread across a fuel bed	fire spread across a fuel bed|&|fire spread in fuel beds|&|fire spread through a fuel bed|&|fire spread through fuel beds	6	21,8428298869	95,8724696931	1154,48677891	10,0	101,0	 
datum farmer level regional small-scale	regional level data on small-scale farmers	regional level data on small-scale farmers	6	31,7713889264	124,518196907	1361,93694414	16,0	404,0	 
environmental management	environmental management	environmental management	2	18,8836725165	83,8333323485	1891,82109439	12,0	205,0	 
accidental fire spread	accidental spread of fire	accidental spread of fire	4	31,7713889264	124,518196907	1361,93694414	16,0	404,0	 
plan transportation	transportation planning	transportation planning	2	23,6045906457	101,153001741	1237,44719858	15,0	45,0	 
information land	land information	land information|&|information about land|&|land and information	2	22,0309512693	99,7224978129	939,189898506	11,0	71,0	 
land market	land markets	land markets|&|land market	2	37,7673450331	159,239125203	1062,33408565	15,0	83,0	 
speed wind	wind speed	wind speed|&|wind speeds	2	73,9610506898	268,369967537	980,568266932	28,0	222,0	 
