stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
large network	large networks	large networks|&|large network	2	9,44183625827	39,2004191517	618,68574683	6,0	34,0	 
goal subprogram upper-level	goal of the upper-level subprogram	goal of the upper-level subprogram	5	7,94284723159	34,3500966381	1241,23042665	4,0	66,0	 
cost operator	operator cost	operator cost	2	6,29455750551	28,6858362073	1241,23042665	4,0	66,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	6,29455750551	28,6858362073	648,365611087	8,0	118,0	 
representation tour-based travel	tour-based representation of travel	tour-based representation of travel	4	7,94284723159	34,3500966381	1529,80243853	4,0	64,0	 
advance equilibrium modeling network research transportation	research advances in transportation network equilibrium modeling	research advances in transportation network equilibrium modeling	7	7,94284723159	34,3500966381	1529,80243853	4,0	64,0	 
route transit	transit route	transit route	2	6,29455750551	28,6858362073	1241,23042665	4,0	66,0	 
cost own travel	own travel cost	own travel cost	3	7,94284723159	34,3500966381	1241,23042665	4,0	66,0	 
incident non-recurrent traffic	non-recurrent traffic incidents	non-recurrent traffic incidents	3	17,8714062711	62,7952540842	678,626012317	9,0	216,0	 
bi-cone good structure	bi-cone structure best	bi-cone structure best	3	9,92855903949	40,7221268741	1977,09852441	5,0	52,0	 
city development	city development	city development	2	7,86819688189	41,3111137439	856,765870346	2,0	2,0	 
constraint equilibrium stochastic user	stochastic user equilibrium constraints	stochastic user equilibrium constraints	4	15,8856944632	68,7001932762	815,670514598	4,0	80,0	 
analysis network	network analysis	network analysis	2	20,4573118929	69,1168547993	514,53708584	15,0	278,0	 
direction future research	Future research directions	Future research directions	3	7,94284723159	34,3500966381	1241,23042665	4,0	66,0	 
capability human parallel	parallels with human capabilities	parallels with human capabilities	4	7,94284723159	34,3500966381	1897,94064087	4,0	48,0	 
efficiency measure	efficiency measure	efficiency measure	2	6,29455750551	33,0488909951	716,746354092	2,0	12,0	 
freight transportation	freight transportation	freight transportation	2	25,1782300221	94,3255573134	732,228514857	21,0	192,0	 
bus network transit	bus transit network	bus transit network	3	7,94284723159	34,3500966381	1241,23042665	4,0	66,0	 
reliability time travel	travel time reliability	travel time reliability|&|Travel time reliability|&|reliability of travel time	3	35,7428125422	121,824627008	681,613695894	10,0	219,0	 
equity spatial	Spatial equity	Spatial equity	2	6,29455750551	28,6858362073	1241,23042665	4,0	66,0	 
source time travel uncertainty	source of uncertainty of travel time	source of uncertainty of travel time	6	17,8714062711	62,7952540842	678,626012317	9,0	216,0	 
cost demand unsatisfied	unsatisfied demand cost	unsatisfied demand cost	3	7,94284723159	34,3500966381	1241,23042665	4,0	66,0	 
event future	future events	future events	2	26,7518693984	97,4023138908	2095,73265352	10,0	64,0	 
measure performance transportation	transportation performance measure	transportation performance measure	3	17,8714062711	62,7952540842	678,626012317	9,0	216,0	 
benefit distribution transit	benefit distribution among transit	benefit distribution among transit	4	7,94284723159	34,3500966381	1241,23042665	4,0	66,0	 
journal regional science transportation	regional science and transportation journals	regional science and transportation journals	5	7,94284723159	34,3500966381	1529,80243853	4,0	64,0	 
dynamic flow network	dynamic network flows	dynamic network flows	3	7,94284723159	34,3500966381	1529,80243853	4,0	64,0	 
mental time travel	mental time travel	mental time travel|&|Mental time travel	3	103,257014011	241,998959869	2652,99855515	31,0	117,0	 
time travel	time travel	time travel|&|travel time|&|travel times|&|Travel times|&|Travel time	2	190,410364542	333,957673199	1087,62255155	106,0	785,0	 
capacity reliability	capacity reliability	capacity reliability|&|Capacity reliability	2	18,8836725165	99,1466729853	816,939966124	2,0	20,0	 
level low	lower level	lower level	2	7,86819688189	34,1015578644	1949,98481788	5,0	19,0	 
capacity due fluctuation roadway	Fluctuations in roadway capacity due	Fluctuations in roadway capacity due	5	17,8714062711	62,7952540842	678,626012317	9,0	216,0	 
1950s beginning early	beginnings in the early 1950s	beginnings in the early 1950s	5	7,94284723159	34,3500966381	1529,80243853	4,0	64,0	 
development phase	phases of development	phases of development	3	6,29455750551	28,6858362073	1529,80243853	4,0	64,0	 
citation distribution	distribution of citations	distribution of citations	3	6,29455750551	28,6858362073	1529,80243853	4,0	64,0	 
Network experiment	Network experiments	Network experiments	2	6,29455750551	28,6858362073	1241,23042665	4,0	66,0	 
network simple	simple network	simple network	2	15,7363937638	57,2954787593	675,756005946	10,0	221,0	 
model optimization	optimization model	optimization model	2	7,86819688189	38,1208344445	563,183234228	5,0	31,0	 
