stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
change land	land change	land change|&|changes in land|&|land changes	2	15,7363937638	51,3991550982	398,000490734	8,0	44,0	 
estimate parameter	parameter estimates	parameter estimates	2	4,72091812914	21,9643287112	614,749884948	2,0	16,0	 
change land-cover land-use	land-use and land-cover change	land-use and land-cover change|&|land-cover and land-use change	4	5,95713542369	26,3303481269	466,316708129	2,0	18,0	 
interaction transport	transport interaction	transport interaction|&|transport interactions	2	4,72091812914	20,0501611316	734,957941355	13,0	116,0	 
cultivated land	cultivated land	cultivated land	2	7,86819688189	33,4169352193	712,987036327	3,0	16,0	 
cover land use	land cover and land use	land cover and land use|&|land use and land cover|&|use land cover	5	21,8428298869	69,1807213893	428,011319026	7,0	61,0	 
carbon sequestration	carbon sequestration	carbon sequestration	2	4,72091812914	21,9643287112	522,808785282	2,0	12,0	 
dynamics system	system dynamics	system dynamics	2	4,72091812914	20,0501611316	585,023154773	3,0	23,0	 
integrated land use	integrated land use	integrated land use	3	5,95713542369	23,9149375683	361,390169163	3,0	16,0	 
computer interrelationship model review	review of computer models of the interrelationships	review of computer models of the interrelationships	7	7,94284723159	35,1071308359	427,997291335	2,0	43,0	 
accessibility issue	accessibility issues	accessibility issues	2	7,86819688189	42,0610330034	1536,33398339	1,0	3,0	 
different environment world	different environments around the world	different environments around the world	5	3,9714236158	17,553565418	555,210521883	2,0	20,0	 
approach weakness	weaknesses of each approach	weaknesses of each approach	4	6,29455750551	29,2857716149	391,962028767	2,0	43,0	 
conversion grassland	grassland conversion	grassland conversion|&|conversion of grassland	2	6,29455750551	26,7335481754	811,638475348	3,0	17,0	 
Integrated analysis ecosystem interaction	Integrated analysis of ecosystem interactions	Integrated analysis of ecosystem interactions	5	3,9714236158	17,553565418	459,481330331	2,0	12,0	 
interaction model transport	transport interaction model	transport interaction model|&|transport interaction models	3	13,8999826553	48,7010536826	562,265030429	6,0	61,0	 
issue special	special issue	special issue	2	6,29455750551	26,7335481754	570,644582453	3,0	19,0	 
interaction society-nature	society-nature interaction	society-nature interaction	2	9,44183625827	43,9286574224	482,552023831	2,0	12,0	 
land model use	land use model	land use model|&|land use models	3	19,857118079	65,9525531507	536,628720422	6,0	52,0	 
congestion traffic	traffic congestion	traffic congestion	2	4,72091812914	20,0501611316	619,314140838	3,0	12,0	 
consequent demand effect travel	consequent effects on travel demand	consequent effects on travel demand	5	7,94284723159	35,1071308359	391,962028767	2,0	43,0	 
pattern travel	travel patterns	travel patterns	2	6,29455750551	29,2857716149	500,632860572	2,0	10,0	 
city consequent	cities and the consequent	cities and the consequent	4	6,29455750551	29,2857716149	391,962028767	2,0	43,0	 
density location	location and density	location and density|&|density and location	3	4,72091812914	20,0501611316	349,945029319	3,0	42,0	 
land strategy use	land use strategies	land use strategies|&|land use and strategies	3	5,95713542369	26,3303481269	608,759284397	2,0	10,0	 
category land-use	land-use categories	land-use categories	2	4,72091812914	21,9643287112	356,984947072	2,0	11,0	 
interaction transport use	use transport interaction	use transport interaction	3	3,9714236158	20,3063465	355,392005651	2,0	24,0	 
change cover land	land cover change	land cover change|&|changes in land cover	3	7,94284723159	29,6015686717	457,830265458	6,0	54,0	 
computing time	computing times	computing times	2	4,72091812914	21,9643287112	691,429855722	2,0	15,0	 
model new	new models	new models	2	4,72091812914	20,0501611316	510,7459893	3,0	22,0	 
change technological	technological changes	technological changes	2	9,44183625827	37,3840752406	363,89077267	4,0	54,0	 
major model type	major types of model	major types of model	4	7,94284723159	35,1071308359	391,962028767	2,0	43,0	 
change land use	land use change	land use change|&|land use changes|&|Land use change|&|changes in land use|&|Land use changes|&|change in land use|&|changes of land use	3	125,099843898	218,401732063	477,749121223	31,0	270,0	 
activity economic	economic activity	economic activity	2	4,72091812914	21,9643287112	347,216685789	2,0	12,0	 
ecosystem service	ecosystem services	ecosystem services|&|ecosystem service	2	20,4573118929	72,7041035098	382,800836711	6,0	46,0	 
old people	older people	older people	2	6,29455750551	29,2857716149	1536,33398339	2,0	4,0	 
development urban	urban development	urban development	2	12,589115011	44,7409867752	353,869891112	6,0	64,0	 
model parameter	model parameters	model parameters|&|Parameters of all models|&|parameters of this model	2	6,29455750551	24,9227168271	756,901033252	4,0	30,0	 
change cost effect term transport	term effects of changes in transport costs	term effects of changes in transport costs	7	7,94284723159	35,1071308359	391,962028767	2,0	43,0	 
ecosystem response	ecosystem responses	ecosystem responses	2	11,0154756347	46,783709307	489,660841028	3,0	18,0	 
form urban	urban form	urban form	2	7,86819688189	31,1533960339	479,548008303	4,0	20,0	 
category land use	land use categories	land use categories	3	3,9714236158	17,553565418	388,773021483	2,0	18,0	 
nature relationship	nature of this relationship	nature of this relationship	4	6,29455750551	29,2857716149	427,997291335	2,0	43,0	 
example operational term	terms of operational examples	terms of operational examples	4	7,94284723159	35,1071308359	391,962028767	2,0	43,0	 
example operational strength	operational examples and the strengths	operational examples and the strengths	5	7,94284723159	35,1071308359	427,997291335	2,0	43,0	 
achievement level various	various levels of achievement	various levels of achievement	4	3,9714236158	17,553565418	735,832190355	2,0	20,0	 
carbon sink	carbon sink	carbon sink|&|carbon sinks	2	7,86819688189	29,3976586392	412,25383068	5,0	32,0	 
pattern spatial	spatial pattern	spatial pattern	2	6,29455750551	29,2857716149	661,400456393	2,0	7,0	 
health outcome	health outcomes	health outcomes	2	4,72091812914	21,9643287112	766,539254324	2,0	13,0	 
change detection	change detection	change detection	2	9,44183625827	40,1003222632	484,584574061	3,0	30,0	 
land management	land management	land management	2	14,1627543874	48,1504119051	408,09595432	7,0	54,0	 
interaction land-use transport	land-use transport interaction	land-use transport interaction	3	7,94284723159	31,8865834245	640,05604091	3,0	25,0	 
interrelationship land use	interrelationships between land use	interrelationships between land use	4	7,94284723159	35,1071308359	427,997291335	2,0	43,0	 
change cover land use	land cover and land use change	land cover and land use change|&|land use and land cover change|&|use land cover change	6	9,92855903949	34,7864669161	443,795779941	5,0	40,0	 
interaction land use	land use interaction	land use interaction|&|interaction between land use	3	3,9714236158	17,553565418	422,595813729	2,0	9,0	 
choice mode	mode choice	mode choice	2	7,86819688189	36,6072145186	534,370632835	2,0	14,0	 
development policy	development policies	development policies|&|development policy|&|policy development	2	4,72091812914	20,0501611316	353,689424545	5,0	59,0	 
model type	type of model	type of model|&|type model	3	7,86819688189	33,4169352193	383,19287606	3,0	50,0	 
ecological footprint	ecological footprint	ecological footprint	2	4,72091812914	21,9643287112	403,229118215	2,0	11,0	 
model transport	transport models	transport models|&|transport model	2	18,8836725165	59,4548098445	374,439312728	9,0	98,0	 
land planning system use	land use planning system	land use planning system	4	5,95713542369	26,3303481269	499,524938565	2,0	7,0	 
focus structure urban	focused urban structure	focused urban structure	3	3,9714236158	17,553565418	555,210521883	2,0	20,0	 
system transport	transport system	transport system|&|transport systems	2	7,86819688189	31,1533960339	643,516031012	4,0	27,0	 
land model use-transport	land use-transport model	land use-transport model	3	7,94284723159	35,1071308359	453,773305106	2,0	4,0	 
mathematical programming	mathematical programming	mathematical programming	2	6,29455750551	29,2857716149	427,997291335	2,0	43,0	 
region urban	urban regions	urban regions|&|urban region	2	14,1627543874	56,076112861	382,377912592	4,0	32,0	 
planning practice	planning practice	planning practice	2	6,29455750551	26,7335481754	417,755384863	3,0	18,0	 
change land-cover	land-cover change	land-cover change|&|land-cover changes	2	6,29455750551	24,9227168271	526,629013054	5,0	33,0	 
land-use policy	land-use policy	land-use policy|&|land-use policies	2	20,4573118929	72,7041035098	446,817943611	6,0	35,0	 
policy transport	transport policy	transport policy|&|transport policies	2	18,8836725165	61,6789861178	370,739052976	10,0	108,0	 
criterion set	set of criteria	set of criteria	3	6,29455750551	29,2857716149	391,962028767	2,0	43,0	 
change land-use	land-use change	land-use change|&|Land-use change|&|land-use changes	2	89,6974444536	187,252842995	362,107979626	29,0	185,0	 
project research	research project	research project	2	4,72091812914	20,0501611316	370,137714574	3,0	27,0	 
land-use planning	land-use planning	land-use planning	2	7,86819688189	31,1533960339	721,477569581	4,0	17,0	 
attention particular	Particular attention	Particular attention|&|particular attention	2	4,72091812914	20,0501611316	573,672720791	3,0	32,0	 
change cover	cover change	cover change	2	4,72091812914	20,0501611316	433,833762627	7,0	64,0	 
land-use system	land-use system	land-use system|&|land-use systems	2	7,86819688189	29,3976586392	351,956058645	5,0	32,0	 
accessibility benefit	accessibility benefits	accessibility benefits	2	12,589115011	53,4670963509	396,808046701	3,0	30,0	 
aggregate individual interaction spatial	aggregate spatial interaction and individual	aggregate spatial interaction and individual	5	7,94284723159	35,1071308359	391,962028767	2,0	43,0	 
degree land use	degree of land use	degree of land use|&|land use and the degree	4	3,9714236158	17,553565418	526,249839209	2,0	8,0	 
growth urban	urban growth	urban growth|&|Urban growth	2	11,0154756347	43,6147544474	348,602257045	4,0	26,0	 
interaction land-use model transport	land-use and transport interaction model	land-use and transport interaction model	5	5,95713542369	26,3303481269	342,205938462	2,0	30,0	 
city cost transport	transport costs on cities	transport costs on cities	4	7,94284723159	35,1071308359	427,997291335	2,0	43,0	 
interaction model	interaction model	interaction model|&|interaction models	2	4,72091812914	20,0501611316	604,868259687	8,0	80,0	 
