stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
availability weed wide	wide availability of weeds	wide availability of weeds	4	3,9714236158	18,5676553	311,326857786	2,0	36,0	 
density population size	population size and density	population size and density|&|density and population size|&|population size or density|&|size and population density|&|population density and the size|&|size population density	4	17,8714062711	58,7794191112	332,758624524	9,0	78,0	 
case new	new cases	new cases	2	4,72091812914	23,1697995378	356,033576569	2,0	5,0	 
rate survival	survival rate	survival rate	2	4,72091812914	21,2556319582	311,583776438	3,0	12,0	 
density population urbanization	population density and urbanization	population density and urbanization	4	3,9714236158	18,5676553	372,97420029	2,0	13,0	 
availability prey	prey availability	prey availability	2	9,44183625827	46,3395990755	503,69591327	2,0	16,0	 
family planning	family planning	family planning	2	12,589115011	53,060022525	1263,40527298	4,0	16,0	 
density flame surface	flame surface density	flame surface density	3	3,9714236158	18,5676553	665,864281055	3,0	33,0	 
space use	space use	space use	2	4,72091812914	23,1697995378	333,58463464	2,0	15,0	 
density function population	population density functions	population density functions|&|population density function|&|population as a function of density	3	13,8999826553	52,2503682698	1968,77448746	5,0	14,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	37,1353106	884,629162362	2,0	14,0	 
deer population	deer population	deer population	2	4,72091812914	23,1697995378	875,081211688	2,0	11,0	 
datum set	data sets	data sets|&|sets of data	2	4,72091812914	21,2556319582	327,648795219	5,0	57,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	46,41913825	362,59453983	2,0	23,0	 
area rural	rural areas	rural areas|&|rural area	2	11,0154756347	43,9694873569	931,788317161	5,0	24,0	 
habitat quality	habitat quality	habitat quality	2	4,72091812914	21,2556319582	370,030816555	3,0	18,0	 
curvature propagation term	propagation and curvature terms	propagation and curvature terms|&|curvature and propagation terms	4	9,92855903949	42,3934539857	784,515508108	3,0	28,0	 
energy use	energy use	energy use	2	6,29455750551	28,3408426109	404,1617863	3,0	28,0	 
association density population	association between population density	association between population density|&|association with population density	4	7,94284723159	33,9147631886	480,511504038	3,0	21,0	 
combustion premixed turbulent	turbulent premixed combustion	turbulent premixed combustion	3	3,9714236158	18,5676553	402,083289706	2,0	23,0	 
density estimate	density estimate	density estimate|&|density estimates|&|estimates of the density	2	6,29455750551	26,5300112625	414,363005421	4,0	14,0	 
animal density population	animal population density	animal population density|&|animal population densities	3	13,8999826553	52,2503682698	401,147745368	5,0	19,0	 
mortality rate	mortality rates	mortality rates	2	6,29455750551	30,8930660503	775,970900226	2,0	8,0	 
case individual most	most cases individuals	most cases individuals	3	3,9714236158	18,5676553	322,23843631	2,0	36,0	 
body density mass population	population density and body mass	population density and body mass|&|body mass and population density|&|body mass population density|&|population density on body mass	5	23,8285416948	75,5659608388	330,551776395	9,0	79,0	 
density relationship	density relationship	density relationship|&|density relationships|&|relationship between density|&|relationships between density	2	12,589115011	50,2508426936	340,177627911	7,0	61,0	 
curvature dependence	curvature dependence	curvature dependence	2	4,72091812914	21,2556319582	727,433193168	3,0	28,0	 
change population	population change	population change	2	6,29455750551	28,3408426109	949,045480996	3,0	7,0	 
correlation positive	positive correlation	positive correlation	2	4,72091812914	21,2556319582	303,297672941	3,0	22,0	 
annual variability	annual variability	annual variability	2	6,29455750551	35,2561208382	562,909585492	1,0	8,0	 
metabolic rate	metabolic rate	metabolic rate|&|metabolic rates	2	14,1627543874	53,9500226019	372,900556379	6,0	46,0	 
size territory	territory size	territory size	2	4,72091812914	23,1697995378	687,661670034	2,0	6,0	 
dynamics population	population dynamics	population dynamics	2	12,589115011	56,6816852218	369,840348952	3,0	18,0	 
change climate	climate change	climate change	2	11,0154756347	43,9694873569	456,961956502	5,0	8,0	 
community stream	stream communities	stream communities	2	4,72091812914	23,1697995378	312,961385476	2,0	34,0	 
home range	home range	home range|&|home ranges|&|Home range	2	44,0619025386	141,137018059	321,359314194	21,0	230,0	 
body mass	body mass	body mass|&|Body mass	2	51,9300994205	143,733946279	361,099188204	23,0	226,0	 
growth population	population growth	population growth	2	18,8836725165	62,2870996769	997,751160887	12,0	52,0	 
datum population	population data	population data|&|data on population	2	6,29455750551	28,3408426109	1040,82443946	4,0	21,0	 
dilatation rate	dilatation rate	dilatation rate	2	4,72091812914	23,1697995378	525,585368899	2,0	23,0	 
period post-breeding	post-breeding period	post-breeding period	2	6,29455750551	30,8930660503	311,326857786	2,0	36,0	 
growth population rapid	rapid population growth	rapid population growth	3	5,95713542369	25,4360723914	887,82677628	3,0	17,0	 
context equation transport	transport equation in the context	transport equation in the context	5	5,95713542369	27,85148295	468,466481518	2,0	18,0	 
adult female	adult females	adult females|&|adult female	2	7,86819688189	35,4260532636	539,22696476	3,0	17,0	 
number total	total number	total number	2	4,72091812914	21,2556319582	456,86589761	3,0	18,0	 
energetic equivalence rule	energetic equivalence rule	energetic equivalence rule	3	27,7999653106	95,1468200336	340,863123324	7,0	61,0	 
forest fragment	forest fragments	forest fragments	2	4,72091812914	23,1697995378	310,972360143	2,0	11,0	 
crop dominant field idle	dominant crop fields and idle	dominant crop fields and idle	5	3,9714236158	18,5676553	311,326857786	2,0	36,0	 
population world	world population	world population	2	4,72091812914	21,2556319582	335,498725474	3,0	6,0	 
rate recapture	recapture rate	recapture rate|&|recapture rates	2	4,72091812914	21,2556319582	313,133464841	3,0	38,0	 
female male	males and females	males and females	3	4,72091812914	21,2556319582	430,276447694	3,0	16,0	 
density grid	density grid	density grid|&|density grids	2	4,72091812914	23,1697995378	674,973016535	3,0	18,0	 
number offspring	offspring number	offspring number	2	4,72091812914	23,1697995378	318,551220448	2,0	28,0	 
food resource	food resources	food resources|&|food resource	2	11,0154756347	41,9611286904	455,931943254	6,0	49,0	 
health reproductive	reproductive health	reproductive health	2	7,86819688189	35,4260532636	885,63260993	3,0	8,0	 
availability food	food availability	food availability	2	4,72091812914	21,2556319582	398,352941923	3,0	31,0	 
body individual size	individual body size	individual body size	3	3,9714236158	18,5676553	552,41430611	2,0	9,0	 
biology population	population biology	population biology	2	4,72091812914	21,2556319582	322,23843631	3,0	36,0	 
period time	time periods	time periods|&|time period	2	7,86819688189	35,4260532636	511,962376136	3,0	26,0	 
density relation	density in relation	density in relation|&|relation between density|&|density or the relation	3	4,72091812914	21,2556319582	821,216014595	3,0	10,0	 
group size	group size	group size|&|Group size|&|size group	2	9,44183625827	42,5112639163	410,827409023	3,0	13,0	 
body density population size	body size and population density	body size and population density|&|population density and body size|&|Population density and body size|&|body size population density|&|population density with body size	5	27,7999653106	77,937551514	415,63710762	13,0	112,0	 
correlation density population	correlation between population density	correlation between population density	4	5,95713542369	27,85148295	637,753404061	2,0	14,0	 
distribution population	population distribution	population distribution	2	6,29455750551	30,8930660503	617,675934908	2,0	9,0	 
density low population	low population density	low population density	3	5,95713542369	27,85148295	564,351154008	2,0	10,0	 
development economic	economic development	economic development	2	4,72091812914	21,2556319582	355,558179829	3,0	6,0	 
bird mammal	mammals and birds	mammals and birds|&|birds and mammals	3	7,86819688189	35,4260532636	370,158491101	3,0	25,0	 
density increase	density increases	density increases|&|density increase|&|increase in density	2	4,72091812914	21,2556319582	551,143601163	5,0	33,0	 
FSD transport	FSD transport	FSD transport	2	9,44183625827	46,3395990755	402,083289706	2,0	23,0	 
temporal variability	temporal variability	temporal variability	2	7,86819688189	38,6163325629	473,168185683	2,0	16,0	 
Austrian dispersal land population snail	dispersal in an Austrian population of the land snail	dispersal in an Austrian population of the land snail	9	3,9714236158	18,5676553	322,23843631	2,0	36,0	 
condition food	food conditions	food conditions	2	6,29455750551	30,8930660503	506,138672044	2,0	13,0	 
