stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
network traffic urban	urban traffic network	urban traffic network|&|urban traffic networks|&|traffic in urban networks|&|Urban network traffic|&|Urban traffic network	3	51,6285070053	146,981081068	240,260274468	18,0	153,0	 
flow network	network flow	network flow|&|network flows	2	6,29455750551	28,8514920179	238,225510283	5,0	44,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	99,6525509402	1767,29522986	3,0	9,0	 
21st century	21st century	21st century	2	6,29455750551	28,8514920179	620,00958621	4,0	19,0	 
mode traffic	traffic mode	traffic mode|&|traffic modes	2	11,0154756347	50,4901110313	327,98492255	4,0	34,0	 
control flow	flow control	flow control	2	6,29455750551	33,2145468057	272,786267771	2,0	8,0	 
layout network	network layout	network layout	2	6,29455750551	33,2145468057	204,730838219	4,0	22,0	 
system traffic urban	urban traffic system	urban traffic system	3	11,9142708474	51,8386964964	286,295515614	4,0	32,0	 
assignment flow	flow assignment	flow assignment	2	7,86819688189	38,3279042078	289,309191406	3,0	29,0	 
information real-time traffic	real-time traffic information	real-time traffic information	3	5,95713542369	27,6331093128	215,935169819	3,0	31,0	 
hybrid model	hybrid model	hybrid model	2	7,86819688189	38,3279042078	223,111214825	3,0	25,0	 
control signal	signal control	signal control|&|control signal	2	31,4727875276	109,681068953	210,355864428	28,0	336,0	 
aromatic plant	aromatic plants	aromatic plants	2	7,86819688189	41,5181835071	1358,43174329	2,0	3,0	 
reliability time travel	travel time reliability	travel time reliability	3	9,92855903949	50,0808664523	394,781972596	2,0	18,0	 
enforcement law	law enforcement	law enforcement	2	6,29455750551	30,6623233662	1168,65862031	3,0	8,0	 
experiment simulation	simulation experiments	simulation experiments|&|simulation experiment	2	7,86819688189	36,0643650223	200,793207244	4,0	35,0	 
control network signal traffic	traffic signal control network	traffic signal control network|&|traffic signal network control	4	5,95713542369	30,0485198714	194,219648206	2,0	23,0	 
link travel	link travel	link travel|&|travel along a link	2	6,29455750551	28,8514920179	207,070560615	4,0	32,0	 
assignment model	assignment model	assignment model|&|assignment models	2	12,589115011	52,5985371568	319,323046808	34,0	347,0	 
multimodal network traffic urban	urban multimodal traffic network	urban multimodal traffic network	4	7,94284723159	40,0646931618	230,693809741	2,0	25,0	 
system transportation urban	urban transportation system	urban transportation system	3	7,94284723159	36,8441457504	207,126716661	3,0	46,0	 
network topology	network topology	network topology	2	9,44183625827	39,4489028676	229,348212005	6,0	53,0	 
network public transportation	public transportation network	public transportation network	3	5,95713542369	27,6331093128	272,406892013	3,0	11,0	 
algorithm solution	solution algorithm	solution algorithm	2	18,8836725165	71,2411354168	201,843853761	9,0	93,0	 
algorithm genetic	genetic algorithm	genetic algorithm	2	12,589115011	52,5985371568	216,549078847	6,0	47,0	 
development regional	regional development	regional development	2	9,44183625827	49,8218202085	278,907312972	2,0	8,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	40,0646931618	215,061897852	2,0	9,0	 
layout network transportation	transportation network layout	transportation network layout	3	5,95713542369	30,0485198714	905,337636928	2,0	6,0	 
model network traffic	network traffic model	network traffic model|&|traffic network model|&|network traffic models|&|traffic network models|&|model under a traffic network	3	15,8856944632	60,2283765713	342,462439077	11,0	86,0	 
pattern traffic	traffic patterns	traffic patterns	2	7,86819688189	34,3086276277	279,528183027	5,0	32,0	 
demand travel	travel demand	travel demand|&|demand for travel	2	11,0154756347	46,0237200122	201,782920393	6,0	44,0	 
traffic urban	urban traffic	urban traffic	2	7,86819688189	34,3086276277	219,896036403	7,0	77,0	 
consequence growth urban	consequences of urban growth	consequences of urban growth	4	5,95713542369	27,6331093128	281,128838961	3,0	22,0	 
plan signal timing	signal timing plan	signal timing plan|&|signal timing plans	3	11,9142708474	49,1801037882	444,881975496	5,0	53,0	 
