stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
GIS-based analysis integrated system	integrated GIS-based analysis system	integrated GIS-based analysis system	4	3,9714236158	19,8475958922	196,190933989	1,0	6,0	 
management practice	management practices	management practices	2	4,72091812914	21,4190018282	183,271043696	2,0	14,0	 
environment urban	urban environments	urban environments|&|urban environment	2	12,589115011	43,286781754	697,247854099	6,0	13,0	 
metropolitan region	metropolitan region	metropolitan region	2	7,86819688189	35,6983363804	119,59617397	2,0	22,0	 
develop nation	developed nations	developed nations	2	4,72091812914	24,6912929191	114,616696381	1,0	11,0	 
management strategy	management strategies	management strategies	2	4,72091812914	19,5048342486	126,868161827	3,0	31,0	 
fringe urban	urban fringe	urban fringe	2	4,72091812914	21,4190018282	167,204930457	2,0	14,0	 
forecasting method modeling	modeling and forecasting method	modeling and forecasting method	4	7,94284723159	34,1896296202	536,532015592	2,0	15,0	 
rule transition	transition rules	transition rules	2	6,29455750551	26,0064456648	122,465848122	3,0	20,0	 
hierarchy network planning transportation urban	urban hierarchy and transportation network planning	urban hierarchy and transportation network planning	6	3,9714236158	19,8475958922	313,538565336	1,0	4,0	 
environment modeling	modeling environment	modeling environment|&|environment modeling	2	4,72091812914	21,4190018282	157,155547104	2,0	7,0	 
flow traffic	traffic flow	traffic flow	2	7,86819688189	30,2445178956	368,936792921	4,0	13,0	 
land planning use	land use planning	land use planning|&|planning of land use	3	9,92855903949	38,711352761	171,736596941	3,0	19,0	 
metric spatial	spatial metrics	spatial metrics	2	4,72091812914	24,6912929191	131,002657828	1,0	11,0	 
dynamics system	system dynamics	system dynamics|&|dynamics of the system	2	17,3100331402	56,8509715354	138,21415744	8,0	60,0	 
field gravitational model	gravitational field model	gravitational field model	3	3,9714236158	19,8475958922	212,880008309	1,0	4,0	 
development graphical integrated	integrated development and a graphical	integrated development and a graphical	5	3,9714236158	17,0948148101	303,589810086	2,0	24,0	 
development land	land development	land development	2	6,29455750551	28,5586691043	124,721643848	2,0	9,0	 
growth scenario	growth scenarios	growth scenarios	2	6,29455750551	24,1956143165	153,371917569	6,0	45,0	 
dynamics traffic	traffic dynamics	traffic dynamics	2	4,72091812914	21,4190018282	342,206241078	2,0	6,0	 
analysis modeling	analysis and modeling	analysis and modeling|&|modeling and analysis	3	4,72091812914	21,4190018282	449,945612921	2,0	12,0	 
dynamics urban	urban dynamics	urban dynamics	2	9,44183625827	34,1865366011	139,385789118	5,0	41,0	 
network space	space network	space network|&|space networks	2	12,589115011	57,1173382086	411,700114525	2,0	12,0	 
logistic regression	logistic regression	logistic regression	2	6,29455750551	28,5586691043	176,404261711	2,0	13,0	 
time travel	travel time	travel time	2	4,72091812914	24,6912929191	491,779727327	1,0	3,0	 
change urban	urban change	urban change	2	4,72091812914	19,5048342486	115,31920051	3,0	29,0	 
system urban	urban systems	urban systems|&|urban system	2	12,589115011	39,6651190573	158,745749429	8,0	54,0	 
extension real-time simulation	extensions for real-time simulation	extensions for real-time simulation	4	3,9714236158	17,0948148101	303,589810086	2,0	24,0	 
demand logistic urban	urban logistics demand	urban logistics demand	3	7,94284723159	34,1896296202	536,532015592	2,0	15,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	26,0064456648	349,512642146	3,0	6,0	 
land-use pattern	land-use patterns	land-use patterns	2	6,29455750551	28,5586691043	207,733523303	2,0	14,0	 
calibration growth model	growth model calibration	growth model calibration	3	3,9714236158	17,0948148101	172,117890401	2,0	14,0	 
analysis modeling urban	urban modeling and analysis	urban modeling and analysis|&|urban analysis and modeling	4	3,9714236158	17,0948148101	152,236964316	2,0	12,0	 
aerial image	aerial images	aerial images	2	4,72091812914	24,6912929191	321,372130014	1,0	2,0	 
change land use	land use change	land use change|&|land use changes|&|changes in land use	3	25,8142535027	69,5698579973	118,332812641	14,0	123,0	 
ecosystem service	ecosystem services	ecosystem services	2	6,29455750551	24,1956143165	133,130003332	4,0	36,0	 
growth process urban	process of urban growth	process of urban growth|&|urban growth process	4	3,9714236158	17,0948148101	122,291732487	2,0	18,0	 
method modeling	modeling methods	modeling methods|&|modeling method	2	11,0154756347	39,8842927013	279,257204423	5,0	8,0	 
form urban	urban form	urban form	2	7,86819688189	28,4887805009	180,367056293	5,0	25,0	 
change scenario	change scenarios	change scenarios	2	7,86819688189	35,6983363804	116,352846649	2,0	22,0	 
land system use	land use system	land use system	3	3,9714236158	17,0948148101	155,109214852	2,0	16,0	 
land type use	land use types	land use types	3	3,9714236158	17,0948148101	126,689068874	2,0	20,0	 
alternative language programming support	support for alternative programming languages	support for alternative programming languages	5	3,9714236158	17,0948148101	303,589810086	2,0	24,0	 
replaced-dns undirected vertices	vertices of an undirected replaced-dns	vertices of an undirected replaced-dns	5	3,9714236158	17,0948148101	1434,02489627	2,0	6,0	 
