stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
flow traffic	traffic flow	traffic flow	2	7,86819688189	31,7057769631	1122,56622395	4,0	12,0	 
environment urban	urban environments	urban environments|&|urban environment	2	12,589115011	45,6247962619	1054,70204058	6,0	15,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	6,29455750551	27,1754529188	277,763297175	3,0	20,0	 
fringe urban	urban fringe	urban fringe	2	6,29455750551	27,1754529188	192,785757713	3,0	35,0	 
forecasting method modeling	modeling and forecasting method	modeling and forecasting method	4	7,94284723159	35,6647525376	816,076923077	2,0	15,0	 
result simulation	simulation results	simulation results	2	4,72091812914	22,2957572687	516,134384432	2,0	11,0	 
city development	city development	city development	2	4,72091812914	20,3815896891	445,031669027	3,0	19,0	 
environment modeling	modeling environment	modeling environment|&|environment modeling	2	4,72091812914	22,2957572687	198,261598868	2,0	7,0	 
management practice	management practices	management practices	2	4,72091812914	22,2957572687	237,915758621	2,0	15,0	 
environmental impact	environmental impacts	environmental impacts	2	4,72091812914	20,3815896891	211,65242002	3,0	28,0	 
agglomeration compatible land	agglomeration of compatible land	agglomeration of compatible land	4	3,9714236158	17,8323762688	207,701140654	2,0	35,0	 
dynamics system	system dynamics	system dynamics|&|dynamics of the system	2	20,4573118929	70,9867853899	255,592918814	8,0	71,0	 
field gravitational model	gravitational field model	gravitational field model	3	3,9714236158	20,5851573509	652,639428405	1,0	5,0	 
network planning transportation	transportation network planning	transportation network planning	3	5,95713542369	30,8777360263	338,954282346	1,0	4,0	 
development graphical integrated	integrated development and a graphical	integrated development and a graphical	5	3,9714236158	17,8323762688	582,531657722	2,0	24,0	 
dynamics traffic	traffic dynamics	traffic dynamics	2	4,72091812914	22,2957572687	806,69521312	2,0	6,0	 
analysis modeling	analysis and modeling	analysis and modeling|&|modeling and analysis	3	4,72091812914	22,2957572687	996,681669931	2,0	13,0	 
dynamics urban	urban dynamics	urban dynamics	2	9,44183625827	35,9400474821	217,101319693	5,0	46,0	 
network space	space network	space network|&|space networks	2	12,589115011	59,4553527165	493,330994976	2,0	12,0	 
