stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
land rent	land rent	land rent|&|land rents	2	17,3100331402	66,4197816887	351,04482919	6,0	36,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	92,6760336925	1069,36907998	3,0	11,0	 
environment urban	urban environment	urban environment|&|urban environments	2	22,0309512693	71,1805192528	294,824531633	11,0	60,0	 
metropolitan region	metropolitan region	metropolitan region	2	4,72091812914	21,386777006	312,817288731	3,0	19,0	 
center city	city center	city center	2	6,29455750551	26,7048713263	541,78850563	4,0	26,0	 
parameter structure	structure parameters	structure parameters	2	4,72091812914	23,3009445856	315,100927291	2,0	10,0	 
heat island	heat islands	heat islands|&|heat island	2	6,29455750551	28,5157026746	566,538863187	3,0	21,0	 
analysis regression	regression analyses	regression analyses	2	4,72091812914	21,386777006	441,195479183	3,0	20,0	 
spatial variation	spatial variation	spatial variation	2	4,72091812914	23,3009445856	354,813256592	2,0	13,0	 
metric spatial	spatial metrics	spatial metrics	2	9,44183625827	46,6018891711	268,856150996	2,0	16,0	 
public space	public spaces	public spaces|&|public space	2	6,29455750551	28,5157026746	339,448739115	3,0	13,0	 
spatial structure urban	urban spatial structure	urban spatial structure|&|Urban spatial structure|&|urban spatial structures|&|spatial structure and urban	3	97,299878587	184,843878367	510,186984554	35,0	185,0	 
1980s late	late 1980s	late 1980s	2	4,72091812914	21,386777006	308,8739568	3,0	29,0	 
enforcement law	law enforcement	law enforcement	2	4,72091812914	23,3009445856	549,429199952	2,0	10,0	 
population size	population size	population size	2	7,86819688189	35,6446283433	344,622547822	3,0	16,0	 
development process	development process	development process|&|processes of development|&|development processes	2	6,29455750551	28,5157026746	263,938543393	3,0	15,0	 
dynamics urban	urban dynamics	urban dynamics	2	4,72091812914	23,3009445856	309,687445698	3,0	21,0	 
congestion traffic	traffic congestion	traffic congestion	2	4,72091812914	21,386777006	629,501777512	3,0	12,0	 
density housing	housing density	housing density	2	6,29455750551	28,5157026746	306,530264911	3,0	26,0	 
influence significant	significant influence	significant influence	2	4,72091812914	21,386777006	363,101442657	3,0	20,0	 
forest urban	urban forests	urban forests	2	4,72091812914	23,3009445856	381,465743716	2,0	19,0	 
bird community	bird communities	bird communities|&|bird community	2	12,589115011	62,1358522282	411,012117688	3,0	33,0	 
demand elasticity housing price	price elasticity of demand for housing	price elasticity of demand for housing	6	5,95713542369	28,0169695754	580,589953159	2,0	13,0	 
system transportation	transportation system	transportation system	2	9,44183625827	40,0573069894	395,142495124	4,0	20,0	 
improvement transportation	transportation improvements	transportation improvements	2	4,72091812914	23,3009445856	357,211651901	2,0	15,0	 
structure traffic	traffic structure	traffic structure	2	7,86819688189	38,8349076426	1088,74409084	2,0	12,0	 
area metropolitan	metropolitan areas	metropolitan areas|&|metropolitan area	2	42,4882631622	111,875659886	279,446906212	20,0	133,0	 
system urban	urban system	urban system	2	11,0154756347	44,2754924684	353,464022127	5,0	20,0	 
analysis theoretical	theoretical analysis	theoretical analysis	2	4,72091812914	23,3009445856	313,069216058	2,0	11,0	 
bird community structure	bird community structure	bird community structure|&|structure of the bird community	3	5,95713542369	28,0169695754	435,226242789	2,0	26,0	 
spatial structure	spatial structure	spatial structure|&|Spatial structure	2	40,9146237858	107,732116927	367,55038549	22,0	158,0	 
density distribution	density distribution	density distribution	2	4,72091812914	21,386777006	906,620856988	3,0	8,0	 
mode transportation	transportation modes	transportation modes	2	6,29455750551	28,5157026746	324,605619651	3,0	12,0	 
master plan	master plan	master plan	2	6,29455750551	31,0679261141	347,78090408	2,0	8,0	 
activity economic	economic activity	economic activity	2	7,86819688189	33,3810891578	272,757344353	6,0	57,0	 
city model	city model	city model	2	6,29455750551	26,7048713263	587,548160909	4,0	23,0	 
change climate	climate change	climate change	2	7,86819688189	38,8349076426	670,980929911	2,0	3,0	 
form urban	urban form	urban form	2	17,3100331402	66,4197816887	352,220660904	6,0	39,0	 
application model	model application	model application|&|application of the model	2	4,72091812914	21,386777006	433,437802074	3,0	17,0	 
cost transportation	transportation costs	transportation costs	2	4,72091812914	21,386777006	332,719089184	3,0	20,0	 
land price	land prices	land prices|&|land price|&|price of land	2	23,6045906457	83,7818120192	426,712710241	8,0	48,0	 
analysis model	analysis and modeling	analysis and modeling|&|modeling and analysis|&|analysis model|&|model analysis	3	7,86819688189	33,3810891578	316,524751105	4,0	21,0	 
area green	green areas	green areas	2	6,29455750551	28,5157026746	325,774231287	3,0	29,0	 
trade wildlife	wildlife trade	wildlife trade|&|WILDLIFE TRADE	2	11,0154756347	54,3688706997	414,650754972	2,0	8,0	 
demand land	land demand	land demand|&|demand for land	2	6,29455750551	28,5157026746	421,192330402	3,0	25,0	 
