72;modeling+urban;information+system;3D+model;area+urban;network+transportation;method+modeling;method+traditional;land+use;modeling+system;model+urban;flow+traffic;modeling+network;geographic+information+system;actual+forecasting+result;modeling+technology;model+simulation;environment+graphical+runtime;resolution+satellite;network+urban;current+research;design+network+problem;3D+modeling+urban;analysis+empirical;evaluation+performance;modeling+urban+year;independent+project;Urban+modeling;development+policy;analysis+policy;communication+network+simulation+support;10;6;5;5;5;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
111;land+use;information+system;modeling+urban;area+urban;model+simulation;geographic+information+system;modeling+system;environment+urban;network+transportation;3D+model;growth+urban;growth+model;method+modeling;flow+traffic;model+urban;change+land+use;planning+urban;automata+cellular;traffic+urban;development+urban;system+urban;modeling+network;change+land+urban+use;model+system;dynamics+urban;calibration+model;environment+modeling;function+other+several;region+urban;modeling+simulation;12;11;10;9;7;7;6;6;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;2;2;2;2
147;change+land+use;modeling+urban;information+system;model+simulation;system+urban;dynamics+system;geographic+information+system;growth+model;planning+urban;growth+scenario;network+transportation;environment+urban;modeling+system;dynamics+urban;land+urban+use;method+modeling;3D+model;change+land-use;calibration+model;change+land+urban+use;form+urban;growth+model+urban;land+urban;dynamics+growth+urban;model+urban;framework+model;ecosystem+service;flow+traffic;model+system;development+pattern;14;14;13;10;8;8;8;7;7;6;6;6;6;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;3
177;information+system;area+urban;model+simulation;growth+model;modeling+urban;system+urban;growth+population;dynamics+system;geographic+information+system;network+transportation;planning+urban;modeling+system;land+urban;environment+urban;dynamics+urban;integrated+model;method+modeling;dynamic+model;calibration+model;development+sustainable;3D+model;flow+traffic;dynamics+growth+urban;ecosystem+service;support+system;framework+model;model+system;development+model;design+network;model+urban;18;17;14;11;11;9;9;8;8;8;7;7;7;6;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4
229;area+urban;information+system;model+simulation;growth+model;dynamics+system;modeling+urban;geographic+information+system;modeling+system;network+transportation;model+urban;support+system;decision+support;model+system;development+sustainable;environment+urban;framework+model;analysis+method;3D+model;dynamic+model;maker+policy;policy+variable;analysis+network;method+modeling;modeling+process;environmental+impact;flow+traffic;application+model;analysis+sensitivity;dynamics+model+system;model+programming;23;22;20;15;12;11;9;8;8;7;7;7;7;6;6;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4
297;information+system;model+system;area+urban;model+simulation;growth+model;dynamics+system;system+urban;growth+model+urban;geographic+information+system;modeling+urban;dynamics+urban;support+system;decision+support;network+transportation;development+sustainable;model+urban;development+model;analysis+network;environment+urban;analysis+method;earth+model+system;ice+sea;land+surface;dynamics+model+system;framework+model;3D+model;model+optimization;information+technology;application+model;analysis+policy;28;26;23;21;15;13;12;11;11;11;10;9;9;8;7;7;6;6;6;6;5;5;5;5;5;5;5;4;4;4
303;information+system;model+system;area+urban;model+simulation;growth+model;dynamics+system;system+urban;growth+model+urban;modeling+urban;geographic+information+system;dynamics+urban;decision+support;support+system;network+transportation;model+urban;development+sustainable;development+model;dynamics+model+system;analysis+method;analysis+network;environment+urban;climate+model+system;method+modeling;model+optimization;information+technology;framework+model;earth+model+system;ice+sea;land+surface;3D+model;29;27;23;21;15;14;12;11;11;11;10;9;9;8;7;7;6;6;6;6;6;5;5;5;5;5;5;5;5;5
310;information+system;model+system;area+urban;dynamics+system;growth+model;system+urban;modeling+urban;geographic+information+system;dynamics+model;growth+model+urban;dynamics+urban;decision+support;support+system;network+transportation;development+sustainable;dynamics+model+system;model+urban;development+model;information+technology;analysis+method;analysis+network;environment+urban;model+optimization;environmental+impact;method+modeling;3D+model;climate+model+system;land+surface;ice+sea;earth+model+system;30;28;23;16;15;12;11;11;11;11;10;10;9;8;8;8;7;6;6;6;6;6;5;5;5;5;5;5;5;5
331;information+system;dynamics+system;model+system;dynamics+model+system;growth+model;system+urban;growth+model+urban;geographic+information+system;decision+support;modeling+urban;dynamics+urban;support+system;development+sustainable;network+transportation;method+modeling;information+technology;model+urban;analysis+network;analysis+method;environment+urban;result+simulation;earth+model+system;ice+sea;land+surface;model+optimization;framework+model;environmental+impact;climate+model+system;dynamic+model+system;analysis+policy;32;30;29;19;15;12;11;11;11;11;10;9;8;8;7;7;7;6;6;6;5;5;5;5;5;5;5;5;5;5
345;dynamics+system;information+system;model+system;dynamics+model;dynamics+model+system;growth+model;decision+support;system+urban;dynamics+urban;modeling+urban;growth+model+urban;geographic+information+system;support+system;modeling+system;development+sustainable;network+transportation;model+urban;information+technology;method+modeling;model+optimization;analysis+method;analysis+policy;environment+urban;decision+support+system;analysis+network;ice+sea;land+surface;earth+model+system;model+network;climate+model+system;39;32;31;26;20;15;13;12;11;11;11;11;11;10;8;8;8;7;7;6;6;6;6;6;6;5;5;5;5;5
359;dynamics+system;model+system;information+system;dynamics+model;dynamics+model+system;decision+support;support+system;growth+model;system+urban;dynamics+urban;geographic+information+system;modeling+urban;decision+support+system;growth+model+urban;modeling+system;network+transportation;model+urban;development+sustainable;decision+maker;method+modeling;information+technology;decision+making;model+optimization;analysis+method;analysis+network;environment+urban;analysis+policy;dynamic+model+system;climate+model+system;complex+system;44;33;32;31;25;18;15;15;12;11;11;11;11;11;10;9;8;8;7;7;7;6;6;6;6;6;6;5;5;5
369;dynamics+system;information+system;model+system;dynamics+model;dynamics+model+system;decision+support;support+system;growth+model;decision+support+system;dynamics+urban;system+urban;geographic+information+system;modeling+urban;growth+model+urban;modeling+system;network+transportation;development+sustainable;model+urban;environment+urban;information+technology;decision+maker;method+modeling;decision+making;analysis+policy;model+optimization;analysis+method;analysis+network;model+network;result+simulation;climate+model+system;47;34;33;33;28;23;18;15;14;12;12;11;11;11;10;9;8;8;8;8;7;7;7;6;6;6;6;6;5;5
