stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
estimate parameter	parameter estimates	parameter estimates	2	4,72091812914	18,8329710153	325,450159376	2,0	16,0	 
hierarchy network road	hierarchy of the road network	hierarchy of the road network	5	3,9714236158	14,9193430987	144,678442248	2,0	40,0	 
land planning transport use	land use and transport planning	land use and transport planning	5	3,9714236158	14,9193430987	167,954128509	2,0	10,0	 
interaction land transport use	land use and transport interaction	land use and transport interaction|&|land use transport interaction	5	7,94284723159	26,618138786	135,717404932	3,0	35,0	 
interaction transport	transport interaction	transport interaction|&|transport interactions	2	4,72091812914	16,9188034357	177,208300122	13,0	109,0	 
land planning use	land use planning	land use planning	3	7,94284723159	24,3331240332	149,209656117	4,0	50,0	 
model type	type of model	type of model|&|type model	3	7,86819688189	28,1980057261	114,225728368	3,0	51,0	 
policy public transport	public transport policy	public transport policy	3	3,9714236158	14,9193430987	144,678442248	2,0	40,0	 
change land-use transport	land-use and transport changes	land-use and transport changes|&|land-use change and transport	4	3,9714236158	14,9193430987	224,734744811	2,0	13,0	 
integrated land use	integrated land use	integrated land use	3	5,95713542369	19,9636040895	220,647622608	3,0	18,0	 
computer interrelationship model review	review of computer models of the interrelationships	review of computer models of the interrelationships	7	7,94284723159	29,8386861974	124,681282167	2,0	43,0	 
innovative land public use	Innovative land use and public	Innovative land use and public	5	3,9714236158	14,9193430987	144,678442248	2,0	40,0	 
accessibility issue	accessibility issues	accessibility issues	2	7,86819688189	36,8421035102	2431,00041102	1,0	1,0	 
different environment world	different environments around the world	different environments around the world	5	3,9714236158	14,9193430987	333,893881292	2,0	21,0	 
approach weakness	weaknesses of each approach	weaknesses of each approach	4	6,29455750551	25,1106280203	124,681282167	2,0	43,0	 
implementation policy	policy implementation	policy implementation	2	4,72091812914	16,9188034357	141,67834119	3,0	20,0	 
interaction model transport	transport interaction model	transport interaction model|&|transport interaction models	3	13,8999826553	39,4812755652	169,4416668	6,0	60,0	 
issue special	special issue	special issue	2	4,72091812914	18,8329710153	421,993065729	2,0	8,0	 
datum set	data sets	data sets|&|data set	2	6,29455750551	20,7475732325	360,030292655	4,0	21,0	 
complementary land use	complementary land uses	complementary land uses	3	3,9714236158	14,9193430987	362,175024415	2,0	10,0	 
case city many study world	many case studies around the world of cities	many case studies around the world of cities	8	3,9714236158	14,9193430987	333,893881292	2,0	21,0	 
congestion traffic	traffic congestion	traffic congestion	2	4,72091812914	16,9188034357	262,205361986	3,0	10,0	 
instrument policy transportation	transportation policies and the instruments	transportation policies and the instruments	5	3,9714236158	14,9193430987	144,678442248	2,0	40,0	 
consequent demand effect travel	consequent effects on travel demand	consequent effects on travel demand	5	7,94284723159	29,8386861974	124,681282167	2,0	43,0	 
model travel	travel model	travel model	2	4,72091812914	22,1052621061	215,349696351	1,0	8,0	 
pattern travel	travel patterns	travel patterns	2	6,29455750551	25,1106280203	178,446658065	2,0	12,0	 
city consequent	cities and the consequent	cities and the consequent	4	6,29455750551	25,1106280203	124,681282167	2,0	43,0	 
density location	location and density	location and density|&|density and location	3	4,72091812914	16,9188034357	133,595003149	3,0	45,0	 
integrated model	integrated models	integrated models	2	4,72091812914	18,8329710153	194,501812706	2,0	13,0	 
