stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
land rent	land rent	land rent	2	4,72091812914	21,4933485321	248,11165353	3,0	19,0	 
flow traffic	traffic flow	traffic flow	2	11,0154756347	46,9821917154	1020,33051153	4,0	11,0	 
environment urban	urban environment	urban environment|&|urban environments	2	7,86819688189	31,8029709735	262,754085902	5,0	25,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	6,29455750551	28,6577980428	328,099816251	3,0	17,0	 
metropolitan region	metropolitan region	metropolitan region	2	12,589115011	50,8847535575	271,534785451	5,0	56,0	 
affordability housing	housing affordability	housing affordability	2	4,72091812914	21,4933485321	700,699887117	3,0	41,0	 
sprawl urban	urban sprawl	urban sprawl	2	14,1627543874	54,6631723238	298,16058288	6,0	42,0	 
center urban	urban centers	urban centers	2	6,29455750551	28,6577980428	251,297029831	3,0	31,0	 
city development	city development	city development	2	4,72091812914	21,4933485321	320,779620182	3,0	21,0	 
management practice	management practices	management practices	2	4,72091812914	23,4075161117	294,187951636	2,0	10,0	 
land planning use	land use planning	land use planning|&|planning of land use	3	63,5427778527	157,228775961	427,405817916	23,0	219,0	 
dynamics system	system dynamics	system dynamics|&|dynamics of the system	2	18,8836725165	67,45173572	282,13388293	10,0	87,0	 
information land system urban	urban land information system	urban land information system	4	5,95713542369	28,1514478689	482,356218971	2,0	13,0	 
current scenario trend	current trends scenario	current trends scenario	3	5,95713542369	25,7360373103	243,567997189	3,0	39,0	 
network planning	network planning	network planning	2	6,29455750551	31,2100214823	411,802752532	2,0	15,0	 
environmental quality	environmental quality	environmental quality	2	7,86819688189	33,5587083681	530,994931437	4,0	60,0	 
area development	development areas	development areas|&|areas development	2	4,72091812914	21,4933485321	269,164254818	3,0	12,0	 
agriculture urban	urban agriculture	urban agriculture|&|agriculture and urban	2	4,72091812914	23,4075161117	302,014715624	2,0	14,0	 
dynamics urban	urban dynamics	urban dynamics	2	7,86819688189	33,5587083681	239,319380951	4,0	37,0	 
algorithm genetic	genetic algorithms	genetic algorithms	2	4,72091812914	23,4075161117	262,524102296	2,0	19,0	 
land-use management	land-use management	land-use management	2	9,44183625827	40,2704500417	291,573312356	4,0	31,0	 
development regional	regional development	regional development	2	9,44183625827	46,8150322235	287,331449941	2,0	11,0	 
change land modeling urban use	urban land use change modeling	urban land use change modeling|&|modeling of urban land use change	5	5,95713542369	28,1514478689	236,770326214	2,0	22,0	 
intense pressure	intense pressure	intense pressure	2	4,72091812914	21,4933485321	700,699887117	3,0	41,0	 
city planning	city planning	city planning	2	7,86819688189	35,8222475536	278,28456926	3,0	49,0	 
loss open space	loss of open space	loss of open space	4	7,94284723159	32,029701661	625,1760032	4,0	50,0	 
area metropolitan	metropolitan areas	metropolitan areas|&|metropolitan area	2	12,589115011	46,6488658727	266,894789558	7,0	76,0	 
system urban	urban systems	urban systems|&|urban system	2	12,589115011	44,9678238133	288,91665301	8,0	60,0	 
Land use	Land use	Land use	2	9,44183625827	38,1635651681	250,54154297	7,0	68,0	 
decision support	decision support	decision support	2	4,72091812914	21,4933485321	546,406001258	3,0	13,0	 
land-use pattern	land-use patterns	land-use patterns|&|land-use pattern|&|pattern of land-use	2	11,0154756347	46,9821917154	311,731791806	4,0	22,0	 
land market	land market	land market|&|land markets	2	14,1627543874	57,2453477522	352,33510268	6,0	50,0	 
land suitability	land suitability	land suitability	2	4,72091812914	21,4933485321	310,26877659	3,0	24,0	 
development land urban	urban land development	urban land development|&|urban development land	3	9,92855903949	42,8933955172	273,581049612	3,0	37,0	 
alternative model	alternative model	alternative model	2	4,72091812914	23,4075161117	318,904683533	2,0	9,0	 
analysis system	system analysis	system analysis|&|analysis system	2	6,29455750551	28,6577980428	221,70093235	3,0	22,0	 
ecosystem service	ecosystem services	ecosystem services|&|ecosystem service	2	7,86819688189	31,8029709735	319,911888215	5,0	36,0	 
development urban	urban development	urban development	2	36,1937056567	99,9319239095	232,40130692	18,0	181,0	 
framework theoretical	theoretical framework	theoretical framework	2	4,72091812914	21,4933485321	1486,13426992	3,0	6,0	 
model parameter	model parameters	model parameters|&|parameters in the model	2	6,29455750551	28,6577980428	224,791340309	3,0	20,0	 
information land	land information	land information	2	6,29455750551	26,8469666945	248,456037799	5,0	37,0	 
analysis method	analysis method	analysis method	2	4,72091812914	23,4075161117	670,647670638	2,0	10,0	 
