stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
availability weed wide	wide availability of weeds	wide availability of weeds	4	3,9714236158	18,5113221056	311,723732865	2,0	36,0	 
density population size	population size and density	population size and density|&|density and population size|&|population size or density|&|size and population density|&|population density and the size|&|size population density	4	17,8714062711	58,5259197364	342,487355191	9,0	77,0	 
case new	new cases	new cases	2	4,72091812914	23,1028350373	356,448942205	2,0	5,0	 
analysis regression	regression analysis	regression analysis	2	4,72091812914	23,1028350373	283,773948501	2,0	22,0	 
distribution population	population distribution	population distribution	2	6,29455750551	30,8037800497	543,395546207	2,0	10,0	 
density maximum population	maximum population density	maximum population density	3	7,94284723159	33,8020967998	281,582842292	3,0	33,0	 
availability prey	prey availability	prey availability	2	9,44183625827	46,2056700745	411,754953668	2,0	18,0	 
family planning	family planning	family planning	2	12,589115011	52,8814505237	1092,86969357	4,0	17,0	 
density flame surface	flame surface density	flame surface density	3	3,9714236158	18,5113221056	666,618685526	3,0	33,0	 
space use	space use	space use	2	4,72091812914	23,1028350373	353,222007404	2,0	15,0	 
density function population	population density functions	population density functions|&|population density function|&|population as a function of density	3	13,8999826553	52,0532020894	1970,46113644	5,0	14,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	37,0226442113	871,528691502	2,0	14,0	 
deer population	deer population	deer population	2	4,72091812914	23,1028350373	1052,92999194	2,0	10,0	 
datum set	data sets	data sets|&|sets of data	2	4,72091812914	21,1886674577	299,940155867	5,0	59,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	46,2783052641	363,008506452	2,0	23,0	 
area rural	rural areas	rural areas|&|rural area	2	11,0154756347	43,8132368557	919,082705356	5,0	24,0	 
habitat quality	habitat quality	habitat quality	2	4,72091812914	21,1886674577	377,638612138	3,0	18,0	 
curvature propagation term	propagation and curvature terms	propagation and curvature terms|&|curvature and propagation terms	4	9,92855903949	42,2526209998	785,392689857	3,0	28,0	 
energy use	energy use	energy use	2	4,72091812914	23,1028350373	337,694796547	2,0	19,0	 
