stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
network traffic urban	urban traffic network	urban traffic network|&|urban traffic networks|&|traffic in urban networks|&|Urban network traffic|&|Urban traffic network	3	51,6285070053	146,136078458	231,339689045	18,0	155,0	 
flow network	network flow	network flow|&|network flows	2	6,29455750551	28,748469137	294,620741396	5,0	44,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	99,3177265775	1758,76352978	3,0	9,0	 
21st century	21st century	21st century	2	6,29455750551	28,748469137	614,617022045	4,0	19,0	 
mode traffic	traffic mode	traffic mode|&|traffic modes	2	11,0154756347	50,3098209898	326,463496799	4,0	34,0	 
control flow	flow control	flow control	2	6,29455750551	33,1115239248	271,705991157	2,0	8,0	 
layout network	network layout	network layout	2	6,29455750551	33,1115239248	220,481594083	4,0	22,0	 
system traffic urban	urban traffic system	urban traffic system	3	11,9142708474	51,643695894	284,189967354	4,0	32,0	 
assignment flow	flow assignment	flow assignment	2	7,86819688189	38,1991256067	287,812821861	3,0	29,0	 
information real-time traffic	real-time traffic information	real-time traffic information	3	5,95713542369	27,5356090115	214,894140307	3,0	31,0	 
hybrid model	hybrid model	hybrid model	2	7,86819688189	38,1991256067	222,095329197	3,0	25,0	 
control signal	signal control	signal control|&|control signal	2	31,4727875276	109,165954549	205,648970735	28,0	339,0	 
bus priority	bus priority	bus priority	2	6,29455750551	33,1115239248	193,001787447	2,0	32,0	 
aromatic plant	aromatic plants	aromatic plants	2	7,86819688189	41,3894049061	1351,88413955	2,0	3,0	 
reliability time travel	travel time reliability	travel time reliability	3	9,92855903949	49,9183659502	392,527190704	2,0	18,0	 
enforcement law	law enforcement	law enforcement	2	6,29455750551	30,5593004854	1163,00393453	3,0	8,0	 
control network signal traffic	traffic signal control network	traffic signal control network|&|traffic signal network control	4	5,95713542369	29,9510195701	218,104247497	2,0	25,0	 
link travel	link travel	link travel|&|travel along a link	2	6,29455750551	28,748469137	222,360031448	4,0	32,0	 
assignment model	assignment model	assignment model|&|assignment models	2	11,0154756347	47,8517886373	329,517455263	33,0	337,0	 
multimodal network traffic urban	urban multimodal traffic network	urban multimodal traffic network	4	7,94284723159	39,9346927602	229,61858063	2,0	25,0	 
system transportation urban	urban transportation system	urban transportation system	3	7,94284723159	36,7141453487	208,854140586	3,0	46,0	 
network topology	network topology	network topology	2	9,44183625827	39,2943685463	228,930725512	6,0	53,0	 
network public transportation	public transportation network	public transportation network	3	5,95713542369	27,5356090115	272,236747118	3,0	11,0	 
algorithm solution	solution algorithm	solution algorithm	2	18,8836725165	70,9320667743	203,962830271	9,0	93,0	 
algorithm genetic	genetic algorithm	genetic algorithm	2	12,589115011	52,3924913951	217,159372293	6,0	47,0	 
development regional	regional development	regional development	2	9,44183625827	49,6672858873	277,534192866	2,0	8,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	39,9346927602	213,495551463	2,0	9,0	 
layout network transportation	transportation network layout	transportation network layout	3	5,95713542369	29,9510195701	964,992188388	2,0	6,0	 
model network traffic	network traffic model	network traffic model|&|traffic network model|&|network traffic models|&|traffic network models|&|model under a traffic network	3	15,8856944632	59,968375768	328,497688986	11,0	88,0	 
pattern traffic	traffic patterns	traffic patterns	2	7,86819688189	34,1798490266	279,628097769	5,0	32,0	 
demand travel	travel demand	travel demand|&|demand for travel	2	11,0154756347	45,8434299707	198,609927374	6,0	45,0	 
traffic urban	urban traffic	urban traffic	2	7,86819688189	34,1798490266	219,947951484	7,0	77,0	 
consequence growth urban	consequences of urban growth	consequences of urban growth	4	5,95713542369	27,5356090115	277,993784218	3,0	22,0	 
plan signal timing	signal timing plan	signal timing plan|&|signal timing plans	3	11,9142708474	48,9851031858	440,917409736	5,0	53,0	 
flow forecasting traffic	traffic flow forecasting	traffic flow forecasting	3	11,9142708474	48,9851031858	215,47317162	5,0	33,0	 
signal timing	signal timing	signal timing|&|signal timings	2	20,4573118929	72,737889334	294,186297544	13,0	133,0	 
network neural	neural network	neural network	2	7,86819688189	34,1798490266	403,333818302	5,0	21,0	 
jam traffic	traffic jams	traffic jams|&|traffic jam	2	6,29455750551	28,748469137	285,272359036	4,0	17,0	 
model optimization	optimization model	optimization model|&|optimization models	2	20,4573118929	74,6876794088	257,710476216	10,0	74,0	 
management traffic	traffic management	traffic management	2	17,3100331402	65,0210612098	232,772976312	15,0	175,0	 
development urban	urban development	urban development	2	11,0154756347	50,3098209898	414,715729681	4,0	18,0	 
model traffic	traffic model	traffic model|&|traffic models|&|model of the traffic|&|model for the traffic	2	18,8836725165	75,6778061366	249,970540625	10,0	59,0	 
algorithm model	model and algorithm	model and algorithm	3	7,86819688189	34,1798490266	216,115447714	5,0	60,0	 
assignment dynamic problem traffic	dynamic traffic assignment problem	dynamic traffic assignment problem|&|problem of dynamic traffic assignment	4	13,8999826553	54,6150205729	231,940738167	6,0	64,0	 
level service	service level	service level|&|level of service	2	6,29455750551	28,748469137	189,314200861	4,0	36,0	 
control time	time control	time control	2	7,86819688189	35,9355864213	203,707604424	4,0	34,0	 
capacity network road	road network capacity	road network capacity|&|capacity of the road network	3	5,95713542369	29,9510195701	332,300769579	2,0	16,0	 
growth relationship urban	relationship between urban growth	relationship between urban growth|&|relationship with urban growth	4	5,95713542369	29,9510195701	288,530076129	2,0	12,0	 
trade wildlife	wildlife trade	wildlife trade|&|WILDLIFE TRADE	2	11,0154756347	57,9451668685	941,012379235	2,0	4,0	 
road safety	road safety	road safety	2	14,1627543874	68,7584260921	259,417551067	3,0	16,0	 
design network	network design	network design	2	12,589115011	50,4518707577	608,328025305	10,0	73,0	 
control signal traffic	traffic signal control	traffic signal control|&|traffic control signal	3	41,6999479659	128,512785029	213,309691273	21,0	271,0	 
model programming	programming model	programming model|&|programming models	2	11,0154756347	45,8434299707	266,525977957	11,0	110,0	 
growth management urban	urban growth management	urban growth management	3	5,95713542369	29,9510195701	830,988725952	2,0	10,0	 
network sensor	sensor network	sensor network	2	11,0154756347	53,4787758494	238,570275041	3,0	6,0	 
system time total travel	total system travel time	total system travel time|&|total travel time of the system	4	7,94284723159	36,7141453487	202,34598152	3,0	29,0	 
signal traffic	traffic signal	traffic signal|&|traffic signals|&|Traffic signals|&|Traffic signal	2	34,6200662803	117,311466159	209,703107124	32,0	369,0	 
network traffic	traffic network	traffic network|&|network traffic|&|traffic networks|&|Network traffic	2	100,712920088	216,213164268	263,616176652	69,0	552,0	 
article full	Full article	Full article	2	9,44183625827	39,2943685463	2288,91255124	6,0	14,0	 
freight network transportation	freight transportation network	freight transportation network	3	7,94284723159	39,9346927602	213,523962436	2,0	11,0	 
growth management	growth management	growth management	2	15,7363937638	71,8711728426	571,121860769	4,0	15,0	 
model simulation	simulation model	simulation model|&|simulation models|&|model through simulation	2	15,7363937638	60,963535873	364,002063352	14,0	123,0	 
network urban	urban network	urban network|&|urban networks|&|network and urban	2	26,7518693984	92,7910613664	208,067933145	14,0	108,0	 
network road transportation	road transportation network	road transportation network|&|road network transportation	3	9,92855903949	49,9183659502	213,68463433	2,0	18,0	 
macroscopic model	macroscopic model	macroscopic model|&|macroscopic models	2	7,86819688189	35,9355864213	235,2446897	4,0	45,0	 
datum probe vehicle	probe vehicle data	probe vehicle data	3	7,94284723159	39,9346927602	190,581891656	2,0	51,0	 
consumption energy	energy consumption	energy consumption	2	12,589115011	54,6877584426	216,822754258	5,0	36,0	 
assignment traffic	traffic assignment	traffic assignment|&|Traffic assignment	2	64,5192144315	176,435092232	303,935000232	55,0	546,0	 
network simulation traffic	network traffic simulation	network traffic simulation|&|traffic network simulation	3	5,95713542369	29,9510195701	253,561265612	2,0	11,0	 
design network transportation	transportation network design	transportation network design	3	9,92855903949	43,036413245	446,130288148	4,0	25,0	 
light traffic	traffic lights	traffic lights|&|traffic light	2	22,0309512693	82,7540779033	308,63778523	9,0	52,0	 
assignment problem traffic	traffic assignment problem	traffic assignment problem	3	9,92855903949	43,036413245	344,096737079	8,0	78,0	 
bi-level model programming	bi-level programming model	bi-level programming model	3	13,8999826553	54,6150205729	236,154688771	6,0	71,0	 
