stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
canal system	canal system	canal system	2	3,14727875276	16,6072734028	1099,00362647	1,0	2,0	 
city system	city system	city system|&|city systems	2	42,4882631622	103,819876781	176,07468855	22,0	87,0	 
renewal urban	urban renewal	urban renewal	2	3,14727875276	14,4257460089	1466,67029314	2,0	2,0	 
system theory	system theory	system theory|&|systems theory	2	3,14727875276	14,4257460089	107,591970409	2,0	16,0	 
Venezuelan case	Venezuelan Case	Venezuelan Case	2	4,72091812914	19,7244514338	163,981768783	3,0	30,0	 
city just	just city	just city	2	6,29455750551	33,2145468057	1101,00090662	1,0	1,0	 
global system urban	global urban system	global urban system	3	3,9714236158	17,2795654988	119,43135872	2,0	15,0	 
recent work	recent work	recent work	2	4,72091812914	19,7244514338	272,035328447	3,0	4,0	 
city skyline	city skyline	city skyline	2	4,72091812914	24,9109101043	2204,00045331	1,0	1,0	 
continued success	continued success	continued success	2	3,14727875276	14,4257460089	1101,00090662	2,0	1,0	 
critical theory urban	critical urban theory	critical urban theory|&|Critical urban theory	3	11,9142708474	47,0078753793	365,669386522	3,0	1,0	 
analysis network	network analysis	network analysis|&|Network analysis	2	6,29455750551	26,2992685784	112,41464331	3,0	26,0	 
economic system world	world economic system	world economic system	3	3,9714236158	17,2795654988	105,370027239	2,0	27,0	 
course history	course of history	course of history|&|course of the history	3	3,14727875276	14,4257460089	170,610421503	2,0	6,0	 
public space	public spaces	public spaces	2	4,72091812914	19,7244514338	745,740238743	3,0	4,0	 
real world	real world	real world	2	4,72091812914	19,7244514338	338,391017566	3,0	14,0	 
economy political	political economy	political economy	2	3,14727875276	14,4257460089	256,760194111	2,0	8,0	 
city large	large cities	large cities	2	4,72091812914	19,7244514338	106,296575404	3,0	17,0	 
available datum recent	recent data available	recent data available	3	3,9714236158	17,2795654988	91,3177675349	2,0	30,0	 
system world	world system	world system|&|world systems	2	25,1782300221	74,883170106	75,7406859532	11,0	65,0	 
economy world	world economy	world economy	2	9,44183625827	34,6257709715	171,161942086	5,0	32,0	 
development process	development process	development process	2	3,14727875276	14,4257460089	105,370027239	2,0	27,0	 
environmental problem	environmental problems	environmental problems	2	3,14727875276	14,4257460089	228,927927912	2,0	7,0	 
brave exonomy experience new sideline	brave new exonomy sidelines the experiences	brave new exonomy sidelines the experiences	6	3,9714236158	20,0323465809	1099,00362647	1,0	2,0	 
people poor	poor people	poor people	2	7,86819688189	36,0643650223	534,339158356	2,0	4,0	 
