stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
excitation system	excitation system	excitation system|&|excitation systems	2	17,3100331402	62,5043848883	193,538791396	9,0	92,0	 
city system	city system	city system	2	31,4727875276	107,328669999	604,265744707	16,0	62,0	 
control method	control methods	control methods|&|control method	2	9,44183625827	41,7499711666	253,781770004	4,0	30,0	 
configuration system	system configuration	system configuration	2	6,29455750551	29,6441454594	192,773845456	3,0	21,0	 
generation system	generation systems	generation systems|&|generation system	2	7,86819688189	33,0359052441	197,003296076	5,0	44,0	 
configuration network	network configuration	network configuration	2	4,72091812914	24,1472766741	252,556140337	2,0	5,0	 
distribution power	power distribution	power distribution|&|distribution of power|&|distribution power	2	6,29455750551	27,833314111	217,105698094	4,0	34,0	 
power system voltage	power system voltage	power system voltage	3	3,9714236158	19,3899478451	243,214364897	7,0	77,0	 
good performance	better performance	better performance|&|better performances	2	4,72091812914	22,2331090945	307,015403367	3,0	20,0	 
issue stability	stability issues	stability issues	2	4,72091812914	24,1472766741	220,740556793	2,0	15,0	 
network system	system network	system network|&|system networks|&|network system|&|systems network	2	33,046426904	100,312823811	418,563003937	51,0	264,0	 
Power quality	Power quality	Power quality	2	6,29455750551	29,6441454594	237,098850376	3,0	15,0	 
city world	world city	world city	2	4,72091812914	24,1472766741	574,070354582	6,0	39,0	 
design system	system design	system design	2	6,29455750551	29,6441454594	190,696951212	3,0	19,0	 
real world	real world	real world	2	4,72091812914	22,2331090945	387,396592831	3,0	16,0	 
power stability system	power system stability	power system stability|&|stability of power system|&|stability in power system	3	47,6570833896	130,690062528	195,849997476	22,0	207,0	 
cascading failure	cascading failure	cascading failure|&|cascading failures	2	7,86819688189	40,2454611236	246,803569222	2,0	11,0	 
power quality	power quality	power quality	2	9,44183625827	37,9216360074	311,086180965	7,0	52,0	 
system world	world system	world system|&|system world	2	7,86819688189	37,0551818242	338,96945523	4,0	42,0	 
protection relay	relay protection	relay protection	2	4,72091812914	24,1472766741	214,257753898	2,0	7,0	 
economy world	world economy	world economy	2	4,72091812914	24,1472766741	238,589239014	2,0	6,0	 
network topology	network topology	network topology	2	7,86819688189	34,7916426388	225,968916265	6,0	31,0	 
assessment datum dose-response hazard identification	hazard identification and dose-response assessment data	hazard identification and dose-response assessment data	6	3,9714236158	19,3899478451	4699,20339905	2,0	4,0	 
analysis stability	stability analysis	stability analysis	2	7,86819688189	33,0359052441	202,960524097	14,0	112,0	 
area such	areas such	areas such|&|such areas	2	4,72091812914	22,2331090945	223,208825649	3,0	18,0	 
control signal supplementary	supplementary control signal	supplementary control signal|&|supplementary control signals	3	5,95713542369	26,669511209	193,660992183	3,0	44,0	 
flow power program	power flow program	power flow program	3	5,95713542369	29,0849217676	191,516794466	2,0	16,0	 
power security system	power system security	power system security	3	5,95713542369	29,0849217676	227,133790299	2,0	19,0	 
power stability system transient	power system transient stability	power system transient stability|&|transient stability of the power system	4	13,8999826553	52,5941257003	189,858814324	9,0	89,0	 
design energy flywheel storage	flywheel energy storage design	flywheel energy storage design|&|design of flywheel energy storage	4	3,9714236158	19,3899478451	253,515377235	2,0	23,0	 
power quality system	system power quality	system power quality|&|system for power quality	3	3,9714236158	19,3899478451	253,515377235	2,0	23,0	 
network neural	neural network	neural network|&|neural networks	2	18,8836725165	66,1970082225	207,103987006	10,0	75,0	 
network power	power network	power network|&|network power	2	15,7363937638	66,0718104883	243,005675024	7,0	60,0	 
bulk power system	bulk power system	bulk power system	3	7,94284723159	38,7798956901	424,983870262	2,0	12,0	 
phenomenon power stability system	power system stability phenomena	power system stability phenomena	4	3,9714236158	19,3899478451	189,420046886	2,0	15,0	 
plant power	power plant	power plant|&|power plants	2	12,589115011	52,8574483906	257,512404926	5,0	43,0	 
control stability	stability control	stability control|&|stability controls	2	6,29455750551	29,6441454594	257,145601959	4,0	28,0	 
city size	city size	city size	2	6,29455750551	32,1963688989	451,28581012	2,0	4,0	 
