stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
integration model	integration model	integration model|&|model integration	2	6,29455750551	34,1790153072	293,06716578	2,0	11,0	 
flow traffic	traffic flow	traffic flow	2	11,0154756347	52,177930909	733,298476212	4,0	10,0	 
environment urban	urban environments	urban environments|&|urban environment	2	12,589115011	54,5274741599	476,211025623	6,0	12,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	7,86819688189	37,2699506493	252,57915943	4,0	21,0	 
activity urban	urban activities	urban activities	2	6,29455750551	31,6267918678	306,974426382	3,0	22,0	 
result simulation	simulation results	simulation results|&|results from simulation	2	9,44183625827	42,6170559055	403,685134051	5,0	28,0	 
decision group support	group decision support	group decision support	3	5,95713542369	30,9612876824	325,891332484	2,0	11,0	 
decision support system	decision support system	decision support system|&|decision support systems	3	17,8714062711	68,1088333083	735,516575044	11,0	69,0	 
analysis network	network analysis	network analysis	2	14,1627543874	61,3434084299	468,817501195	6,0	21,0	 
environmental impact	environmental impacts	environmental impacts	2	7,86819688189	35,5142132546	241,711649767	5,0	40,0	 
assessment development residential sustainability urban	sustainability assessment of urban residential development	sustainability assessment of urban residential development	6	5,95713542369	30,9612876824	327,913996378	2,0	20,0	 
dynamics system	system dynamics	system dynamics|&|dynamics of the system	2	51,9300994205	155,145551919	681,634459121	44,0	234,0	 
dynamics urban	urban dynamics	urban dynamics	2	18,8836725165	70,3451412247	234,912984124	11,0	71,0	 
information land system urban	urban land information system	urban land information system	4	5,95713542369	30,9612876824	523,434423887	2,0	9,0	 
current scenario trend	current trends scenario	current trends scenario	3	5,95713542369	28,5458771238	226,420278183	3,0	42,0	 
network planning	network planning	network planning	2	6,29455750551	34,1790153072	248,040401012	2,0	15,0	 
3D visualization	3D visualization	3D visualization	2	6,29455750551	31,6267918678	254,025479378	3,0	17,0	 
circulation general model	general circulation model	general circulation model	3	7,94284723159	35,7761547456	388,261650636	4,0	38,0	 
information model system	information system model	information system model	3	5,95713542369	30,9612876824	215,189535332	2,0	13,0	 
development residential	residential development	residential development	2	6,29455750551	31,6267918678	309,359818481	3,0	29,0	 
resource water	water resources	water resources	2	6,29455750551	31,6267918678	363,231089841	3,0	10,0	 
host plant	host plant	host plant|&|plant host	2	6,29455750551	31,6267918678	1214,17390738	3,0	4,0	 
time travel	travel time	travel time	2	6,29455750551	34,1790153072	636,744248344	2,0	9,0	 
system transportation	transportation system	transportation system	2	9,44183625827	44,7239407791	294,379059577	4,0	24,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas	2	9,44183625827	42,6170559055	228,825358316	5,0	51,0	 
system urban	urban system	urban system|&|urban systems	2	18,8836725165	68,7020468764	380,614534651	12,0	77,0	 
decision support	decision support	decision support|&|Decision support	2	6,29455750551	29,8159605194	674,273472244	18,0	104,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	31,6267918678	503,030073068	3,0	5,0	 
area station	station area	station area	2	6,29455750551	34,1790153072	395,58133204	2,0	13,0	 
model such	such models	such models|&|models such	2	6,29455750551	29,8159605194	229,662078524	4,0	25,0	 
complex system	complex systems	complex systems|&|complex system	2	7,86819688189	35,5142132546	354,838496361	5,0	27,0	 
planning support system	planning support system	planning support system	3	5,95713542369	30,9612876824	233,251192679	2,0	17,0	 
model optimization	optimization model	optimization model|&|optimization models|&|model optimization	2	15,7363937638	68,1593426999	339,708376336	6,0	28,0	 
analysis method	analysis method	analysis method|&|analysis methods|&|methods of analysis	2	11,0154756347	47,7115398899	287,788456915	6,0	23,0	 
building group model	group model building	group model building	3	5,95713542369	30,9612876824	529,712365212	2,0	9,0	 
method modeling	modeling methods	modeling methods|&|modeling method	2	14,1627543874	59,1602102129	553,994454084	7,0	15,0	 
application model	model application	model application|&|application of the model	2	6,29455750551	29,8159605194	244,980123619	4,0	21,0	 
climate model system	climate system model	climate system model|&|system climate model	3	11,9142708474	51,0056394103	506,234409558	5,0	53,0	 
information technology	information technology	information technology|&|information technologies	2	17,3100331402	72,3069235935	840,518320865	7,0	25,0	 
allocation land use	land use allocation	land use allocation	3	5,95713542369	30,9612876824	237,459495621	2,0	19,0	 
design network problem	network design problem	network design problem	3	11,9142708474	57,0917542476	1077,77459403	3,0	11,0	 
fixation nitrogen	nitrogen fixation	nitrogen fixation	2	7,86819688189	39,5334898347	1158,74457505	3,0	3,0	 
model programming	programming model	programming model	2	6,29455750551	31,6267918678	401,864277572	4,0	20,0	 
dynamics model system	system dynamics model	system dynamics model|&|system dynamics models	3	73,4713368922	196,287221292	767,996723606	25,0	141,0	 
mode reference	reference modes	reference modes	2	7,86819688189	39,5334898347	248,440879579	3,0	7,0	 
logit model	logit model	logit model|&|logit models	2	11,0154756347	55,3468857686	219,848016458	3,0	15,0	 
modeling urban year	years of urban modeling	years of urban modeling	4	5,95713542369	30,9612876824	606,284145948	2,0	4,0	 
dynamics model	dynamics model	dynamics model|&|dynamics models|&|dynamics of the model	2	9,44183625827	40,8956056199	802,623824671	31,0	159,0	 
demand travel	travel demand	travel demand	2	6,29455750551	34,1790153072	431,087657621	2,0	16,0	 
network traffic	traffic network	traffic network	2	7,86819688189	39,5334898347	449,94274558	3,0	15,0	 
decision management risk	risk management decisions	risk management decisions	3	5,95713542369	28,5458771238	4892,88183715	3,0	5,0	 
decision making	decision making	decision making	2	9,44183625827	40,8956056199	231,551135141	6,0	22,0	 
geographic information system	geographic information system	geographic information system|&|geographic information systems	3	27,7999653106	97,0940713569	296,943148687	11,0	62,0	 
policy variable	policy variables	policy variables	2	6,29455750551	29,8159605194	340,076578825	4,0	20,0	 
land scheme surface	land surface scheme	land surface scheme	3	5,95713542369	30,9612876824	358,14576524	3,0	37,0	 
support system	support system	support system|&|support systems|&|support of the system	2	9,44183625827	42,6170559055	657,226101151	15,0	90,0	 
land surface	land surface	land surface	2	6,29455750551	31,6267918678	462,827591607	5,0	60,0	 
decision maker	decision makers	decision makers	2	7,86819688189	37,2699506493	365,304758506	7,0	44,0	 
