stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
integration model	integration model	integration model|&|model integration	2	6,29455750551	34,3519535887	262,998318626	2,0	12,0	 
flow traffic	traffic flow	traffic flow	2	11,0154756347	52,4805729016	1073,0334151	4,0	11,0	 
environment urban	urban environments	urban environments|&|urban environment	2	15,7363937638	64,0646100327	440,920732298	8,0	22,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	7,86819688189	37,4861235011	256,032364587	4,0	21,0	 
result simulation	simulation results	simulation results|&|results from simulation	2	9,44183625827	42,8764633278	335,155508542	5,0	30,0	 
decision group support	group decision support	group decision support	3	5,95713542369	31,1249555434	303,39984738	2,0	11,0	 
decision support system	decision support system	decision support system|&|decision support systems	3	27,7999653106	97,8578547082	776,540046256	14,0	83,0	 
analysis network	network analysis	network analysis	2	14,1627543874	61,7325195633	461,193818205	6,0	21,0	 
environmental impact	environmental impacts	environmental impacts	2	7,86819688189	35,7303861065	227,297258542	5,0	40,0	 
assessment development residential sustainability urban	sustainability assessment of urban residential development	sustainability assessment of urban residential development	6	5,95713542369	31,1249555434	330,208240051	2,0	20,0	 
conceptual model	conceptual model	conceptual model	2	6,29455750551	31,7997301493	376,548765421	3,0	14,0	 
dynamics system	system dynamics	system dynamics|&|systems dynamics|&|dynamics of the system	2	53,5037387969	159,039809179	737,536809374	47,0	242,0	 
dynamics urban	urban dynamics	urban dynamics	2	20,4573118929	74,9892668643	299,837008216	12,0	78,0	 
model purpose	model purpose	model purpose|&|purpose of the model	2	6,29455750551	34,3519535887	761,679453773	2,0	6,0	 
network planning	network planning	network planning	2	6,29455750551	34,3519535887	252,484052184	2,0	15,0	 
3D visualization	3D visualization	3D visualization	2	6,29455750551	31,7997301493	223,934388825	3,0	17,0	 
circulation general model	general circulation model	general circulation model	3	7,94284723159	35,9943785603	411,482373035	4,0	37,0	 
information model system	information system model	information system model	3	5,95713542369	31,1249555434	216,33316239	2,0	13,0	 
development residential	residential development	residential development	2	6,29455750551	31,7997301493	221,190166328	3,0	29,0	 
resource water	water resources	water resources	2	6,29455750551	31,7997301493	351,46526684	3,0	10,0	 
host plant	host plant	host plant|&|plant host	2	6,29455750551	31,7997301493	1227,84113307	3,0	4,0	 
time travel	travel time	travel time	2	6,29455750551	34,3519535887	643,43746915	2,0	9,0	 
system transportation	transportation system	transportation system	2	9,44183625827	44,9833482014	292,408029521	4,0	24,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas	2	9,44183625827	42,8764633278	227,522239392	5,0	50,0	 
system urban	urban system	urban system|&|urban systems	2	18,8836725165	69,2208617209	378,672691717	12,0	78,0	 
decision support	decision support	decision support|&|Decision support	2	9,44183625827	41,1550130422	747,731281719	23,0	120,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	31,7997301493	453,260515731	3,0	5,0	 
area station	station area	station area	2	6,29455750551	34,3519535887	393,067740687	2,0	13,0	 
planning process urban	urban planning process	urban planning process	3	11,9142708474	62,2499110867	348,55559037	2,0	7,0	 
model such	such models	such models|&|models such	2	6,29455750551	29,9888988009	216,166297744	4,0	25,0	 
complex system	complex systems	complex systems|&|complex system	2	7,86819688189	35,7303861065	356,282535582	5,0	27,0	 
planning support system	planning support system	planning support system	3	5,95713542369	31,1249555434	227,941935669	2,0	17,0	 
model optimization	optimization model	optimization model|&|optimization models|&|model optimization	2	15,7363937638	68,5916884036	338,270065567	6,0	28,0	 
analysis method	analysis method	analysis method|&|analysis methods|&|methods of analysis	2	11,0154756347	48,0141818825	276,647593375	6,0	23,0	 
building group model	group model building	group model building	3	5,95713542369	31,1249555434	526,111874793	2,0	9,0	 
method modeling	modeling methods	modeling methods|&|modeling method	2	14,1627543874	59,5493213462	544,449563411	7,0	15,0	 
application model	model application	model application|&|application of the model	2	6,29455750551	29,9888988009	246,015139228	4,0	21,0	 
climate model system	climate system model	climate system model|&|system climate model	3	11,9142708474	51,3329751322	533,84614491	5,0	52,0	 
information technology	information technology	information technology|&|information technologies	2	18,8836725165	76,8775320393	776,866507906	8,0	31,0	 
