stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
family planning service	family planning services	family planning services	3	5,95713542369	28,1514478689	298,494899438	2,0	22,0	 
density population size	population size and density	population size and density|&|size population density|&|density and population size|&|population density and the size	4	9,92855903949	40,0371270763	258,983858934	5,0	29,0	 
law power	power law	power law	2	4,72091812914	21,4933485321	255,748849837	3,0	27,0	 
case new	new cases	new cases	2	4,72091812914	23,4075161117	905,305928342	2,0	5,0	 
numerous population specialized survey	numerous specialized population surveys	numerous specialized population surveys	4	3,9714236158	18,7676319126	621,189754319	2,0	20,0	 
analysis regression	regression analysis	regression analysis	2	6,29455750551	28,6577980428	415,261575811	3,0	20,0	 
indicator key many other	many other key indicators	many other key indicators	4	3,9714236158	18,7676319126	621,189754319	2,0	20,0	 
family planning	family planning	family planning	2	18,8836725165	69,973298809	334,683587561	8,0	68,0	 
density flame surface	flame surface density	flame surface density	3	3,9714236158	18,7676319126	391,897128647	3,0	34,0	 
cause major	major causes	major causes	2	4,72091812914	21,4933485321	437,536992114	3,0	19,0	 
health service	health services	health services	2	4,72091812914	21,4933485321	283,795141145	5,0	52,0	 
space use	space use	space use	2	4,72091812914	23,4075161117	346,756102742	2,0	14,0	 
density function population	population density functions	population density functions|&|population density function|&|population as a function of density	3	17,8714062711	64,8205970615	843,632858509	6,0	22,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	37,5352638252	354,073533181	2,0	17,0	 
population size	population size	population size|&|Population size|&|Population Size|&|size of the population|&|size population	2	53,5037387969	150,78364158	295,645249005	21,0	110,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	46,9190797815	285,652922532	2,0	24,0	 
area rural	rural areas	rural areas|&|rural area	2	12,589115011	48,5894865101	694,673956596	6,0	30,0	 
rate survival	survival rate	survival rate	2	6,29455750551	26,8469666945	354,587229206	4,0	18,0	 
factor important	important factor	important factor	2	6,29455750551	26,8469666945	422,462238731	4,0	23,0	 
child health	child health	child health	2	6,29455750551	28,6577980428	290,26972809	3,0	23,0	 
energy use	energy use	energy use	2	4,72091812914	23,4075161117	334,970130512	2,0	18,0	 
association density population	association between population density	association between population density|&|association with population density	4	5,95713542369	28,1514478689	486,335527669	2,0	13,0	 
age child	children under age	children under age	3	4,72091812914	21,4933485321	537,229624199	3,0	25,0	 
bearing child	bearing children	bearing children|&|child bearing	2	4,72091812914	21,4933485321	402,927250978	3,0	9,0	 
control population	population control	population control|&|control population|&|population on the control	2	4,72091812914	23,4075161117	268,137719397	2,0	7,0	 
