stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
model turbulence	turbulence models	turbulence models|&|turbulence model	2	11,0154756347	36,5644385554	51,5768021016	4,0	27,0	 
environment urban	urban environments	urban environments	2	3,14727875276	12,6285098383	126,372361656	2,0	9,0	 
law power	power law	power law	2	4,72091812914	18,9427647575	91,3843963598	2,0	9,0	 
aorta human model	model human aorta	model human aorta	3	7,94284723159	26,8028644892	107,944500002	3,0	27,0	 
air-water flow	air-water flow	air-water flow	2	3,14727875276	14,8100372322	194,428313336	1,0	5,0	 
element finite mixed-Galerkin	mixed-Galerkin finite element	mixed-Galerkin finite element	3	3,9714236158	15,0117059503	211,694583252	2,0	7,0	 
blood flow	blood flow	blood flow|&|Blood flow	2	7,86819688189	28,3809952965	83,653701902	3,0	8,0	 
attack heart	heart attack	heart attack	2	3,14727875276	14,8100372322	845,004711425	1,0	2,0	 
flow urban	urban flow	urban flow	2	14,1627543874	41,268918261	176,717786244	6,0	22,0	 
flow mean	mean flow	mean flow	2	3,14727875276	12,6285098383	143,462305646	2,0	9,0	 
numerical solution	numerical solutions	numerical solutions	2	3,14727875276	12,6285098383	98,6850428133	2,0	11,0	 
linear stability	linear stability	linear stability	2	3,14727875276	14,8100372322	186,11931296	1,0	3,0	 
column efficiency	column efficiency	column efficiency	2	6,29455750551	29,6200744645	142,38627215	1,0	2,0	 
coaxial jet	coaxial jet	coaxial jet|&|coaxial jets	2	6,29455750551	25,2570196766	93,4642302618	2,0	13,0	 
drop pressure	pressure drop	pressure drop	2	12,589115011	38,9787499462	107,560940908	5,0	28,0	 
dispersion pollutant	pollutant dispersion	pollutant dispersion|&|dispersion of a pollutant	2	7,86819688189	31,5712745958	126,546885379	2,0	18,0	 
flow visualization	flow visualization	flow visualization	2	6,29455750551	22,7047962372	111,572898691	3,0	15,0	 
flow laminar	laminar flow	laminar flow	2	4,72091812914	17,0285971779	88,9799662101	3,0	13,0	 
inlet velocity	inlet velocity	inlet velocity	2	3,14727875276	14,8100372322	18,9983940451	1,0	2,0	 
experimental investigation	experimental investigation	experimental investigation	2	4,72091812914	17,0285971779	92,5259414402	3,0	9,0	 
axial flow	axial flow	axial flow	2	3,14727875276	12,6285098383	62,3939282614	2,0	5,0	 
pattern roughness	roughness patterns	roughness patterns	2	4,72091812914	22,2150558483	210,254711425	1,0	1,0	 
