stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
complex network	complex networks	complex networks	2	4,72091812914	21,4082846428	552,526149171	3,0	13,0	 
network security	network security	network security	2	4,72091812914	23,3224522224	402,431044053	2,0	1,0	 
environment urban	urban environments	urban environments	2	6,29455750551	26,7335481754	913,739440789	4,0	10,0	 
network street	street network	street network|&|street networks	2	7,86819688189	38,8707537041	784,684299846	2,0	6,0	 
network system urban	urban network system	urban network system	3	3,9714236158	18,6960727943	286,604230717	2,0	10,0	 
analysis network	network analysis	network analysis|&|Network analysis|&|analysis network	2	23,6045906457	74,3185123056	635,502881546	13,0	40,0	 
land planning use	land use planning	land use planning	3	9,92855903949	46,7401819858	199,494609542	2,0	11,0	 
range statistical technique	range of statistical techniques	range of statistical techniques	4	3,9714236158	18,6960727943	208,132456662	2,0	30,0	 
city large	large cities	large cities	2	4,72091812914	21,4082846428	190,777304854	3,0	13,0	 
city network world	world city network	world city network|&|world city networks	3	109,214149434	207,975382285	155,100902376	34,0	258,0	 
network planning	network planning	network planning	2	11,0154756347	54,4190551857	278,70978345	2,0	5,0	 
choice route	route choices	route choices|&|route choice	2	6,29455750551	26,7335481754	327,322947639	4,0	13,0	 
business firm service	business service firms	business service firms	3	3,9714236158	18,6960727943	187,500125766	2,0	18,0	 
business service	business service	business service|&|business services|&|services business	2	6,29455750551	26,7335481754	151,202389391	6,0	38,0	 
gene network	gene network	gene network	2	4,72091812914	23,3224522224	1413,50070646	2,0	2,0	 
public transport urban	urban public transport	urban public transport|&|public transport and the urban	3	3,9714236158	18,6960727943	276,876347068	2,0	14,0	 
network road transportation urban	urban road transportation network	urban road transportation network	4	3,9714236158	21,4488538764	236,040777276	1,0	4,0	 
system transportation	transportation system	transportation system|&|transportation systems	2	7,86819688189	31,6611978246	181,878561453	5,0	38,0	 
study urban	urban studies	urban studies	2	6,29455750551	28,5443795238	128,227434138	3,0	15,0	 
connectivity global loss	loss of global connectivity	loss of global connectivity	4	3,9714236158	18,6960727943	208,132456662	2,0	30,0	 
critical role	critical role	critical role|&|critical roles	2	6,29455750551	26,7335481754	180,601619093	4,0	28,0	 
analysis tool	analysis tools	analysis tools	2	4,72091812914	23,3224522224	493,838271711	2,0	5,0	 
analysis network social	social network analysis	social network analysis	3	5,95713542369	25,6286986329	722,346583817	3,0	6,0	 
different way	different ways	different ways	2	4,72091812914	21,4082846428	141,204106258	3,0	15,0	 
change land use	land use change	land use change	3	7,94284723159	34,1715981772	237,607068026	3,0	18,0	 
development strategy	development strategy	development strategy	2	4,72091812914	23,3224522224	370,148706918	2,0	2,0	 
public transport	public transport	public transport	2	4,72091812914	21,4082846428	244,202568095	3,0	24,0	 
network power	network power	network power|&|power network	2	9,44183625827	40,1003222632	159,497589468	4,0	24,0	 
city connectivity general network rise world	general rise of connectivity in the world city network	general rise of connectivity in the world city network	9	3,9714236158	18,6960727943	208,132456662	2,0	30,0	 
security tenure	tenure security	tenure security|&|security of tenure	2	4,72091812914	23,3224522224	148,56216482	2,0	4,0	 
city world	world city	world city|&|world cities|&|cities across the world|&|cities around the world	2	34,6200662803	99,0409122989	152,641895081	37,0	270,0	 
connectivity gain global	gain in global connectivity	gain in global connectivity	4	3,9714236158	18,6960727943	208,132456662	2,0	30,0	 
building component trust	trust building components	trust building components	3	3,9714236158	21,4488538764	199,813476645	1,0	4,0	 
change climate	climate change	climate change	2	4,72091812914	23,3224522224	200,131550246	2,0	15,0	 
form urban	urban form	urban form	2	6,29455750551	31,0966029633	200,884445104	2,0	8,0	 
connectivity global	global connectivities	global connectivities|&|global connectivity	2	6,29455750551	28,5443795238	189,493505316	3,0	37,0	 
land type use	land use types	land use types	3	3,9714236158	18,6960727943	269,542205027	2,0	7,0	 
building security	security building	security building	2	4,72091812914	26,5947433133	199,813476645	1,0	4,0	 
organ pineal	pineal organ	pineal organ	2	6,29455750551	35,4596577511	2829,00035323	1,0	1,0	 
network performance	network performance	network performance	2	4,72091812914	23,3224522224	293,793757245	2,0	14,0	 
combinatorial concept important optimization	important concept in combinatorial optimization	important concept in combinatorial optimization	5	3,9714236158	18,6960727943	1250,23493858	2,0	6,0	 
firm global service	global service firms	global service firms	3	7,94284723159	31,8865834245	127,652764321	4,0	39,0	 
design network	network design	network design	2	7,86819688189	38,8707537041	332,279671445	2,0	9,0	 
land management	land management	land management	2	9,44183625827	37,9934373896	433,996678272	5,0	23,0	 
model programming	programming model	programming model	2	4,72091812914	23,3224522224	609,677815057	2,0	8,0	 
land transportation use	transportation and land use	transportation and land use|&|land use and transportation	4	3,9714236158	18,6960727943	262,936320631	2,0	8,0	 
network structure	network structure	network structure|&|network structures|&|structure networks	2	14,1627543874	54,4079806559	724,650309555	6,0	24,0	 
city master plan	city master plan	city master plan	3	3,9714236158	21,4488538764	214,976414259	1,0	9,0	 
Chinese city network	Chinese city networks	Chinese city networks	3	3,9714236158	21,4488538764	173,280654851	1,0	9,0	 
efficient use	efficient use	efficient use	2	4,72091812914	21,4082846428	189,608946196	3,0	21,0	 
network spatial	network spatial	network spatial|&|spatial network	2	6,29455750551	28,5443795238	610,150766951	3,0	10,0	 
city network power world	power in world city networks	power in world city networks	5	3,9714236158	18,6960727943	267,905156571	2,0	10,0	 
city level regional	city level and the regional	city level and the regional	5	3,9714236158	18,6960727943	208,132456662	2,0	30,0	 
air flow passenger	air passenger flows	air passenger flows	3	3,9714236158	18,6960727943	312,977455241	2,0	8,0	 
network traffic	network traffic	network traffic|&|traffic network	2	11,0154756347	44,3256769545	808,86040723	5,0	14,0	 
land urban use	urban land use	urban land use	3	15,8856944632	60,2283765713	148,46181958	5,0	51,0	 
network theory	network theory	network theory	2	4,72091812914	23,3224522224	274,320976986	2,0	10,0	 
cell division	cell division	cell division	2	4,72091812914	23,3224522224	585,798731308	2,0	4,0	 
replaced-dns undirected vertices	vertices of an undirected replaced-dns	vertices of an undirected replaced-dns	5	3,9714236158	18,6960727943	1250,23493858	2,0	6,0	 
structure system	structure system	structure system|&|system structure	2	7,86819688189	35,6804744047	279,556199978	3,0	9,0	 
network urban	urban network	urban network|&|urban networks	2	31,4727875276	96,572182609	243,81240004	13,0	60,0	 
decade past	past decade	past decade	2	6,29455750551	26,7335481754	360,82739663	4,0	11,0	 
system transport	transport systems	transport systems	2	4,72091812914	21,4082846428	212,291658613	4,0	11,0	 
land plan use	land use plan	land use plan	3	3,9714236158	18,6960727943	385,073651651	2,0	10,0	 
region urban	urban regions	urban regions	2	4,72091812914	21,4082846428	196,763017863	3,0	8,0	 
paradigm shift	paradigm shift	paradigm shift	2	6,29455750551	31,0966029633	180,409310118	2,0	14,0	 
network social	social networks	social networks|&|social network	2	7,86819688189	31,6611978246	690,884216501	5,0	13,0	 
expression gene	gene expression	gene expression	2	4,72091812914	23,3224522224	1445,63845846	2,0	2,0	 
city network research	research on city network	research on city network|&|city network research	4	3,9714236158	18,6960727943	157,026871492	2,0	16,0	 
network street urban	urban street networks	urban street networks	3	3,9714236158	18,6960727943	784,684299846	2,0	6,0	 
project research	research project	research project	2	4,72091812914	21,4082846428	253,941100363	3,0	24,0	 
planning urban	urban planning	urban planning	2	6,29455750551	28,5443795238	154,065011914	3,0	37,0	 
model network	network model	network model	2	18,8836725165	62,8977104157	173,017140256	11,0	83,0	 
other word	other words	other words	2	4,72091812914	23,3224522224	128,706217242	2,0	30,0	 
centrality power	centrality and power	centrality and power|&|power and centrality	3	7,86819688189	35,6804744047	349,789113146	3,0	17,0	 
