stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
land rent	land rent	land rent|&|land rents	2	15,7363937638	62,8381607117	413,282120349	7,0	38,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	95,8695369857	1087,75959326	3,0	11,0	 
environment urban	urban environment	urban environment|&|urban environments	2	22,0309512693	74,6196766454	286,371284048	11,0	60,0	 
city structure	city structure	city structure|&|structure of a city|&|structure of cities	2	12,589115011	50,2705285694	320,385998745	6,0	29,0	 
center city	city center	city center	2	7,86819688189	32,8536222605	623,484100341	5,0	30,0	 
result simulation	simulation results	simulation results	2	4,72091812914	22,1237393044	307,974415338	3,0	16,0	 
heat island	heat islands	heat islands|&|heat island	2	6,29455750551	29,4983190725	590,165191564	3,0	21,0	 
spatial variation	spatial variation	spatial variation	2	4,72091812914	24,037906884	432,580397909	2,0	11,0	 
metric spatial	spatial metrics	spatial metrics	2	9,44183625827	48,075813768	278,037862587	2,0	16,0	 
public space	public spaces	public spaces|&|public space	2	6,29455750551	29,4983190725	344,055602906	3,0	13,0	 
gravity model	gravity model	gravity model	2	4,72091812914	24,037906884	431,442582886	2,0	11,0	 
green space urban	urban green spaces	urban green spaces	3	7,94284723159	35,375335866	306,387201434	3,0	30,0	 
expansion land urban	urban land expansion	urban land expansion	3	7,94284723159	35,375335866	333,999352554	3,0	19,0	 
enforcement law	law enforcement	law enforcement	2	4,72091812914	24,037906884	558,706271391	2,0	10,0	 
population size	population size	population size	2	7,86819688189	36,8728988406	413,278048719	3,0	17,0	 
development process	development process	development process|&|processes of development|&|development processes	2	6,29455750551	29,4983190725	268,366116892	3,0	15,0	 
spatial structure urban	urban spatial structure	urban spatial structure|&|Urban spatial structure|&|urban spatial structures|&|spatial structure and urban	3	99,2855903949	201,151281389	454,24819105	36,0	181,0	 
density housing	housing density	housing density	2	6,29455750551	29,4983190725	388,296038769	3,0	26,0	 
city model	city model	city model	2	6,29455750551	27,6874877242	563,886855846	4,0	23,0	 
forest urban	urban forests	urban forests	2	4,72091812914	24,037906884	404,496589221	2,0	20,0	 
bird community	bird communities	bird communities|&|bird community	2	12,589115011	64,101085024	435,016689387	3,0	33,0	 
demand elasticity housing price	price elasticity of demand for housing	price elasticity of demand for housing	6	5,95713542369	28,9469124581	594,824657053	2,0	13,0	 
system transportation	transportation system	transportation system	2	9,44183625827	41,5312315862	350,091646844	4,0	18,0	 
improvement transportation	transportation improvements	transportation improvements	2	4,72091812914	24,037906884	351,383097985	2,0	15,0	 
structure traffic	traffic structure	traffic structure	2	7,86819688189	40,06317814	1310,37692945	2,0	11,0	 
area metropolitan	metropolitan areas	metropolitan areas|&|metropolitan area	2	42,4882631622	118,508320571	276,111359104	20,0	130,0	 
system urban	urban system	urban system	2	11,0154756347	45,9950711648	366,866542124	5,0	20,0	 
bird community structure	bird community structure	bird community structure|&|structure of the bird community	3	5,95713542369	28,9469124581	464,460248894	2,0	26,0	 
