"TITLE";"ID";"YEAR";"CITCOM";"MODEL";"TYPE";"TEMPSCALE";"SPATSCALE";"METHODO";"EQU";"THEME";"CASE";"DISCIPLINE";"PROCESSES";"OBSERVATION";"LINK"
"Analysis of the impact of high-speed railroad service on air transport demand";"2741168611238703427";"2006";"NA";"no";;;;"survey";;;;"transportation";;;
"Roads, land use, and deforestation: a spatial model applied to Belize";"10120413830864362824";"1996";"NA";"yes";"territory";"NA";"country";"stat";"NA";"sustainibility";"Belize";"economics";"market,luc";;
"Spatiotemporal urbanization processes in the megacity of Mumbai, India: A Markov chains-cellular automata urban growth model";"5526883927689977429";"2013";"NA";"yes";"territory";"50";"metro";"ca";"no";"urban growth";"Mumbai";"geography";"luc";;
"Analyse économique des configurations urbaines et de leur étalement";"4261196624544641724";"2000";"NA";"yes";"territory";"25";"metro";"stat";"NA";"urban growth";"stat";"economics";"micro-eco,transport cost,market,amenities";;
"Modeling the spatial dynamics of regional land use: the CLUE-S model";"11472243155749927644";"2002";"NA";"yes";"territory";"25";"region";"ca";"no";"sustainibility";"Philippines, Malaysia";"environment";"luc";;
"Modelling the joint access mode and railway station choice";"7836108439721214640";"2009";"NA";"hs";;;;;;;;"transportation";;;
"Why do the poor live in cities? The role of public transportation";"4592975781722496335";"2008";"NA";"hs";;;;;;;;"economics";;;
" Handbook of regional and urban economics: cities and geography";"12440628822469350927";"2004";"NA";"hs";;;;;;;;"economics";;;
"Modeling urban expansion scenarios by coupling cellular automata model and system dynamic model in Beijing, China";"5280571749216175921";"2006";"NA";"yes";"territory";"30";"metro";"ca,systemdynamics";"no";"urban growth";"Beijing";"geography";"luc";;
" Ecogenèse territoriale et territorialité";"17145424911259202104";"1986";"NA";"no";;;;;;;;"geography";;;
"Alternative transportation modes in an urban land use model: a general equilibrium approach";"3165364121707577821";"1979";"NA";"yes";"network";"0";"metro";"eq";"yes";"transportation";"stat";"economics";"transportation demand";;
"The land use and transit connection in Toronto: Some lessons for Australian cities";"2456603338811174337";"1991";"NA";"no";;;;;;;;"planning";;;
"Can the high speed rail reinforce tourism attractiveness? The case of the high speed rail between Perpignan (France) and Barcelona (Spain)";"12567231728166421187";"2009";"NA";"yes";"territory";"20";"region";"eq";"yes";"hsr";"Perpignan";"economics";"agglomeration,dispersion";;
"The effects of urban spatial structure on travel demand in the United States";"8979905650138042379";"2005";"NA";"hs";;;;;;;;"economics";"urban form";;
"Multiple criteria decision-making techniques and their applications–a review of the literature from 2000 to 2014";"1709037592918865759";"2015";"NA";"hs";;;;;;;;"economics";"decision making";;
"Do plans matter? The effects of light rail plans on land values in station areas";"5893033290987527886";"2001";"NA";"yes";"territory";"5";"metro";"stat";"NA";"tod";"Oregon";"planning";"land value";;
"Reducing energy consumption through trajectory optimization for a metro network";"9996518109486866181";"1975";"NA";"hs";;;;;;;;"engineering";;;
"An integrated model of facility location and transportation network design";"13527409584934730161";"2001";"NA";"hs";;"NA";"NA";"ro";"no";"network design";"abstract";"transportation";;"Co-design network/facility";
"Accessibility evaluation of land-use and transport strategies: review and research directions";"14903997275377177864";"2004";"NA";"no";;;;;;"accessibility";;"geography";"accessiblity";"compares measures";
"Current operational urban land‐use–transport modelling frameworks: A review";"17564692245329390408";"2005";"NA";"review";;;;;;"luti";;"transportation";;;
"Urban form and travel behaviour: micro-level household attributes and residential context";"6816438350432176732";"2002";"NA";"hs";;;;;;;;"economics";;;
"A TOD planning model to review the regulation of allowable development densities around subway stations";"17412736314612590072";"2006";"NA";"yes";"territory";"NA";"local";"ro";;"tod";"Taipei";"planning";"density regulation";;
"A study of on integrated intercity travel demand model";"9428224722855847242";"2005";"NA";"hs";;;;;;;;"transportation";;;
"Evolution of the transit-oriented development model for low-density cities: a case study of Perth's new railway corridor";"18352831680500291924";"2008";"NA";"no";;;;;;"tod";"Perth";"planning";;;
"Transport networks and spatial choices: A European perspective";"5327509358687884035";"2007";"NA";"hs";;;;;;;;"transportation";;;
"Network design and transportation planning: Models and algorithms";"13527193772942453318";"1984";"NA";"hs";;;;;;"network design";;"transportation";;;
"Transportation and Land Use";"8660477253315319284";"2007";"NA";"no";;;;;;;;"geography";;"conceptual";
"Light rail proximity: Benefit or detriment in the case of Santa Clara County, California?";"6642187910472493264";"2001";"NA";"yes";"territory";"NA";"region";"stat";"NA";"housing market";"Santa Clara";"transportation";"housing market";;
" A land-use/transport interaction model for Austria";"12023503774881923572";"2009";"NA";"yes";"territory";"30";"country";"sim";"no";"luti";"Austria";"transportation";"active relocation,employment relocation,housing market";;
"A coverage model for improving public transit system accessibility and expanding access";"7714873155324269506";"2003";"NA";"hs";;;;;;;;"transportation";;;
"On the development of raem: The dutch spatial general equilibrium model and it's first application to a new railway link";"14419148078104479576";"2001";"NA";"yes";"territory";"20";"region";"eq";"yes";"transportation";"Amsterdam";"economics";"market,monopolistic competition";;
"Measuring territorial cohesion impacts of High-Speed Rail at different planning levels";"11015756863966592631";"2010";"NA";"hs";;;;;;"hsr";;"economics";;;
" The effect of infrastructure on long run economic growth";"18091431345429858831";"2004";"NA";"yes";"territory";"50";"country";"stat";"NA";"economic growth";"stat";"economics";"economic growth";;
"Rail transit and joint development: Land market impacts in Washington, DC and Atlanta";"17274035543169056854";"1994";"NA";"yes";"territory";"10";"local";"stat";"NA";"office market";"Washington, Atlanta";"planning";;;
" The saga of integrated land use-transport modeling: how many more dreams before we wake up?";"17733260940907186980";"2003";"NA";"no";;;;;;;;"transportation";;;
"La Performance territoriale des réseaux de transport";"14348395245465787968";"1997";"NA";"no";;;;;;;;"geography";;;
"Infrastructure, long‐run economic growth and causality tests for cointegrated panels";"3411011351715304243";"2008";"NA";"yes";"territory";"50";"country";"stat";"NA";"economic growth";;"economics";"economic growth";;
"The connection between public transit and employment: the cases of Portland and Atlanta";"9782602539524643904";"1999";"NA";"yes";"territory";"10";"local";"stat";"NA";;"Washington, Atlanta";"economics";"employment";;
"Multiple‐criteria decision support system in highway infrastructure management";"9673759713056410648";"2008";"NA";"hs";;;;;;;;"transportation";"decision making";;
"Does high-speed rail accessibility influence residential property prices? Hedonic estimates from southern Taiwan";"7207311748950739271";"2010";"NA";"yes";"territory";"0";"region";"stat";"NA";"hsr";"Taiwan";"transportation";"housing market";;
"Transit-oriented land planning model considering sustainability of mass rail transit";"2024160217331154543";"2010";"NA";"yes";"territory";"0";"local";"ro";"NA";"sustainibility";"Shenzhen";"planning";;;
"High speed rail: implication for cities";"18210480312465665176";"2012";"NA";"hs";;;;;;"hsr";;"transportation";;;
"Impact of rapid transit on suburban residential property values and land development";"10362761944235665290";"1972";"NA";"no";;;;;;"land development";;"economics";;;
"An application of an integrated transport network–multiregional CGE model: a framework for the economic analysis of highway projects";"7946482934883538573";"2004";"NA";"yes";"territory";"0";"country";"eq";"yes";"transportation";"South Korea";"economics";;;
" Aménagement du territoire et utilisation du sol";"16967190880366879666";"1984";"NA";"hs";;;;;;;;"geography";;;
"A unifying modelling framework to simulate the Spatial Economic Transport Interaction process at urban and national scales";"8447436889705718760";"2012";"NA";"yes";"strong";"NA";"country";"eq";"NA";;;"economics";;"conceptual";
" Les territoires du tramway moderne: de la ligne à la ville durable";"10809851577547721507";"2005";"NA";"hs";;;;;;;;"geography";;;
"Light-rail-transit impacts in Portland: The first ten years";"13938663556136217211";"1999";"NA";"yes";"territory";"10";"local";"stat";"NA";;"Portland";"economics";"active relocation";;
"LUTI model for the metropolitan area of Santander";"11426798802384056706";"2013";"NA";"yes";"territory";"NA";"metro";"sim,stat";"yes";"luti";"Santander";"planning";"transportation policy";;
"How accessibility shapes land use";"15575741556156415962";"1959";"NA";"yes";"territory";"NA";"metro";"eq";"no";;;"planning";"accessiblity";;
"Territorial cohesion impacts of high-speed rail at different planning levels";"2882196390170800133";"2012";"NA";"yes";"territory";"15";"country";"map";"NA";"hsr";"Spain";"geography";"accessiblity,territorial cohesion";;
"Transit's value-added effects: light and commuter rail services and commercial land values";"6684170136495887910";"2002";"NA";"yes";"territory";"0";"local";"stat";"NA";"transportation";"Santa Clara";"economics";"housing market";;
"Optimal Land Use—Transport Strategies: Methodology and Application to European Cities";"9935339511624817265";"2005";"NA";"no";;;;;;;;"transportation";;;
"Rules for biologically inspired adaptive network design";"17893242022307076992";"2010";"NA";"yes";"network";"NA";"metro";"sim";"no";"transportation";"Tokyo";"biology";"network growth";;
"The land-use impacts of urban rail transit systems";"14078813764339021668";"1996";"NA";"review";;;;;;;;"planning";;;
"Calibrating the Naples land-use and transport model";"4797711363877193555";"1994";"NA";"yes";"territory";"NA";"metro";"stat,ml,sim";"no";"luti";"Naples";"planning";;;
" Commercial Property Values and Proximity to Light Rail: Calculating Benefits with a Hedonic Price Model";"5195046070265209607";;"NA";"yes";"territory";"0";"local";"stat";"NA";"housing market";;"economics";"housing market";;
"Bus rapid transit impacts on land uses and land values in Seoul, Korea";"1786504861447836048";"2011";"NA";"yes";"territory";"0";"metro";"stat";"NA";"housing market";"Seoul";"transportation";"housing market";;
