"The socio-spatial dynamics of systems of cities and innovation processes: a multi-level model";"484546251878757817";"2008"
"Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model";"5750425554346314152";"2015"
" Video games and urban simulation: new tools or new tricks?";"15363435225343605206";"2012"
" Vitesse et processus de sélection hiérarchique dans le système des villes françaises";"2985457441268618732";""
"Geographic automata systems: a new paradigm for integrating GIS and geographic simulation";"17972997284072990107";"2003"
" Etat de l'art de la modélisation du paysage";"5172979629657369855";""
"Les territoires périurbains et leur développement dans le monde: un monde en voie d'urbanisation et de périurbanisation";"16967308713901823375";"2015"
" Modelling land use and transportation dynamics: methodological issues, state of the art, and applications in developing countries";"2603812332557624597";"2006"
" A New Method to Evaluate Simulation Models: The Calibration Profile (CP) Algorithm";"15726759740229850049";"2015"
" Complexity, cognition and the city";"12899164016634241157";"2011"
"Les villes dans l'espace-temps: vitesse des communications et structuration des territoires à l'échelle intra et interurbaine";"12578422881285893687";"2005"
"Interactions Localisations Transport. Projet ILOT–Phase I. Rapport final pour la DRAST";"10775133384675889380";"2006"
" Au fondement du tourisme: habiter autrement le Monde";"9055151464656366004";"2005"
" Cities, cells, and complexity: Developing a research agenda for urban geocomputation";"13986924841969357285";"2000"
"基于多智能体的居住区位空间选择模型";"13662499957385538846";"2010"
"Villes, agents et acteurs en géographie";"16111453934010725354";"2001"
"基于就业市场的劳动人口区位选择行为的多智能体模拟";"17863053467219584150";"2013"
"LAUDE: Learning Automata for Urban Development Exploration. The Case Study of Rome Urban System";"3520873246705208856";"1998"
" Etude de géographie théorique et expérimentale";"2281308134011046997";"2005"
"Urbanization, Ikization, and Replacement Dynamics";"17705641994830204724";"2015"
"Spatiotemporal heterogeneity of urban planning implementation effectiveness: Evidence from five urban master plans of Beijing";"10357216934824393352";"2012"
"Dynamic modeling of urban areas for supporting integrated coastal zone management in the South Coast of São Miguel Island, Azores (Portugal)";"2265762242295383378";"2013"
" 城市化: 相变与自组织临界性";"17887193945080671315";"2004"
" Les forces centrifuges de la mobilité facilitée, le système des quotidiennetés urbaines et la recomposition des espaces urbains";"12860597332522766812";"2004"
"Les villes intermédiaires dans le monde arabe";"12892362615396764890";"2007"
"Urban Development Modelling: A Survey";"14266094193972774457";"2016"
" Pour une géographie humaine structurale//Eléments of structural geography";"1620328112834327146";"2001"
"Lois d'échelle et mesure des inégalités en géographie";"1568566528500813094";"2007"
"Selecting among five common modelling approaches for integrated environmental assessment and management";"17472739330915455751";"2013"
" Studies on urban sprawl and spatial planning support system for Bangalore, India";"4236955821398185062";"2008"
"基于多智能体系统的空间决策行为及土地利用格局演变的模拟";"9133907181971648389";"2006"
" Modelling Land-Use Changes in Godavari River Basin: A Comparison of Two Districts in Andhra Pradesh";"12015710677205746476";""
" Une théorie géographique des villes";"9332685664450147168";"2010"
" Modélisation prospective spatialisée à l'échelle locale: approche méthodologique";"17195122679964770654";"2008"
"Quelles politiques territoriales pour inscrire l'Afrique dans la mondialisation?";"1861054158286333778";"2007"
" Bretagnolle A., Pumain D., Vacchiani-Marcuzzo C.(2009), The organisation of urban systems, in Lane, Pumain, Van der Leeuw, West (eds), Complexity …";"10777837619049745412";""
"Herramientas del artÃculo";"15899990282481778516";""
"Land use–transport interaction modeling: A review of the literature and future research directions";"4649414176704982030";"2015"
"Fine scale spatialised prospective modelling-a methodological approach. Application to water management in Brittany";"2478631224755263640";"2011"
" Les concepts de système spatial et de dynamique, un essai de formalisation";"12297042856177253368";"1999"
"Villes, société et action publique en Amérique latine. Etude de géographie comparée (Colombie, Argentine, Mexique)";"9924299319438967743";"2002"
" Introduction to computational social science: principles and applications";"18255315654913891324";"2013"
"地理研究的实验方法: 从实体缩微到计算机模拟";"7792139532805845063";"2001"
"Diversity and Complementarity of Agent-Based Models in the Social Sciences";"11510741739643791680";"2014"
" Fragmentation de la ville et nouveaux modes de composition urbaine";"8990397700227602412";"2002"
"多主体系统理论在鄱阳湖区土地利用时空变化过程研究中的应用";"13092524899740415822";"2013"
