A computer movie simulating urban growth in the Detroit region;15192663253141002697
The fundamentals of land prices and urban growth;16761559334346873529
Loose-coupling a cellular automaton model and GIS: long-term urban growth prediction for San Francisco and Washington/Baltimore;17624835233644625816
A theory of urban growth;13628249532326224980
The spatiotemporal form of urban growth: measurement, analysis and modeling;11204449505879475380
Urban growth and the circulation of information: the United States system of cities, 1790-1840;1645110536327896663
Rethinking human capital, creativity and urban growth;4072872508154175261
The new economics of urban and regional growth;17861707551881634082
Sprawl and urban growth;1361320143820643199
Urban growth and innovation: Spatially bounded externalities in the Netherlands;5227132505632281913
Urban growth in developing countries: a review of current trends and a caution regarding existing forecasts;8841765338369772183
Modelling urban growth patterns;18026977324425289621
The growth of the city: an introduction to a research project;13565012757522313627
A theoretical framework for evolutionary economic geography: industrial dynamics and urban growth as a branching process;3019233341377361221
