IRIS;com;DEP;NBUC02;RFUCQ102;RFUCQ202;RFUCQ302;RFUCIQ02;RFUCD102;RFUCD202;RFUCD302;RFUCD402;RFUCD602;RFUCD702;RFUCD802;RFUCD902;RFUCRD02;RFUCET02;RFUCMO02;RFUCGI02
751010101;75056;75;691,7;15827;26376;42572;26745;;;;;;;;;;;;
751010102;75056;75;151,6;17724;33534;54640;36916;;;;;;;;;;;;
751010103;75056;75;276,6;14719;28220;42902;28183;;;;;;;;;;;;
751010105;75056;75;;;;;;;;;;;;;;;;;
751010201;75056;75;1735,9;11313;20895;33595;22282;5214;9198;13236;16946;25343;30546;38636;50997;9,8;38369,58;27041,10;0,4489
751010202;75056;75;1234,5;14325;24038;40917;26593;6671;11949;16011;19405;29608;36900;46100;66594;10,0;34039,82;32610,55;0,4455
751010203;75056;75;1578,3;15878;26163;40886;25008;7146;13740;17344;21112;30762;36929;45540;57264;8,0;42957,16;32780,02;0,4228
751010204;75056;75;1572,7;12377;22587;33831;21454;5154;9753;14124;18124;26043;30690;37829;50994;9,9;31074,00;28342,12;0,4462
751010206;75056;75;350,2;14243;25511;47820;33577;;;;;;;;;;;;
751010301;75056;75;2048,1;15734;26254;42793;27059;8369;13657;18123;21796;30677;38474;49638;71131;8,5;153666,88;44044,26;0,5495
751010302;75056;75;;;;;;;;;;;;;;;;;
751010303;75056;75;187,5;17946;34733;57341;39395;;;;;;;;;;;;
751010401;75056;75;975,6;17300;32141;52957;35657;9778;14319;20366;25753;38488;48749;59260;84663;8,7;66374,21;45841,51;0,4825
751010402;75056;75;1123,8;14202;24766;45055;30853;7905;11976;16735;21349;30147;38945;51392;72479;9,2;54613,26;37318,43;0,4800
751020501;75056;75;649,8;13526;24659;44628;31102;;;;;;;;;;;;
751020502;75056;75;220,7;14624;29878;58214;43590;;;;;;;;;;;;
751020503;75056;75;;;;;;;;;;;;;;;;;
751020601;75056;75;1147,1;15460;26117;42932;27472;7335;13488;17737;21916;31499;38116;50157;70445;9,6;41509,77;36600,30;0,4605
751020602;75056;75;1055,8;12533;23239;38391;25858;;;;;;;;;;;;
751020701;75056;75;1376,0;11360;22302;37016;25656;5197;8701;13862;17932;27423;33560;42607;58188;11,2;34926,55;29528,28;0,4591
751020702;75056;75;1418,7;13003;22246;35768;22765;6507;10887;14923;18824;27016;32092;40037;57763;8,9;76633,31;33350,76;0,5022
751020703;75056;75;1457,9;10393;23343;37787;27394;5380;8922;12820;17529;27865;34866;42980;57616;10,7;56034,69;32679,67;0,5092
751020704;75056;75;408,9;14831;24509;38364;23533;;;;;;;;;;;;
751020801;75056;75;1729,5;5900;13472;27068;21168;3195;5020;7228;9919;17590;23918;31439;45042;14,1;23309,87;20404,13;0,5102
751020802;75056;75;1328,4;12755;23643;38193;25438;5652;10522;14880;19497;28432;34509;42856;57378;10,2;42148,18;31606,61;0,4651
751020803;75056;75;1484,5;7424;18068;32374;24950;3429;6266;9702;13943;23284;29557;36527;48384;14,1;22109,93;23523,88;0,4638
751020804;75056;75;1488,4;5504;13351;24574;19070;3120;4868;6803;9684;17043;21447;28314;38421;12,3;17521,88;17797,80;0,4733
751020805;75056;75;1549,3;7039;14815;27404;20365;3750;5788;8376;11218;18897;24551;30090;40126;10,7;18026,39;19572,14;0,4527
751030901;75056;75;1487,2;8015;17025;31043;23028;4121;6806;9746;12507;21548;27632;35265;47862;11,6;32257,91;23953,33;0,4904
751030902;75056;75;1519,3;9215;18745;30995;21780;4200;7304;10960;13892;23028;28119;35461;47130;11,2;21796,66;23239,94;0,4410
751030903;75056;75;1325,0;12055;21290;34726;22671;5339;10241;13546;17351;25329;31654;38720;52307;9,8;23582,80;26779,53;0,4213
751030904;75056;75;1461,0;7470;16545;31861;24391;3676;6049;8919;12226;21749;28011;35928;51607;14,0;28983,85;23431,51;0,4851
751030905;75056;75;1364,9;10001;20127;36371;26370;5013;8033;12014;15820;25630;32344;41164;58769;11,7;27264,16;27380,64;0,4593
751031001;75056;75;1483,0;8981;17850;32556;23575;4435;6826;10784;14150;22848;28212;37883;51871;11,7;26128,07;24554,87;0,4637
751031002;75056;75;1550,0;13657;24308;39053;25396;6288;11265;15767;20063;29844;34934;42899;59186;9,4;27291,33;30091,41;0,4180
751031003;75056;75;1674,3;12252;23305;39332;27080;5843;10170;14483;18706;28242;34787;44400;58505;10,0;33101,51;30914,13;0,4555
751031004;75056;75;1384,7;11869;22082;38994;27125;5200;9746;13564;17260;27378;34874;44615;56760;10,9;64487,42;29766,03;0,4904
751031101;75056;75;1528,6;13094;26502;42215;29121;5158;10275;15897;20933;32393;38615;46279;62427;12,1;33234,77;32655,52;0,4421
751031102;75056;75;1208,7;15181;26385;44129;28948;8501;13341;16692;22107;31535;40246;48230;69672;8,2;36625,48;35121,22;0,4406
751031103;75056;75;1273,7;16572;27476;43167;26595;8738;14485;18284;22190;32522;39221;48195;70718;8,1;63775,19;39973,20;0,4839
751031104;75056;75;1865,3;14495;26332;43043;28548;6772;12174;16951;21012;31996;38588;49714;73459;10,8;82061,70;40223,00;0,5181
751031201;75056;75;1417,0;10471;20749;35951;25480;4709;8354;12140;16422;26615;32383;40877;56519;12,0;38164,14;29360,21;0,4899
751031202;75056;75;1296,5;14401;25993;42974;28573;7375;12433;16396;20969;30405;38373;47550;63557;8,6;31002,68;33386,72;0,4326
751031203;75056;75;1415,4;11619;20527;34743;23124;6616;9647;14115;16645;25523;31601;39074;51323;7,8;24254,20;26892,25;0,4220
751031204;75056;75;1299,7;9552;18773;32518;22966;4431;7744;10859;14735;23724;28917;36960;48842;11,0;22951,96;24134,87;0,4477
751041301;75056;75;1276,7;12977;23052;37700;24723;5710;10620;14743;19486;28174;33662;41865;58553;10,3;31649,22;30327,73;0,4460
751041302;75056;75;1774,5;13374;23486;39026;25652;5564;10884;15619;19139;29431;35591;43349;59095;10,6;46750,23;30129,08;0,4447
751041303;75056;75;1267,4;13469;23485;37496;24027;6103;10883;15655;18733;27785;33354;42208;56383;9,2;54048,62;30735,51;0,4502
751041304;75056;75;189,1;13370;24267;38341;24971;;;;;;;;;;;;
751041401;75056;75;2208,0;12078;20866;33049;20971;5219;9971;13793;17558;24469;28951;36587;49511;9,5;33155,35;26805,69;0,4413
751041402;75056;75;1672,0;13632;23168;36620;22988;6441;11597;15452;19192;27651;32315;40589;58843;9,1;110423,85;34199,95;0,5028
751041403;75056;75;1982,7;10141;20604;36214;26073;3953;7970;12139;16422;25615;32100;40485;55072;13,9;43876,16;28283,31;0,4809
751041404;75056;75;1354,5;12690;20800;33493;20803;5919;10383;14400;17290;25137;30362;37238;49338;8,3;23079,63;26211,16;0,4110
751041501;75056;75;2285,6;15650;23760;37416;21766;9568;13827;17789;20419;27110;32789;42353;59755;6,2;52842,39;32599,09;0,4303
751041502;75056;75;1309,6;16266;28602;46375;30109;9239;14658;18441;23026;35262;41573;53406;70950;7,7;129493,87;44070,40;0,5146
751041503;75056;75;1405,9;16738;27478;46192;29454;9854;14721;18857;22925;34431;41514;50025;66821;6,8;38254,25;36636,54;0,4190
751041504;75056;75;1673,4;13780;24809;40475;26695;7427;12190;16080;19991;30079;36358;45599;64946;8,7;61152,28;35556,84;0,4804
751041601;75056;75;1852,7;15298;30028;53382;38084;7440;12787;17737;23616;39267;47026;60992;88310;11,9;95741,17;44773,12;0,5308
751041602;75056;75;494,7;16626;31618;56543;39917;;;;;;;;;;;;
751041603;75056;75;139,5;18756;30136;46007;27251;;;;;;;;;;;;
751051701;75056;75;1381,0;14249;24497;37368;23119;7482;12439;16045;20376;29094;34640;41849;54853;7,3;26682,75;29365,50;0,3970
751051702;75056;75;1136,7;16978;26541;39251;22273;9679;15178;18826;22470;31215;36080;43339;59257;6,1;28375,80;32791,94;0,3892
751051703;75056;75;1565,4;14836;23051;36383;21547;7711;13222;16265;20004;27166;31825;39867;53881;7,0;24927,45;28812,59;0,3951
751051704;75056;75;1997,9;16207;26193;41894;25687;7562;13857;18186;21596;31159;37514;46349;65530;8,7;35447,53;34387,74;0,4312
751051705;75056;75;1521,6;14785;27567;47459;32674;6874;12286;17319;22513;33407;41737;53292;84406;12,3;115472,82;43588,37;0,5319
751051706;75056;75;;;;;;;;;;;;;;;;;
751051799;75056;75;;;;;;;;;;;;;;;;;
751051801;75056;75;1155,9;16962;26200;37793;20831;9109;14615;18726;22255;29584;34772;41548;51247;5,6;20102,98;29378,48;0,3402
751051802;75056;75;1533,7;15059;24366;36175;21116;8042;13391;17112;20417;28735;33125;40243;53137;6,6;26113,52;29198,30;0,3804
751051803;75056;75;1380,6;14413;25369;36529;22116;7133;12277;16549;20669;28754;33896;39923;48861;6,8;23258,94;28671,79;0,3792
751051804;75056;75;1579,3;15128;23245;35180;20052;8211;13322;16910;20336;27497;32545;38116;55243;6,7;24595,38;28750,92;0,3809
751051805;75056;75;2056,8;15795;25497;38183;22388;8360;13565;18134;21443;29749;35411;41556;52886;6,3;24452,91;30297,21;0,3780
751051806;75056;75;1469,4;13244;22218;34515;21272;6935;11775;14871;18629;25967;31637;38927;50871;7,3;27561,34;26642,32;0,3953
751051807;75056;75;1436,3;15229;22631;35013;19784;9242;13636;17031;19931;26287;32144;39091;53723;5,8;22044,68;28164,34;0,3700
751051808;75056;75;1216,8;15196;26439;40878;25682;6862;13383;17828;22495;31141;37582;44727;55287;8,1;31479,49;32374,13;0,4071
751051809;75056;75;;;;;;;;;;;;;;;;;
751051901;75056;75;1940,8;16302;27368;42384;26082;8138;14133;18548;23137;32655;38955;46336;58185;7,1;23598,72;32016,21;0,3741
751051902;75056;75;1168,7;18491;28786;46531;28040;10237;15984;20253;24419;33756;41642;51195;69866;6,8;57029,91;39268,10;0,4370
751051903;75056;75;1564,8;16045;26905;43073;27028;7798;14115;18000;22738;31980;38345;48634;69438;8,9;51044,02;38169,79;0,4713
751051904;75056;75;932,2;19776;31339;51854;32078;10823;17000;22536;26970;37389;46507;58948;80497;7,4;85150,66;44328,98;0,4545
751051905;75056;75;1583,3;18519;35155;55877;37358;9637;15447;21395;28118;42023;51345;64966;89379;9,3;70007,06;50220,12;0,4884
751051906;75056;75;1476,3;16359;29697;49166;32807;8722;13970;18337;24242;35183;43895;54839;74432;8,5;41315,63;38572,88;0,4350
751051907;75056;75;1317,4;15608;27309;41879;26271;7723;13327;17925;22642;32766;38986;47044;64619;8,4;72340,23;38013,79;0,4783
751051908;75056;75;1990,4;15083;25797;40580;25497;8093;13401;17010;21085;30443;36880;44904;59673;7,4;34312,34;32696,48;0,4209
751052001;75056;75;1596,9;13802;24959;41440;27638;7563;11597;16350;20114;30686;36839;47471;69298;9,2;46822,90;36188,53;0,4860
751052002;75056;75;1086,7;16795;31598;51877;35082;9312;14725;19466;24719;38277;47958;60145;83903;9,0;47287,14;43018,89;0,4604
751052003;75056;75;1307,8;10978;22657;40327;29350;5119;9049;12578;17767;28647;35775;46099;60926;11,9;29684,91;30004,47;0,4611
751052004;75056;75;2178,8;14090;26147;44686;30596;6727;12052;16220;20596;31749;39324;49437;70441;10,5;45105,93;36519,00;0,4801
751052005;75056;75;199,1;12979;17176;26256;13277;;;;;;;;;;;;
751062101;75056;75;1282,4;16895;30603;52280;35385;9421;14669;19371;24859;36962;45845;58411;82373;8,7;63788,58;45145,36;0,4937
751062102;75056;75;1574,6;14548;25238;42744;28196;6658;12694;16658;21016;30849;38179;47911;64128;9,6;34628,71;33591,97;0,4446
751062103;75056;75;1273,4;14817;25573;42839;28023;6460;11735;16919;21040;31418;38562;48646;71170;11,0;103634,98;42409,84;0,5468
751062201;75056;75;1143,8;18370;35749;59625;41255;10248;15823;21527;29234;44473;53934;75076;120183;11,7;158222,51;66197,51;0,5855
751062202;75056;75;1217,2;18651;33070;57444;38793;9519;15600;21428;26613;41170;52021;68292;101600;10,7;91255,31;52073,14;0,5137
751062203;75056;75;1547,3;15823;29517;48460;32637;7667;14221;18437;23684;36629;43587;55278;79980;10,4;44334,23;40771,93;0,4690
751062204;75056;75;1816,5;17100;29964;52839;35739;9245;14189;19429;24945;37933;45945;60020;84304;9,1;90138,19;45941,99;0,5071
751062205;75056;75;;;;;;;;;;;;;;;;;
751062301;75056;75;1194,3;19185;32413;50656;31471;9516;15544;22561;27561;38348;46105;57579;78996;8,3;110710,01;43988,58;0,4757
751062302;75056;75;1158,6;20166;37197;62559;42393;10373;16699;22995;30117;45033;54692;69802;95782;9,2;72947,09;53817,12;0,4908
751062303;75056;75;1430,3;19862;34821;56708;36847;10029;16467;22332;27185;41363;50289;64901;96562;9,6;80268,77;52010,99;0,5055
751062304;75056;75;1192,4;18251;35057;56375;38124;10585;15844;21723;26959;41763;50550;65787;100177;9,5;77028,10;53395,61;0,5159
751062305;75056;75;1561,0;17204;32360;56056;38852;9046;14491;20828;25934;40163;49014;62624;90450;10,0;64783,90;46965,06;0,4886
751062306;75056;75;1732,5;19429;32198;50999;31570;11456;17031;21812;27262;38634;45393;55198;77786;6,8;41023,41;41635,84;0,4127
751062307;75056;75;1319,2;18550;32263;53206;34656;10328;16124;21315;26178;38849;46675;60711;81724;7,9;58847,43;44958,81;0,4593
751062308;75056;75;1940,4;17562;28942;47233;29671;9599;15511;19688;24284;34345;41309;54169;73901;7,7;39749,43;38293,67;0,4287
751062309;75056;75;1544,9;16872;30725;48497;31625;8412;13538;19463;24720;37132;44080;53750;69242;8,2;38616,08;38976,68;0,4356
751062310;75056;75;1428,6;19163;35531;57694;38531;10321;16194;22535;28069;43067;51535;66653;97990;9,5;72193,15;52226,97;0,4987
751062311;75056;75;1230,2;19687;34202;53280;33593;11439;16851;22574;28760;41487;48557;62296;85532;7,5;75811,66;49763,41;0,4832
751062401;75056;75;1432,1;16352;29977;50607;34255;8174;13920;19022;23922;35969;45875;57375;89591;11,0;77524,53;46316,04;0,5184
751062402;75056;75;2052,9;16224;29346;52201;35977;7653;13876;18510;23991;37660;46093;60331;87715;11,5;112388,12;50109,86;0,5557
751072501;75056;75;1457,2;19318;35435;71486;52168;9325;16632;21982;28427;46038;62369;86593;135797;14,6;260436,96;75453,16;0,6217
751072502;75056;75;1199,4;17761;33289;58227;40466;8669;14943;20543;26397;41895;50252;68060;105735;12,2;93365,74;53859,81;0,5380
751072503;75056;75;992,1;19165;34843;59485;40320;10556;16991;21502;28034;41129;53204;70020;113913;10,8;232512,67;72042,59;0,6304
751072504;75056;75;1147,3;17801;34892;66644;48843;10633;15660;20942;27229;44481;59448;76708;123934;11,7;228736,10;66924,42;0,5917
751072505;75056;75;1370,8;16921;30434;57455;40534;9147;13799;19548;25197;38488;49418;68597;117937;12,9;159128,84;65674,12;0,6247
751072506;75056;75;2104,8;17360;31536;59258;41898;9627;15052;19879;24243;39228;50780;68351;106111;11,0;146269,26;58886,83;0,5790
751072508;75056;75;;;;;;;;;;;;;;;;;
751072601;75056;75;1519,0;18584;32628;64984;46400;11471;16518;21187;25841;41230;53819;76403;114261;10,0;116981,68;60410,38;0,5627
751072602;75056;75;1038,7;17805;32799;70543;52738;;;;;;;;;;;;
751072603;75056;75;659,8;18201;36338;60849;42648;;;;;;;;;;;;
751072604;75056;75;1056,0;18211;37342;65391;47180;9907;15662;20790;27170;45469;57681;81839;127168;12,8;144701,70;65426,60;0,5792
751072605;75056;75;;;;;;;;;;;;;;;;;
751072606;75056;75;;;;;;;;;;;;;;;;;
751072701;75056;75;2085,3;15912;28682;47407;31495;8206;13348;18815;23996;34412;42604;55132;83184;10,1;67138,84;42052,99;0,4957
751072702;75056;75;1188,3;20830;35691;56952;36122;10234;17611;22838;29952;42423;51220;64650;88142;8,6;103396,99;53421,89;0,5106
751072703;75056;75;1245,2;22323;40044;61391;39068;12495;18826;26473;33833;46553;55644;67481;97623;7,8;73739,27;54003,19;0,4589
751072704;75056;75;1062,1;20233;33303;57597;37364;10616;17757;22964;28321;39516;50027;63389;89632;8,4;150968,75;52154,37;0,5073
751072705;75056;75;1465,3;20782;37756;65354;44572;11720;18051;23921;30037;45467;57943;75712;117690;10,0;111482,35;62757,99;0,5404
751072706;75056;75;1272,6;17304;26552;48349;31045;11805;15823;18967;22945;32411;43590;55485;86070;7,3;71241,73;45855,10;0,5111
751072707;75056;75;;;;;;;;;;;;;;;;;
751072801;75056;75;1591,8;17656;29666;45698;28042;9664;15462;20261;24472;35536;41781;50163;65730;6,8;39275,44;36285,53;0,3953
751072802;75056;75;1217,8;15161;26916;44261;29100;8227;13660;17895;22042;32718;38578;48798;72706;8,8;67487,43;38042,30;0,4846
751072803;75056;75;1216,4;13909;24995;44347;30438;6868;11969;16850;20899;31973;38869;48364;69105;10,1;57837,67;37791,37;0,4976
751072804;75056;75;2111,2;16069;28136;46108;30039;8808;13636;18571;23155;34018;41310;51213;69826;7,9;42693,13;37633,59;0,4436
751072805;75056;75;2312,4;15298;25209;42071;26773;7911;13351;17213;21110;30545;37169;47193;65920;8,3;43276,80;35126,33;0,4529
751072806;75056;75;1446,5;19771;45910;83965;64195;9731;16161;24215;33841;58343;73587;98740;188014;19,3;195624,66;85870,25;0,6024
751072807;75056;75;1506,0;22170;42572;75703;53533;12058;18986;26499;34842;52781;66246;87795;144665;12,0;150862,30;75788,22;0,5695
751072808;75056;75;1265,6;19430;35299;62586;43156;9683;16213;22033;28117;44416;55371;73816;122098;12,6;85823,94;59027,40;0,5365
751072809;75056;75;1475,4;20795;35096;63363;42568;10549;17363;23924;28804;42769;53461;75108;110855;10,5;72657,39;55245,94;0,5011
751072810;75056;75;2039,3;15980;27703;46890;30910;7530;13649;18065;22145;34484;42094;53181;77434;10,3;59610,96;40988,33;0,4938
751072811;75056;75;1222,8;17090;33895;64663;47573;8041;14842;19755;27331;44077;56483;76808;118759;14,8;162715,89;64946,21;0,5982
751082901;75056;75;1052,1;14259;28601;57271;43012;6648;12165;16611;20801;37125;49668;64480;101055;15,2;127558,69;53412,10;0,5915
751082902;75056;75;679,5;11584;24581;53293;41709;;;;;;;;;;;;
751082903;75056;75;739,3;10981;24512;52785;41804;;;;;;;;;;;;
751082904;75056;75;343,0;13168;28282;61506;48338;;;;;;;;;;;;
751082905;75056;75;333,0;13085;30289;73592;60507;;;;;;;;;;;;
751082906;75056;75;;;;;;;;;;;;;;;;;
751082907;75056;75;;;;;;;;;;;;;;;;;
751082999;75056;75;;;;;;;;;;;;;;;;;
751083001;75056;75;1522,7;18480;34506;56062;37582;7958;15603;21399;27577;42896;51922;67174;104423;13,1;81843,10;52491,64;0,5179
751083002;75056;75;2156,3;15177;32325;57289;42112;6220;11883;18512;25024;40709;50191;64777;93581;15,0;71646,18;47451,91;0,5217
751083003;75056;75;451,9;9459;22069;41394;31935;;;;;;;;;;;;
751083004;75056;75;1450,9;15695;29787;51662;35967;7551;12629;18352;22874;37066;45909;59629;85950;11,4;53919,23;42921,46;0,4943
751083005;75056;75;1161,0;15643;28383;50088;34445;6939;13216;17357;22773;35034;42919;60861;89313;12,9;58252,21;43203,55;0,5098
751083006;75056;75;332,4;13773;27719;46426;32653;;;;;;;;;;;;
751083101;75056;75;192,0;15705;26536;43032;27327;;;;;;;;;;;;
751083102;75056;75;316,7;15542;27303;59817;44275;;;;;;;;;;;;
751083103;75056;75;696,4;15105;24417;42206;27101;;;;;;;;;;;;
751083104;75056;75;611,0;15547;29294;46897;31350;;;;;;;;;;;;
751083105;75056;75;896,5;17963;32776;60340;42377;;;;;;;;;;;;
751083106;75056;75;1008,8;17214;33333;55767;38553;;;;;;;;;;;;
751083107;75056;75;272,5;15296;29505;51808;36512;;;;;;;;;;;;
751083108;75056;75;277,5;14363;24258;40552;26189;;;;;;;;;;;;
751083201;75056;75;1418,5;17685;31308;53066;35382;9038;14944;21150;25963;37340;47382;58395;90235;10,0;51025,66;44042,54;0,4662
751083202;75056;75;1344,1;17722;35490;59727;42005;8838;14714;20625;29253;43067;53249;67799;100185;11,3;80549,75;50942,19;0,5066
751083203;75056;75;1159,0;17868;36656;72069;54201;9393;15587;21067;27942;46172;59767;84622;134912;14,4;158138,98;69450,37;0,5899
751083204;75056;75;1727,9;19170;34775;60235;41065;10496;16107;21609;28144;42391;51485;67575;101504;9,7;86866,61;53118,27;0,5061
751083205;75056;75;2131,5;18902;33337;53469;34567;8150;15482;22069;27743;40470;48920;57815;77648;9,5;42177,26;42705,83;0,4333
751083206;75056;75;1945,5;15970;28050;42741;26771;7600;12816;18171;23222;32730;39784;46721;60899;8,0;29517,48;33376,01;0,4002
751083207;75056;75;1493,1;17477;30778;49761;32284;7768;14927;19899;24614;36641;44672;55683;73388;9,4;80012,68;40679,85;0,4559
751083208;75056;75;425,4;22996;35003;48138;25142;;;;;;;;;;;;
