x;y;t;density;cdistance;rdistance;ceucldistance
34;30;40;0.41975308641975306;8.47213595499958;0;7.0710678118654755
19;30;40;0;23.843766846610826;7.0710678118654755;20.615528128088304
54;5;40;0;35.93106954155728;20.808652046684813;33.54101966249684
39;25;40;0.3333333333333333;14.358485472372255;1;10
54;50;40;0;25.098102252162853;8.94427190999916;21.213203435596427
34;40;40;0.37037037037037035;15.797539172417084;2.23606797749979;7.0710678118654755
34;15;40;0;24.190483161234482;8.246211251235321;20.615528128088304
54;15;40;0;27.244740728260535;12.529964086141668;25
9;20;40;0;34.57168890796868;18.384776310850235;33.54101966249684
29;10;40;0;29.285935974125493;13.341664064126334;26.92582403567252
24;10;40;0;31.208609432472905;15.264337522473747;29.154759474226502
4;10;40;0;43.98979014603413;27.80287754891569;43.01162633521314
4;35;40;0;36.77269903474535;20;35
14;40;40;0;28.44907352115569;10.44030650891055;25.495097567963924
9;0;40;0;48.09302486420607;31.906112267087632;46.09772228646444
29;35;40;0.345679012345679;11.122417494872465;0;10
49;10;40;0;29.014861484322267;13.892443989449804;26.92582403567252
19;0;40;0;42.363961537244975;26.419689627245813;40.311288741492746
24;25;40;0.06172839506172839;19.015339721864635;2.8284271247461903;18.027756377319946
24;45;40;0.012345679012345678;22.280969467497517;5.385164807134504;18.027756377319946
24;20;40;0;23.46702248639896;7.280109889280518;21.213203435596427
9;55;40;0;40.219612239744215;23.323807579381203;36.05551275463989
19;15;40;0;30.079356586568245;13.892443989449804;28.284271247461902
4;15;40;0;41.24684076940178;25.059928172283335;40.311288741492746
14;50;40;0;34.40998647910187;16.401219466856727;29.154759474226502
14;45;40;0;30.815015487110838;12.806248474865697;26.92582403567252
4;30;40;0;37.38822716283366;20.615528128088304;35.35533905932738
39;50;40;0.13580246913580246;16.594471228044156;0;15
14;25;40;0;28.35243765771488;12.165525060596439;26.92582403567252
4;45;40;0;39.549426240783156;21.540659228538015;36.40054944640259
39;35;40;0.6419753086419753;0;0;0
34;55;40;0;23.372236285103742;6.4031242374328485;20.615528128088304
4;25;40;0;38.277634631492965;22.090722034374522;36.40054944640259
39;55;40;0.021739130434782608;20.969112047670894;4;20
19;40;40;0;23.839718907090443;5.830951894845301;20.615528128088304
39;45;40;0.37037037037037035;10.496976092671314;0;10
54;10;40;0;32.0929802433496;16.97056274847714;29.154759474226502
24;0;40;0;40.295863233771;24.351591323771842;38.07886552931954
39;5;40;0;32.38509399650454;17.26267650163207;30
9;45;40;0;35.008767012245144;17;31.622776601683793
49;45;40;0.1111111111111111;19.316108002332072;3.1622776601683795;14.142135623730951
54;35;40;0.18181818181818182;16.886349517372675;4;15
44;10;40;0;27.287942555468902;12.165525060596439;25.495097567963924
14;0;40;0;45.15043564301963;29.206163733020468;43.01162633521314
54;30;40;0.12727272727272726;16.714776642118863;2.23606797749979;15.811388300841896
9;40;40;0;33.305825553023496;15.297058540778355;30.4138126514911
39;40;40;0.49382716049382713;5.921014450119567;1;5
44;45;40;0.2345679012345679;15.446723560977148;1;11.180339887498949
49;35;40;0.35802469135802467;12.51170869774594;0;10
14;5;40;0;41.24684076940178;25.059928172283335;39.05124837953327
24;15;40;0;27.25798040898392;11.313708498984761;25
4;0;40;0;51.01506213165444;34.828149534535996;49.49747468305833
19;35;40;0.012345679012345678;21.77269903474535;5;20
49;55;40;0;25.640663322668832;9.486832980505138;22.360679774997898
49;5;40;0;33.5071938057227;18.384776310850235;31.622776601683793
19;5;40;0;38.14787522117368;22.20360331117452;36.05551275463989
9;15;40;0;36.995564643803256;20.808652046684813;36.05551275463989
49;0;40;0;38.20921025610286;23.08679276123039;36.40054944640259
44;30;40;0.5185185185185185;9.886349517372675;1.4142135623730951;7.0710678118654755
14;15;40;0;33.157475345595586;16.97056274847714;32.01562118716424
29;30;40;0.3333333333333333;11.714776642118865;0;11.180339887498949
34;0;40;0;39.03106467122955;23.08679276123039;35.35533905932738
44;35;40;0.5679012345679012;5;0;5
24;55;40;0;28.071393815405123;10.63014581273465;25
54;25;40;0.01818181818181818;20.797539172417085;6.082762530298219;18.027756377319946
44;15;40;0;22.402527384152982;7.280109889280518;20.615528128088304
39;0;40;0;37.326020806046984;22.20360331117452;35
4;55;40;0;44.916015106392564;26.90724809414742;40.311288741492746
19;45;40;0;27.442748144301746;9.433981132056603;22.360679774997898
9;50;40;0;37.858200253524345;19.849433241279208;33.54101966249684
29;0;40;0;39.13909891948556;23.194827009486403;36.40054944640259
