alphalocalization,diffusion,diffusionsteps,distance,entropy,growthrate,moran,slope
0.5,0.0,1.0,0.36854634573629697,0.8243970635527381,100.0,0.0030432762880056074,-0.9344360269585957
0.5,0.0,1.0,0.36994480838866306,0.8249187207501651,100.0,0.00310663299732925,-0.9405927929485516
0.5,0.0,1.0,0.3658965083788339,0.8215061006639757,100.0,0.003423187678846438,-0.9374722518752927
0.5,0.0,1.0,0.36828962146905375,0.8229901593664458,100.0,0.003093932817588647,-0.9421237969222696
1.5,0.1,7.0,0.06991352213663375,0.982142043081737,500.0,0.21066736679675868,-0.4972661729955586
1.5,0.1,7.0,0.06532070304268546,0.98520163113912,500.0,0.22953249846979643,-0.44842775352561637
1.5,0.1,7.0,0.06566720224878476,0.9847311072159741,500.0,0.20905475271873408,-0.46458044003965565
1.5,0.1,7.0,0.13628013862766825,0.9825611499567861,500.0,0.22690936317255173,-0.5170683791808514
1.5,0.1,7.0,0.08588355905881964,0.9840473065677082,500.0,0.22045529723563256,-0.4846950436774206
1.5,0.1,7.0,0.11728887155627339,0.9774563389657476,500.0,0.22730791572834577,-0.5429189278777341
1.5,0.1,7.0,0.35282953289527247,0.9911474085953909,500.0,0.20320368538487324,-0.36757098434731234
1.5,0.1,7.0,0.17869512822680444,0.9885599692973415,500.0,0.21497286592100945,-0.4149520473636135
1.5,0.1,7.0,0.33719544007908425,0.9914069026648009,500.0,0.1679777851237766,-0.3598602671309055
1.5,0.1,7.0,0.14250516070776326,0.9899617422630758,500.0,0.21680270201831328,-0.3849660560167065
1.5,0.1,7.0,0.16714002187712676,0.9840050960506035,500.0,0.20159513050091105,-0.4733120982263039
1.5,0.1,7.0,0.23640268189962557,0.9881675346456266,500.0,0.2645318304606408,-0.4294949438121228
1.5,0.1,7.0,0.0673320861479286,0.9807588006811521,500.0,0.20124826147594932,-0.5137775245512007
1.5,0.1,7.0,0.24252306996718873,0.9884854810004222,500.0,0.16923455536335225,-0.4218704858372928
1.5,0.1,7.0,0.07947737273468594,0.9768865642987791,500.0,0.27263914850243026,-0.5633050765668035
1.5,0.1,7.0,0.3283407862412267,0.9809259554848211,500.0,0.20555415723459738,-0.5161702003146628
1.5,0.1,7.0,0.3222566984468455,0.9829922669843565,500.0,0.20569911703806407,-0.4975911098266765
1.5,0.1,7.0,0.06542064099574076,0.9800098989906213,500.0,0.23733943295392468,-0.5319662166792375
1.5,0.1,7.0,0.3219385457379879,0.9845877203927365,500.0,0.1645862603770943,-0.44731184485821884
1.5,0.1,7.0,0.2966649194971374,0.9839357300750626,500.0,0.23634073217372098,-0.4998911116686673
1.5,0.1,7.0,0.06752332577280715,0.9769741599715147,500.0,0.21814370191183563,-0.5396967455630688
1.5,0.1,7.0,0.33852027653437783,0.9879351615814379,500.0,0.19829563324618255,-0.42398104648015794
1.5,0.1,7.0,0.09558875293305961,0.989079592462402,500.0,0.18672148895735607,-0.40286987809444097
1.5,0.1,7.0,0.18518531822743478,0.9866736016678186,500.0,0.1944498751356363,-0.4438991798214683
1.5,0.1,7.0,0.26835047859186956,0.9852768372218055,500.0,0.2517812179558919,-0.4638196262377343
1.5,0.1,7.0,0.19581216628427514,0.9776995676249185,500.0,0.18457878923228851,-0.5535499183570202
1.5,0.1,7.0,0.28465441092486854,0.9861491420219044,500.0,0.19773582426327393,-0.4460297906292661
1.5,0.1,7.0,0.293194018490199,0.986609439066952,500.0,0.18310412911117785,-0.4439510834370225
1.5,0.1,7.0,0.38586917196325843,0.9847146970486074,500.0,0.17006790212088085,-0.4602853232061326
1.5,0.1,7.0,0.23404774942777007,0.9911343454576087,500.0,0.2281825372507485,-0.36546198231992133
1.5,0.1,7.0,0.1487432783704608,0.9792711690740546,500.0,0.15985586940341232,-0.5089628399168484
1.5,0.1,7.0,0.19254643441202987,0.983662269319966,500.0,0.20009053879731095,-0.5011241383645902
1.5,0.1,7.0,0.10290357001878864,0.9812202548158989,500.0,0.18611672615135247,-0.4883557895913617
1.5,0.1,7.0,0.09707659940942803,0.9772050463103896,500.0,0.26913784614155567,-0.5931074941650917
1.5,0.1,7.0,0.30148795006826756,0.9891839693528618,500.0,0.1562257318917802,-0.38742280180786215
1.5,0.1,7.0,0.2374370405717592,0.9825721687782142,500.0,0.19440466225371555,-0.482157002009682
1.5,0.1,7.0,0.17438032311414897,0.9915805519938924,500.0,0.23226692541651303,-0.356609326585678
1.5,0.1,7.0,0.2109941663305082,0.9856597249635284,500.0,0.17997282196508124,-0.46557603957770805
1.5,0.1,7.0,0.36909288667019446,0.9779989791181348,500.0,0.16704436583793905,-0.5566887105815967
1.5,0.1,7.0,0.08074358114052174,0.9806573894730078,500.0,0.20793460130989302,-0.48205011424078054
1.5,0.1,7.0,0.15116347199710128,0.9807881892238342,500.0,0.23153927777618183,-0.5162223076685484
1.5,0.1,7.0,0.1571561403739305,0.9800745002556414,500.0,0.1939704489080187,-0.47395352180352046
1.5,0.1,7.0,0.4178475620558206,0.9905096856332396,500.0,0.21447495787868665,-0.37999313114652244
1.5,0.1,7.0,0.20413172042158106,0.9817993750714038,500.0,0.20516009935269625,-0.48791648248044744
1.5,0.1,7.0,0.10763219095024211,0.9741196719458899,500.0,0.2056397373820217,-0.5988051789514944
1.5,0.1,7.0,0.06749826303763477,0.9799087195533651,500.0,0.22917995616630243,-0.4987243085643498
1.5,0.1,7.0,0.06905839971939669,0.9909761496990269,500.0,0.2333360499752498,-0.36945435844626223
1.5,0.1,7.0,0.18295047482533214,0.9942748089661495,500.0,0.20765288281646824,-0.29278024244931145
1.5,0.1,7.0,0.3445525131024536,0.9835566448655889,500.0,0.2467408629182804,-0.4956940667293948
1.5,0.1,7.0,0.07615588550851443,0.9797011059116716,500.0,0.2368501232855687,-0.5354454636715485
1.5,0.1,7.0,0.12466016850120577,0.9885533387857686,500.0,0.2727637729886081,-0.4194106547054645
1.5,0.1,7.0,0.3357258903805664,0.9903602809044809,500.0,0.18795836614820738,-0.38076835751768584
1.5,0.1,7.0,0.15128777844346925,0.9845037992254985,500.0,0.1842840816188487,-0.42613365325435787
1.5,0.1,7.0,0.240031659555053,0.9782210387809879,500.0,0.19956006445473307,-0.5565629271703985
1.5,0.1,7.0,0.06800738686253999,0.9817155267178435,500.0,0.22172661979646902,-0.5063634531203621
1.5,0.1,7.0,0.2622309229791486,0.9908963336601141,500.0,0.22292833647046642,-0.37095057916431967
1.5,0.1,7.0,0.3197167442722916,0.9893635932354933,500.0,0.20736756479920163,-0.40037902878802445
1.5,0.1,7.0,0.09174422271545361,0.9895376368813339,500.0,0.22941193425733086,-0.4000246693960273
1.5,0.1,7.0,0.07990349047761687,0.9772970186329402,500.0,0.2080637623607046,-0.5066391863970408
1.5,0.1,7.0,0.07262672041799181,0.9692213414342736,500.0,0.2852676517232281,-0.6131368989503664
1.5,0.1,7.0,0.3255205621417977,0.9919931432649338,500.0,0.1577539510781641,-0.34880104478493856
1.5,0.1,7.0,0.2392906361603733,0.9810016652993507,500.0,0.21123332114697016,-0.5102651776518281
1.5,0.1,7.0,0.19232796705805943,0.9882182513329253,500.0,0.17255191429862277,-0.3875086220678328
1.5,0.1,7.0,0.3187512638038113,0.9873321964929519,500.0,0.18119480843410918,-0.4316306849061746
1.5,0.1,7.0,0.07692372699125204,0.979200062288826,500.0,0.1809038931100438,-0.49485921359634705
1.5,0.1,7.0,0.06473506885703789,0.9853865411837226,500.0,0.22362709461940725,-0.4589562130206565
1.5,0.1,7.0,0.28416033112834754,0.9834684833788223,500.0,0.17241098538675734,-0.45035010548691595
1.5,0.1,7.0,0.284773079801272,0.9828983447070299,500.0,0.19944925910899075,-0.48657442862643996
1.5,0.1,7.0,0.07207447463549106,0.9863896621723711,500.0,0.21307257277300645,-0.4384140163196765
1.5,0.1,7.0,0.2996181555958626,0.9890241573224501,500.0,0.1877712385292697,-0.4006597476988201
1.5,0.1,7.0,0.3416380705106119,0.9864788318469533,500.0,0.21332076662541355,-0.44562953701708213
1.5,0.1,7.0,0.13331290135794122,0.9788476467454622,500.0,0.20781493054940034,-0.5453946240845485
1.5,0.1,7.0,0.3213808125388326,0.9921163416342855,500.0,0.2035331489767878,-0.3459401097234028
1.5,0.1,7.0,0.20412316681311943,0.9913217797219586,500.0,0.21109123679454472,-0.36382564976086823
1.5,0.1,7.0,0.18413067617161769,0.9874966892007107,500.0,0.23269684741188626,-0.4356410423469417
1.5,0.1,7.0,0.11696877644017775,0.98428548186078,500.0,0.1726675433522227,-0.4437125581433652
1.5,0.1,7.0,0.37796935640331863,0.9880498957658945,500.0,0.16778057858138604,-0.42272042451005687
1.5,0.1,7.0,0.27563547155951396,0.9913724246476668,500.0,0.2612232826382987,-0.36271332312438015
1.5,0.1,7.0,0.19682554687998605,0.9863055459302326,500.0,0.22761766048683227,-0.4564152215921651
1.5,0.1,7.0,0.15891620850012692,0.9867103425534053,500.0,0.22554058688776193,-0.4502757455152119
1.5,0.1,7.0,0.06790685682559315,0.9828394241444854,500.0,0.20967141845687565,-0.5042875258503775
1.5,0.1,7.0,0.3033339191168175,0.9851599356857454,500.0,0.17113539765348088,-0.4695759975458287
1.5,0.1,7.0,0.4419908627552626,0.9893783166788828,500.0,0.17777287603762473,-0.3841677987119623
1.5,0.1,7.0,0.39425325109116266,0.9866914636882507,500.0,0.19653878452596532,-0.44010504442555665
1.5,0.1,7.0,0.4432249900284283,0.9892160286828603,500.0,0.17048457047529514,-0.39859000171182496
1.5,0.1,7.0,0.12178952590284059,0.9845774840999416,500.0,0.20420087961180233,-0.46326411635079573
1.5,0.1,7.0,0.24223410975826135,0.9805289805889965,500.0,0.23859047183413581,-0.5266288226884643
