stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
inequality new representation	new inequalities in representation	new inequalities in representation	4	3,9714236158	18,1138482948	95,6303127054	1,0	16,0	 
communicative rationality	communicative rationality	communicative rationality	2	3,14727875276	15,0868994822	139,501526463	1,0	5,0	 
employment housing	employment and housing	employment and housing	3	3,14727875276	15,0868994822	95,6303127054	1,0	16,0	 
environment urban	urban environment	urban environment	2	3,14727875276	12,9053720883	223,00004329	2,0	11,0	 
divestment encroachment infrastructure	infrastructure encroachment and divestment	infrastructure encroachment and divestment	4	3,9714236158	18,1138482948	95,6303127054	1,0	16,0	 
planning process regional	regional planning processes	regional planning processes	3	3,9714236158	18,1138482948	95,6303127054	1,0	16,0	 
gravity model principal	gravity model and principal	gravity model and principal	4	3,9714236158	15,3610672127	98,2037954027	2,0	28,0	 
enduring geography imprint racialized	enduring racialized imprint upon the geography	enduring racialized imprint upon the geography	6	3,9714236158	18,1138482948	95,6303127054	1,0	16,0	 
sprawl urban	urban sprawl	urban sprawl	2	6,29455750551	23,2585207372	97,3090611528	3,0	15,0	 
concentric zone	concentric zone	concentric zone	2	3,14727875276	12,9053720883	149,795190498	2,0	21,0	 
change innovation	change and innovation	change and innovation|&|innovation and change	3	3,14727875276	12,9053720883	86,7842251272	2,0	4,0	 
1990s geography urban	urban geography in the 1990s	urban geography in the 1990s|&|urban geography during the 1990s|&|urban geography beyond the 1990s	5	5,95713542369	23,041600819	284,342924086	2,0	7,0	 
environmental impact	environmental impacts	environmental impacts	2	4,72091812914	17,4438905529	128,293581324	3,0	17,0	 
50th anniversary publication	50th anniversary of the publication	50th anniversary of the publication	5	3,9714236158	15,3610672127	149,795190498	2,0	21,0	 
governance urban	urban governance	urban governance	2	3,14727875276	12,9053720883	236,494431634	2,0	8,0	 
public space	public space	public space	2	4,72091812914	17,4438905529	206,207895772	3,0	15,0	 
method methodology	method and methodology	method and methodology	3	6,29455750551	25,8107441766	136,347097247	2,0	8,0	 
gravity model	gravity model	gravity model	2	3,14727875276	12,9053720883	98,487593405	4,0	31,0	 
city prison	prisons and cities	prisons and cities	3	3,14727875276	12,9053720883	98,2037954027	2,0	28,0	 
freight transportation	freight transportation	freight transportation	2	3,14727875276	12,9053720883	345,109561477	3,0	9,0	 
provision service	service provision	service provision	2	3,14727875276	15,0868994822	95,6303127054	1,0	16,0	 
coordination transportation	coordination of transportation	coordination of transportation|&|coordination between transportation	3	3,14727875276	12,9053720883	79,2472393901	2,0	7,0	 
