feedbackDecay,feedbackGamma,feedbackWeight,gravityAlpha,gravityDecay,gravityGamma,gravityWeight,growthRate,id,logmse,mselog
180.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,17,33.60474028656174,712.5401768297062
190.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,18,33.60474052011019,712.5401444750487
20.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,1,33.60473742291754,712.5398319842318
50.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,4,33.604737413288184,712.5405342853469
80.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,7,33.604737719233064,712.5405449329254
70.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,6,33.60473754851114,712.540564190145
60.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,5,33.60473744048397,712.5405651690471
40.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,3,33.60473747275817,712.5404462349975
100.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,9,33.60473817940186,712.5404794802819
170.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,16,33.60474004330819,712.5402107466463
90.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,8,33.604737934541795,712.5405151511095
200.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,19,33.60474074381096,712.5401136594627
150.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,14,33.60473952979997,712.5402831697593
120.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,11,33.60473871407451,712.5404008566572
140.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,13,33.604739261757274,712.5403214680554
130.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,12,33.604738988791894,712.5403608454303
160.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,15,33.60473979077796,712.5402462146612
30.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,2,33.60473756857953,712.5402501138698
110.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,10,33.604738442154414,712.5404407819755
10.0,0.2,0.001,0.0,1.0,1.0,0.0,0.04,0,33.604735339602286,712.5388752429639
440.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6243,31.654460314078776,346.5634453248474
430.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6242,31.65445828630055,346.5635720277147
470.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6246,31.654465947068456,346.563094907567
380.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.08,6237,31.6544468060623,346.56429511580797
