stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
inequality new representation	new inequalities in representation	new inequalities in representation	4	3,9714236158	18,1138482948	86,5617517264	1,0	17,0	 
communicative rationality	communicative rationality	communicative rationality	2	3,14727875276	15,0868994822	144,361390595	1,0	5,0	 
employment housing	employment and housing	employment and housing	3	3,14727875276	15,0868994822	86,5617517264	1,0	17,0	 
environment urban	urban environment	urban environment	2	3,14727875276	12,9053720883	222,854910375	2,0	11,0	 
divestment encroachment infrastructure	infrastructure encroachment and divestment	infrastructure encroachment and divestment	4	3,9714236158	18,1138482948	86,5617517264	1,0	17,0	 
investor property residential single-family	Investors in single-family residential properties	Investors in single-family residential properties	5	3,9714236158	18,1138482948	426,857234432	1,0	5,0	 
Analyst accessibility	Accessibility Analyst	Accessibility Analyst	2	3,14727875276	15,0868994822	100,646075691	1,0	9,0	 
gravity model principal	gravity model and principal	gravity model and principal	4	3,9714236158	15,3610672127	96,5487502693	2,0	28,0	 
enduring geography imprint racialized	enduring racialized imprint upon the geography	enduring racialized imprint upon the geography	6	3,9714236158	18,1138482948	86,5617517264	1,0	17,0	 
sprawl urban	urban sprawl	urban sprawl	2	6,29455750551	23,2585207372	110,253610418	3,0	13,0	 
concentric zone	concentric zone	concentric zone	2	3,14727875276	12,9053720883	147,949721589	2,0	21,0	 
investment public	public investment	public investment	2	3,14727875276	15,0868994822	86,5617517264	1,0	17,0	 
change innovation	change and innovation	change and innovation|&|innovation and change	3	3,14727875276	12,9053720883	100,162155533	2,0	3,0	 
1990s geography urban	urban geography in the 1990s	urban geography in the 1990s|&|urban geography during the 1990s|&|urban geography beyond the 1990s	5	5,95713542369	23,041600819	292,222007404	2,0	7,0	 
mode urbanization	modes of urbanization	modes of urbanization	3	3,14727875276	15,0868994822	315,723626374	1,0	6,0	 
50th anniversary publication	50th anniversary of the publication	50th anniversary of the publication	5	3,9714236158	15,3610672127	147,949721589	2,0	21,0	 
governance urban	urban governance	urban governance	2	3,14727875276	12,9053720883	239,848309495	2,0	9,0	 
public space	public space	public space	2	4,72091812914	17,4438905529	113,193053162	3,0	12,0	 
method methodology	method and methodology	method and methodology	3	6,29455750551	25,8107441766	170,357727463	2,0	6,0	 
gravity model	gravity model	gravity model	2	3,14727875276	12,9053720883	104,953943116	4,0	32,0	 
city prison	prisons and cities	prisons and cities	3	3,14727875276	12,9053720883	96,5487502693	2,0	28,0	 
freight transportation	freight transportation	freight transportation	2	3,14727875276	12,9053720883	347,602060014	3,0	12,0	 
provision service	service provision	service provision	2	3,14727875276	15,0868994822	86,5617517264	1,0	17,0	 
analysis decision-making	decision-making analysis	decision-making analysis|&|Decision-making analysis	2	3,14727875276	15,0868994822	93,9760097191	1,0	7,0	 
freight plan transportation	freight transportation planning	freight transportation planning	3	3,9714236158	15,3610672127	229,457854541	2,0	9,0	 
issue special	special issue	special issue	2	4,72091812914	17,4438905529	126,744398754	3,0	8,0	 
benefit decentralization metropolitan	benefits of a metropolitan decentralization	benefits of a metropolitan decentralization	5	3,9714236158	18,1138482948	86,5617517264	1,0	17,0	 
city development geography	Developments in the geography of cities	Developments in the geography of cities	6	3,9714236158	15,3610672127	147,949721589	2,0	21,0	 
plan process transportation	transportation planning process	transportation planning process	3	7,94284723159	27,5015870139	151,338789367	3,0	13,0	 
congestion traffic	traffic congestion	traffic congestion	2	3,14727875276	12,9053720883	276,780956093	2,0	8,0	 
freight movement	freight movement	freight movement	2	4,72091812914	19,3580581325	318,426473331	2,0	8,0	 
analysis robustness	robustness analysis	robustness analysis	2	4,72091812914	22,6303492233	183,162683416	1,0	6,0	 
plan procedure	planning procedure	planning procedure	2	3,14727875276	15,0868994822	78,7397357961	1,0	3,0	 
channel distribution	distribution channels	distribution channels	2	3,14727875276	15,0868994822	291,301007326	1,0	3,0	 
behavior investor	investor behavior	investor behavior	2	3,14727875276	15,0868994822	426,857234432	1,0	5,0	 
form new	new forms	new forms	2	4,72091812914	19,3580581325	108,932380024	2,0	22,0	 
plan process	planning process	planning process|&|planning processes	2	4,72091812914	19,3580581325	133,202244141	5,0	35,0	 
energy passenger transportation	passenger transportation energy	passenger transportation energy	3	3,9714236158	18,1138482948	40,3289982578	1,0	3,0	 
plan transport	transport planning	transport planning	2	4,72091812914	19,3580581325	462,470761971	2,0	6,0	 
demand travel	travel demand	travel demand	2	4,72091812914	17,4438905529	155,397931378	3,0	14,0	 
study urban	urban studies	urban studies	2	7,86819688189	32,2634302208	146,878304747	2,0	15,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas	2	7,86819688189	25,0538743414	414,250915751	5,0	7,0	 
city internal model multiple nucleus pattern	multiple nuclei models of internal patterns of cities	multiple nuclei models of internal patterns of cities	8	3,9714236158	15,3610672127	147,949721589	2,0	21,0	 
affluent more suburbanite	more affluent suburbanites	more affluent suburbanites	3	3,9714236158	18,1138482948	86,5617517264	1,0	17,0	 
process urban	urban processes	urban processes	2	4,72091812914	17,4438905529	244,521847662	3,0	5,0	 
neighborhood urban	urban neighborhoods	urban neighborhoods	2	4,72091812914	19,3580581325	87,5885561088	2,0	19,0	 
development urban	urban development	urban development	2	4,72091812914	17,4438905529	154,089697288	3,0	16,0	 
field geography urban	field of urban geography	field of urban geography|&|urban geography as a field	4	3,9714236158	15,3610672127	113,024460746	2,0	9,0	 
form urban	urban form	urban form	2	4,72091812914	17,4438905529	253,396123876	3,0	10,0	 
life urban	urban life	urban life	2	4,72091812914	17,4438905529	173,016605714	3,0	8,0	 
social theory	social theory	social theory	2	4,72091812914	17,4438905529	231,748546474	3,0	8,0	 
freight plan transportation urban	urban freight transportation planning	urban freight transportation planning	4	3,9714236158	18,1138482948	149,590196157	1,0	5,0	 
health public	public health	public health	2	4,72091812914	19,3580581325	292,748120301	2,0	12,0	 
geography student urban	urban geography for all geography students	urban geography for all geography students|&|students of urban geography	6	3,9714236158	15,3610672127	167,668681335	2,0	12,0	 
imprisonment spatial structure term	spatial structure of imprisonment in terms	spatial structure of imprisonment in terms	6	3,9714236158	15,3610672127	96,5487502693	2,0	28,0	 
system transportation	transportation systems	transportation systems|&|transportation system	2	4,72091812914	17,4438905529	96,4408559689	3,0	16,0	 
c great ratio	c ratios greater	c ratios greater	3	3,9714236158	18,1138482948	339,25997584	1,0	4,0	 
environmental impact	environmental impacts	environmental impacts	2	4,72091812914	17,4438905529	127,709627231	3,0	17,0	 
area urban	urban areas	urban areas|&|urban area	2	9,44183625827	28,343198924	148,588801558	6,0	29,0	 
admission prison record	prison admission records	prison admission records	3	3,9714236158	15,3610672127	96,5487502693	2,0	28,0	 
decision making	decision making	decision making	2	6,29455750551	25,8107441766	241,758313318	2,0	8,0	 
contemporary geography urban	contemporary urban geography	contemporary urban geography	3	3,9714236158	15,3610672127	186,188231703	2,0	3,0	 
plan transportation	transportation planning	transportation planning	2	39,3409844095	90,8275697596	216,69956473	23,0	94,0	 
edition third	third edition	third edition	2	6,29455750551	23,2585207372	161,597372809	3,0	14,0	 
land transportation use	transportation and land use	transportation and land use	4	5,95713542369	20,6261902604	115,719038097	3,0	22,0	 
housing low-value submarkets	low-value housing submarkets	low-value housing submarkets	3	3,9714236158	18,1138482948	426,857234432	1,0	5,0	 
flow population prison	population flows between prisons	population flows between prisons	4	3,9714236158	15,3610672127	96,5487502693	2,0	28,0	 
analysis approach component principal	principal components analysis approaches	principal components analysis approaches	4	3,9714236158	15,3610672127	96,5487502693	2,0	28,0	 
infrastructure transportation	transportation infrastructure	transportation infrastructure	2	4,72091812914	19,3580581325	194,735130152	2,0	15,0	 
Key word	Key words	Key words	2	6,29455750551	23,2585207372	83,6959947228	3,0	19,0	 
geographer urban	urban geographers	urban geographers|&|Urban geographers	2	17,3100331402	43,1201228845	176,226495599	12,0	57,0	 
science social	social sciences	social sciences	2	4,72091812914	17,4438905529	124,973009504	3,0	11,0	 
critical geography urban	critical urban geography	critical urban geography	3	3,9714236158	15,3610672127	229,964137039	2,0	5,0	 
contribution geographer urban	contributions of urban geographers	contributions of urban geographers	4	3,9714236158	15,3610672127	147,949721589	2,0	21,0	 
century half last	last half century	last half century	3	5,95713542369	23,041600819	147,949721589	2,0	21,0	 
additional model peripheral	additional peripheral model	additional peripheral model	3	3,9714236158	15,3610672127	147,949721589	2,0	21,0	 
note research	research note	research note	2	6,29455750551	25,8107441766	96,5487502693	2,0	28,0	 
city distribution linear pattern	linear patterns of distribution of cities	linear patterns of distribution of cities	6	3,9714236158	15,3610672127	147,949721589	2,0	21,0	 
plan transportation urban	urban transportation planning	urban transportation planning	3	27,7999653106	62,7851523535	163,276118842	10,0	55,0	 
environmental framework racism	environmental racism framework	environmental racism framework	3	3,9714236158	18,1138482948	86,5617517264	1,0	17,0	 
plan process regional	regional planning processes	regional planning processes	3	3,9714236158	18,1138482948	86,5617517264	1,0	17,0	 
crisis economic global	global economic crisis	global economic crisis	3	3,9714236158	18,1138482948	315,723626374	1,0	6,0	 
buyer lender-owned property	buyers of lender-owned properties	buyers of lender-owned properties	4	3,9714236158	18,1138482948	426,857234432	1,0	5,0	 
corroboration empirical unique	unique empirical corroboration	unique empirical corroboration	3	3,9714236158	15,3610672127	96,5487502693	2,0	28,0	 
growth urban	urban growth	urban growth	2	4,72091812914	17,4438905529	215,637332667	3,0	10,0	 
