stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
participation public	public participation	public participation	2	6,29455750551	27,5213947763	203,923004193	3,0	10,0	 
gas greenhouse	greenhouse gas	greenhouse gas	2	4,72091812914	22,5552136619	313,243594345	4,0	26,0	 
rail transit	rail transit	rail transit	2	6,29455750551	25,710563428	250,042264346	4,0	30,0	 
sprawl urban	urban sprawl	urban sprawl	2	4,72091812914	22,5552136619	171,879430595	2,0	15,0	 
decision support system	decision support system	decision support system	3	3,9714236158	18,0506412797	298,894021037	2,0	12,0	 
land use-transportation	land use-transportation	land use-transportation	2	7,86819688189	32,138204285	193,050524171	4,0	27,0	 
area population urban	population in an urban area	population in an urban area|&|urban area and the area population	5	3,9714236158	18,0506412797	346,597605353	2,0	7,0	 
freight transportation	freight transportation	freight transportation	2	7,86819688189	34,4017434704	260,844795514	3,0	23,0	 
design problem	design problem	design problem|&|design problems	2	6,29455750551	27,5213947763	263,547317502	5,0	43,0	 
development transportation urban	urban transportation development	urban transportation development|&|development of urban transportation	3	3,9714236158	18,0506412797	248,824670515	3,0	26,0	 
choice route	route choice	route choice	2	4,72091812914	20,6410460823	198,25221554	3,0	27,0	 
freight planning transportation urban	urban freight transportation planning	urban freight transportation planning	4	3,9714236158	20,8034223618	227,010287965	1,0	14,0	 
policy public	public policy	public policy	2	4,72091812914	20,6410460823	482,524646422	3,0	13,0	 
automobile dominance overall passenger transportation urban	overall dominance of automobiles in urban passenger transportation	overall dominance of automobiles in urban passenger transportation	8	3,9714236158	18,0506412797	250,64680198	2,0	30,0	 
freight movement	freight movement	freight movement	2	4,72091812914	22,5552136619	240,530960066	2,0	18,0	 
emission vehicle	vehicle emissions	vehicle emissions	2	7,86819688189	32,138204285	174,206093494	4,0	44,0	 
cluster compactness spatial	spatial compactness of each cluster	spatial compactness of each cluster	5	3,9714236158	18,0506412797	453,570184894	2,0	14,0	 
generation trip	trip generation	trip generation	2	6,29455750551	30,0736182158	225,18674882	2,0	10,0	 
analysis robustness	robustness analysis	robustness analysis	2	4,72091812914	25,8275047527	206,053945501	1,0	9,0	 
pattern travel	travel patterns	travel patterns	2	6,29455750551	25,710563428	267,267293285	4,0	27,0	 
cost travel	travel costs	travel costs|&|costs of travel	2	7,86819688189	34,4017434704	211,934913976	3,0	31,0	 
development sustainable transportation urban	urban transportation sustainable development	urban transportation sustainable development|&|sustainable development of urban transportation	4	5,95713542369	27,0759619196	230,832357207	2,0	16,0	 
different mode	different modes	different modes	2	4,72091812914	20,6410460823	213,754685399	3,0	33,0	 
plan transportation	transportation plans	transportation plans	2	6,29455750551	27,5213947763	170,375487284	3,0	31,0	 
planning transport	transport planning	transport planning	2	4,72091812914	22,5552136619	200,39005399	2,0	10,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	25,710563428	189,714554845	5,0	57,0	 
analytic finding method	analytic methods and findings	analytic methods and findings	4	3,9714236158	18,0506412797	250,64680198	2,0	30,0	 
network transportation urban	urban transportation network	urban transportation network|&|urban transportation networks	3	61,5570660448	164,562289609	214,099654977	14,0	119,0	 
major problem	major problems	major problems|&|major problem	2	6,29455750551	25,710563428	280,836007618	4,0	26,0	 
