"lonmin" "latmin" "moran" "distance" "entropy" "slope" "rsquaredslope" "pop" "max" "meanBetweenness" "alphaBetweenness" "meanCloseness" "alphaCloseness" "meanLinkLength" "networkPerf" "meanPathLength" "diameter" "components" "clustCoef" "vcount" "ecount" "networkDensity"
"lonmin" 1 -1.33238971890069e-20 -0.133607438125126 -0.131326876037649 -0.273501251870743 -0.0226767218896793 -0.0253821738831316 -0.0893190947803786 -0.163874177542238 0.0975744619973457 0.169722650750679 0.00654814473414727 -0.09241080045769 0.166182916004222 -0.10968343506087 -0.0878441424137938 -0.135682159931491 -0.0695247098476309 -0.221319979197004 -0.237041869250505 -0.223607112142659 0.142389067383119
"latmin" -1.33238971890069e-20 1 -0.0180354317322277 -0.310807545230185 -0.567061813692135 0.103243704976895 -0.256630901196414 -0.0941042308489959 -0.282472810243677 0.118191121747108 0.463594090994896 0.0439857337019528 -0.00657402164052125 0.385277275393444 -0.0528546541110298 -0.07197011104488 -0.295835158655397 -0.220768969253599 -0.344300467743484 -0.216755632479418 -0.207545012066718 0.2943042919383
"moran" -0.133607438125126 -0.0180354317322277 1 -0.140538213828346 0.2063005907267 -0.0786173522622961 -0.28005392944376 0.272139714099752 0.117351102015876 -0.0185981340439965 -0.0200715551830741 -0.000143102699039825 0.0122205017161977 -0.00823299041660528 0.104481417436319 -0.0422481353172475 0.00039197031305602 0.0241682423411092 0.0501508318089536 0.0921509304272382 0.0975583282967366 -0.0110237554050933
"distance" -0.131326876037649 -0.310807545230185 -0.140538213828346 1 0.772013804776824 0.200329030166376 0.119446465899895 -0.0073767128509106 -0.0564008306133043 -0.128337542759125 -0.252848035805162 -0.0727081864780509 0.0938773037666117 -0.285983722535757 0.0518425996722201 0.124366429794148 0.157561056489114 0.118699323458314 0.10285695168788 0.151070568286921 0.136713157809573 -0.280307793061568
"entropy" -0.273501251870743 -0.567061813692135 0.2063005907267 0.772013804776824 1 0.233640153722183 -0.00653542527148181 0.11514090364704 0.160183295221677 -0.0619921576697377 -0.543223489123225 -0.06292297584363 -0.080683904392703 -0.482052546623768 0.0718207064467716 0.110762826611696 0.232390687360769 0.294168803362675 0.159639094726284 0.230968786496784 0.208351634219888 -0.369097670070635
"slope" -0.0226767218896793 0.103243704976895 -0.0786173522622961 0.200329030166376 0.233640153722183 1 -0.451382039610952 -0.355525131463565 -0.528602615909339 0.231915347704382 0.285600336859111 0.069191464162092 -0.2178589505585 0.252792300740916 -0.19082618912512 -0.0183996135239063 0.0160392925048202 -0.215042758635446 -0.0865262807499969 -0.338493678503145 -0.322243151083393 0.1868608589881
"rsquaredslope" -0.0253821738831316 -0.256630901196414 -0.28005392944376 0.119446465899895 -0.00653542527148181 -0.451382039610952 1 -0.0607272464926317 0.189761940009472 -0.154660437466934 -0.206776277546451 -0.0588507346369924 0.135816775882032 -0.223516432634194 -0.0165650966715738 0.0886504702060991 0.0660561645936863 0.117584184256929 0.0735721092749814 0.115174786488431 0.0972682753024715 -0.179895781726278
"pop" -0.0893190947803786 -0.0941042308489959 0.272139714099752 -0.0073767128509106 0.11514090364704 -0.355525131463565 -0.0607272464926317 1 0.669377845535753 -0.13971105754152 -0.198438164339972 -0.0326022281664397 0.138444186316041 -0.12334751290873 0.520050054254491 0.038201694502851 0.00755410764151753 0.205091171557566 0.112133180902396 0.524338470446164 0.535618131211337 -0.100241226503395
"max" -0.163874177542238 -0.282472810243677 0.117351102015876 -0.0564008306133043 0.160183295221677 -0.528602615909339 0.189761940009472 0.669377845535753 1 -0.194702418159608 -0.328050769558714 -0.0503902040094151 0.161400150360451 -0.237799553332801 0.369431624791493 0.0633118385171254 0.0633798354934275 0.277743051024867 0.183739679751156 0.503639904334169 0.502404281064757 -0.192661735557425
"meanBetweenness" 0.0975744619973457 0.118191121747108 -0.0185981340439965 -0.128337542759125 -0.0619921576697377 0.231915347704382 -0.154660437466934 -0.13971105754152 -0.194702418159608 1 0.0712229877067657 0.108249653383636 -0.694978211369536 0.222533582031068 -0.163696125966116 0.189453981505788 0.101265490527723 -0.319661022318499 -0.0789734018007451 -0.301799306325694 -0.28467672751293 0.274942206175664
