"x";"y";"moran";"distance";"entropy";"slope"
"1";1;1;NA;NA;NA;NA
"2";51;1;NA;NA;NA;NA
"3";101;1;NA;NA;NA;NA
"4";151;1;NA;NA;NA;NA
"5";201;1;NA;NA;NA;NA
"6";251;1;NA;NA;NA;NA
"7";301;1;NA;NA;NA;NA
"8";351;1;NA;NA;NA;NA
"9";401;1;NA;NA;NA;NA
"10";451;1;NA;NA;NA;NA
"11";501;1;NA;NA;NA;NA
"12";551;1;NA;NA;NA;NA
"13";601;1;NA;NA;NA;NA
"14";651;1;NA;NA;NA;NA
"15";701;1;NA;NA;NA;NA
"16";751;1;NA;NA;NA;NA
"17";801;1;NA;NA;NA;NA
"18";851;1;NA;NA;NA;NA
"19";901;1;NA;NA;NA;NA
"20";951;1;NA;NA;NA;NA
"21";1001;1;NA;NA;NA;NA
"22";1051;1;NA;NA;NA;NA
"23";1101;1;NA;NA;NA;NA
"24";1151;1;NA;NA;NA;NA
"25";1201;1;NA;NA;NA;NA
"26";1251;1;NA;NA;NA;NA
"27";1301;1;NA;NA;NA;NA
"28";1351;1;NA;NA;NA;NA
"29";1401;1;NA;NA;NA;NA
"30";1451;1;NA;NA;NA;NA
"31";1501;1;NA;NA;NA;NA
"32";1551;1;NA;NA;NA;NA
"33";1601;1;NA;NA;NA;NA
"34";1651;1;NA;NA;NA;NA
"35";1701;1;NA;NA;NA;NA
"36";1751;1;NA;NA;NA;NA
"37";1801;1;NA;NA;NA;NA
"38";1851;1;NA;NA;NA;NA
"39";1901;1;NA;NA;NA;NA
"40";1951;1;NA;NA;NA;NA
"41";2001;1;NA;NA;NA;NA
"42";2051;1;NA;NA;NA;NA
"43";2101;1;NA;NA;NA;NA
"44";2151;1;NA;NA;NA;NA
"45";2201;1;NA;NA;NA;NA
"46";2251;1;NA;NA;NA;NA
"47";2301;1;NA;NA;NA;NA
"48";2351;1;NA;NA;NA;NA
"49";2401;1;NA;NA;NA;NA
"50";2451;1;NA;NA;NA;NA
"51";2501;1;NA;NA;NA;NA
"52";2551;1;NA;NA;NA;NA
"53";2601;1;NA;NA;NA;NA
"54";2651;1;NA;NA;NA;NA
"55";2701;1;NA;NA;NA;NA
"56";2751;1;NA;NA;NA;NA
"57";2801;1;NA;NA;NA;NA
"58";2851;1;NA;NA;NA;NA
"59";2901;1;NA;NA;NA;NA
"60";2951;1;NA;NA;NA;NA
"61";3001;1;NA;NA;NA;NA
"62";3051;1;NA;NA;NA;NA
"63";3101;1;NA;NA;NA;NA
"64";3151;1;NA;NA;NA;NA
"65";3201;1;NA;NA;NA;NA
"66";3251;1;NA;NA;NA;NA
"67";3301;1;NA;NA;NA;NA
"68";3351;1;NA;NA;NA;NA
"69";3401;1;NA;NA;NA;NA
"70";3451;1;NA;NA;NA;NA
"71";3501;1;NA;NA;NA;NA
"72";3551;1;NA;NA;NA;NA
"73";3601;1;NA;NA;NA;NA
"74";3651;1;NA;NA;NA;NA
"75";3701;1;NA;NA;NA;NA
"76";3751;1;NA;NA;NA;NA
"77";3801;1;NA;NA;NA;NA
"78";3851;1;NA;NA;NA;NA
"79";3901;1;NA;NA;NA;NA
"80";3951;1;NA;NA;NA;NA
"81";4001;1;NA;NA;NA;NA
"82";4051;1;NA;NA;NA;NA
"83";4101;1;NA;NA;NA;NA
"84";4151;1;NA;NA;NA;NA
"85";4201;1;NA;NA;NA;NA
"86";4251;1;NA;NA;NA;NA
"87";4301;1;NA;NA;NA;NA
"88";4351;1;NA;NA;NA;NA
"89";4401;1;NA;NA;NA;NA
"90";4451;1;NA;NA;NA;NA
"91";4501;1;NA;NA;NA;NA
"92";4551;1;NA;NA;NA;NA
"93";4601;1;NA;NA;NA;NA
"94";4651;1;NA;NA;NA;NA
"95";4701;1;NA;NA;NA;NA
"96";4751;1;NA;NA;NA;NA
"97";4801;1;NA;NA;NA;NA
"98";4851;1;NA;NA;NA;NA
"99";4901;1;NA;NA;NA;NA
"100";4951;1;NA;NA;NA;NA
"101";5001;1;NA;NA;NA;NA
"102";5051;1;NA;NA;NA;NA
"103";5101;1;NA;NA;NA;NA
"104";5151;1;NA;NA;NA;NA
"105";5201;1;NA;NA;NA;NA
"106";5251;1;NA;NA;NA;NA
"107";5301;1;NA;NA;NA;NA
"108";5351;1;NA;NA;NA;NA
"109";5401;1;NA;NA;NA;NA
"110";5451;1;NA;NA;NA;NA
"111";5501;1;NA;NA;NA;NA
"112";5551;1;NA;NA;NA;NA
"113";5601;1;NA;NA;NA;NA
"114";5651;1;NA;NA;NA;NA
"115";5701;1;NA;NA;NA;NA
"116";5751;1;NA;NA;NA;NA
"117";5801;1;NA;NA;NA;NA
"118";5851;1;NA;NA;NA;NA
"119";5901;1;NA;NA;NA;NA
"120";5951;1;NA;NA;NA;NA
"121";6001;1;NA;NA;NA;NA
"122";6051;1;NA;NA;NA;NA
"123";6101;1;NA;NA;NA;NA
"124";6151;1;NA;NA;NA;NA
"125";6201;1;NA;NA;NA;NA
"126";6251;1;NA;NA;NA;NA
"127";6301;1;NA;NA;NA;NA
"128";6351;1;NA;NA;NA;NA
"129";6401;1;NA;NA;NA;NA
"130";6451;1;NA;NA;NA;NA
"131";6501;1;NA;NA;NA;NA
"132";6551;1;NA;NA;NA;NA
"133";6601;1;NA;NA;NA;NA
"134";6651;1;NA;NA;NA;NA
"135";6701;1;NA;NA;NA;NA
"136";6751;1;NA;NA;NA;NA
"137";6801;1;NA;NA;NA;NA
"138";6851;1;NA;NA;NA;NA
"139";6901;1;NA;NA;NA;NA
"140";6951;1;NA;NA;NA;NA
"141";7001;1;NA;NA;NA;NA
"142";7051;1;NA;NA;NA;NA
"143";7101;1;NA;NA;NA;NA
"144";7151;1;0.0473385997970699;0.00456760351384543;0.718737545108498;-1.31133357985556
"145";7201;1;0.0462476043827111;0.00490797596947907;0.752569270335421;-1.2541948943021
"146";7251;1;0.0435186083658472;0.0161413721579864;0.833574393615689;-1.20382015779697
"147";7301;1;0.0519730539809791;0.0122168673951037;0.818599813923436;-1.31667066631118
"148";7351;1;0.0360866813259479;0.00571845621824119;0.827497326417876;-1.29384000010397
"149";7401;1;0.0645049987357598;0.0973559385195705;0.863625150389506;-1.3197702637034
"150";7451;1;0.0671847047403728;0.0763119462033359;0.847698844442521;-1.32713906636316
"151";7501;1;0.0526350693984304;0.00651762514967219;0.830565175258573;-1.29466011443597
"152";7551;1;0.0521704443272479;0.00619534707334804;0.844592526380716;-1.1887912274463
"153";7601;1;0.0502776148665083;0.00805169718955173;0.87766587765438;-1.06614312369618
"154";7651;1;0.0440320590886061;0.011311545162209;0.864245436834713;-0.951876964473109
"155";7701;1;0.047134233888778;0.0101493684882256;0.882902456470933;-0.856088886676106
"156";7751;1;0.04784574459867;0.00976706409711336;0.878177318476937;-0.838648508867855
"157";7801;1;0.0516313327674648;0.00912289145239203;0.846127049162819;-0.860355042747583
"158";7851;1;0.0427378740364669;0.00528383562813516;0.862524107357283;-0.920317108271051
"159";7901;1;0.0261468561779698;0.00340545581293936;0.829529948500452;-0.957320235528081
"160";7951;1;0.0328580945379608;0.00417507059853344;0.843410086594475;-1.0136803904354
"161";8001;1;0.0359509956178371;0.00402261606489858;0.869715947350151;-0.979251018688321
"162";8051;1;0.163967836810191;0.0682796009467509;0.904871799476171;-0.84916702313068
"163";8101;1;0.0829068752040018;0.00666294744033654;0.888766492331269;-0.863382399167811
"164";8151;1;0.0798610501913845;0.00723797504804529;0.85982014367442;-0.939459289949121
"165";8201;1;0.0748736690728935;0.0067996792022955;0.86444478885472;-0.921295029988354
"166";8251;1;0.0681724586450515;0.00789313638502128;0.886853738152014;-0.860240636844722
"167";8301;1;0.089276609538724;0.0622263789691946;0.89973941866098;-0.762017393083682
"168";8351;1;0.10581232942868;0.0388328253718731;0.919151332499987;-0.569226167160427
"169";8401;1;0.0977235064178521;0.0346112666516482;0.883929424376468;-0.691705465261689
"170";8451;1;0.10008640964446;0.0260466321461267;0.832419592950424;-0.986876896618265
"171";8501;1;0.0789631795216419;0.0234236891250639;0.802719391428794;-1.08471491567367
"172";8551;1;0.073223755779025;0.0265628964459224;0.794725724486952;-1.10897177757296
"173";8601;1;0.0564735349679706;0.0257763774224098;0.806225545750974;-1.06052579348891
"174";8651;1;0.0508285037414955;0.0229537337688363;0.812880092758907;-0.986759029354874
"175";8701;1;0.0377154371167551;0.00208620543360354;0.67816765912544;-1.19378252986461
"176";8751;1;0.0369559409502982;0.00216134545925176;0.7012796209731;-1.22854267406221
"177";8801;1;0.0366867535396642;0.00223905756853776;0.704333445963742;-1.21654223042162
"178";8851;1;0.0378919569011368;0.00264960772152593;0.707547633188799;-1.3993432892032
"179";1;51;NA;NA;NA;NA
"180";51;51;NA;NA;NA;NA
"181";101;51;NA;NA;NA;NA
"182";151;51;NA;NA;NA;NA
"183";201;51;NA;NA;NA;NA
"184";251;51;NA;NA;NA;NA
"185";301;51;NA;NA;NA;NA
"186";351;51;NA;NA;NA;NA
"187";401;51;NA;NA;NA;NA
