&$\rho[r,\bar{d}]$&$\rho[r,e]$&$\rho[r,s]$
R2&0.5774&0.5093&0.5483
(Intercept)&1.226986$\pm$0.034715 (***)&-1.104021$\pm$0.039630 (***)&1.21541$\pm$0.04161 (***)\\
$\alpha$&-0.497699$\pm$0.021858 (***)&0.472135$\pm$0.024953 (***)&-0.55056$\pm$0.02620 (***)\\
$\beta$&0.334188$\pm$0.073967 (***)&-0.606526$\pm$0.084439 (***)&0.46942$\pm$0.08866 (***)\\
$n_d$&0.008372$\pm$0.007066 ()&-0.023801$\pm$0.008066 (**)&0.01310$\pm$0.00847 ()\\
$N_G$&0.665346$\pm$0.146472 (***)&-0.483421$\pm$0.167209 (**)&0.99527$\pm$0.17557 (***)\\


&$\rho[\bar{d},e]$&$\rho[\bar{d},s]$&$\rho[e,s]$
R2&0.5141&0.5383&0.5449
(Intercept)&-1.67032$\pm$0.08598 (***)&1.043888$\pm$0.016697 (***)&-1.50417$\pm$0.07318 (***)\\
$\alpha$&1.04667$\pm$0.05414 (***)&-0.218800$\pm$0.010513 (***)&0.95046$\pm$0.04608 (***)\\
$\beta$&-0.91864$\pm$0.18320 (***)&0.153942$\pm$0.035577 (***)&-0.80453$\pm$0.15592 (***)\\
$n_d$&-0.04144$\pm$0.01750 (*)&0.007833$\pm$0.003399 (*)&-0.03624$\pm$0.01489 (*)\\
$N_G$&-2.23787$\pm$0.36278 (***)&0.355478$\pm$0.070450 (***)&-2.00208$\pm$0.30875 (***)\\
