&$\rho[\bar{d},\bar{c}]$&$\rho[\bar{d},\bar{l}]$&$\rho[\bar{d},\bar{s}]$&$\rho[\bar{d},\delta]$
R2&0.08321&0.1137&0.04931&0.2212
(Intercept)&1.229e-01$\pm$6.394e-02 (.)&-0.2235482$\pm$0.0796783 (**)&-1.069e-01$\pm$9.653e-02 ()&0.2851561$\pm$0.0647508 (***)
$\alpha$&-1.406e-01$\pm$2.721e-02 (***)&0.2003760$\pm$0.0339132 (***)&1.098e-01$\pm$4.109e-02 (**)&-0.2898858$\pm$0.0275597 (2e-16)
$\beta$&3.474e-01$\pm$9.200e-02 (***)&-0.3847257$\pm$0.1146461 (***)&-4.382e-01$\pm$1.389e-01 (**)&0.1606966$\pm$0.0931675 (.)
$n_d$&1.386e-02$\pm$8.836e-03 ()&-0.0089831$\pm$0.0110113 ()&-2.277e-02$\pm$1.334e-02 (.)&-0.0058289$\pm$0.0089484 ()
$N_C$&-2.203e-04$\pm$3.904e-04 ()&0.0004494$\pm$0.0004866 ()&4.578e-04$\pm$5.895e-04 ()&0.0001080$\pm$0.0003954 ()
$N_G$&9.209e-02$\pm$1.823e-01 ()&-0.5779639$\pm$0.2271581 (*)&-4.211e-01$\pm$2.752e-01 ()&0.6379269$\pm$0.1846008 (***)
$\gamma$&6.198e-03$\pm$6.757e-03 ()&0.0024670$\pm$0.0084206 ()&3.531e-03$\pm$1.020e-02 ()&-0.0024161$\pm$0.0068431 ()
$d_0$&-1.465e-03$\pm$2.665e-03 ()&-0.0024864$\pm$0.0033211 ()&1.782e-03$\pm$4.023e-03 ()&-0.0017413$\pm$0.0026989 ()
$r_g$&-7.161e-05$\pm$2.756e-04 ()&-0.0002354$\pm$0.0003435 ()&-4.484e-04$\pm$4.161e-04 ()&-0.0001984$\pm$0.0002791 ()
$k_h$&-1.346e-02$\pm$2.640e-02 ()&0.0841865$\pm$0.0328970 (*)&9.604e-02$\pm$3.985e-02 (*)&-0.0061427$\pm$0.0267339 ()
$N_L$&9.124e-04$\pm$1.681e-03 ()&-0.0011866$\pm$0.0020950 ()&-8.891e-05$\pm$2.538e-03 ()&-0.0024391$\pm$0.0017025 ()
