&$\rho[r,\bar{c}]$&$\rho[r,\bar{l}]$&$\rho[r,\bar{s}]$&$\rho[r,\delta]$
R2&0.08052&0.1734&0.174&0.1187
(Intercept)&-0.0262848$\pm$0.0582459 ()&-1.830e-01$\pm$5.801e-02 (**)&-2.800e-01$\pm$6.381e-02 (***)&-0.0396938$\pm$0.0609953 ()
$\alpha$&0.0425576$\pm$0.0247910 (.)&2.239e-01$\pm$2.469e-02 (***)&2.369e-01$\pm$2.716e-02 (***)&-0.0546067$\pm$0.0259612 (*)
$\beta$&-0.3076801$\pm$0.0838078 (***)&2.970e-02$\pm$8.347e-02 ()&2.487e-02$\pm$9.182e-02 ()&0.4311665$\pm$0.0877639 (***)
$n_d$&-0.0225112$\pm$0.0080494 (**)&-2.231e-03$\pm$8.017e-03 ()&8.874e-03$\pm$8.819e-03 ()&0.0418159$\pm$0.0084294 (***)
$N_C$&0.0001178$\pm$0.0003557 ()&2.270e-04$\pm$3.542e-04 ()&3.001e-04$\pm$3.897e-04 ()&-0.0004806$\pm$0.0003725 ()
$N_G$&0.4455534$\pm$0.1660556 (**)&-5.238e-01$\pm$1.654e-01 (**)&-6.272e-01$\pm$1.819e-01 (***)&-0.2879462$\pm$0.1738941 (.)
$\gamma$&-0.0153085$\pm$0.0061556 (*)&4.880e-03$\pm$6.131e-03 ()&-3.259e-03$\pm$6.744e-03 ()&0.0076671$\pm$0.0064462 ()
$d_0$&0.0019859$\pm$0.0024277 ()&2.813e-03$\pm$2.418e-03 ()&-3.898e-05$\pm$2.660e-03 ()&0.0009132$\pm$0.0025423 ()
$r_g$&0.0001959$\pm$0.0002511 ()&5.983e-05$\pm$2.501e-04 ()&9.584e-05$\pm$2.751e-04 ()&-0.0001899$\pm$0.0002629 ()
$k_h$&0.0412129$\pm$0.0240482 (.)&2.120e-02$\pm$2.395e-02 ()&5.927e-02$\pm$2.635e-02 (*)&-0.0178174$\pm$0.0251834 ()
$N_L$&-0.0011826$\pm$0.0015315 ()&5.317e-05$\pm$1.525e-03 ()&7.111e-04$\pm$1.678e-03 ()&0.0006752$\pm$0.0016037 ()
